Elapsed,Kin,Kin,Kin-A/E,Kin-A/E,Kin-E,Kin-E,Kdead,Kdead,Kdead-A/E,Kdead-A/E,Kdead-E,Kdead-E,M4,M4,M4-A/E,M4-A/E,M4-E,M4-E,M5,M5,M5-A/E,M5-A/E,M5-E,M5-E,M7,M7,M7-A/E,M7-A/E,M7-E,M7-E,M10,M10,M10-A/E,M10-A/E,M10-E,M10-E,M11,M11,M11-A/E,M11-A/E,M11-E,M11-E,M15,M15,M15-A/E,M15-A/E,M15-E,M15-E
66,71.2,83.8,64.6,51,55.2,47.6,63.2,77,16.6,41.2,27.4,29.8,59.4,61.2,34.8,39.6,29.8,41,69.6,84.8,55,54.2,50.2,52,118.8,135.2,59.6,67,67.8,60.4,177.2,207.8,97.4,116.4,113.8,99.6,119,156.6,81.4,71,81.4,78.2,115.6,115,60.4,61,52,50.8
69,78.2,90.6,73.2,54.8,58.8,58.4,68.4,79,16.6,45,25.2,30.2,67.6,67.8,41.6,42.4,33.4,41.2,80.2,89.2,60.6,63.4,52,57.2,128.2,142.6,66.6,75.4,71.2,66.6,200.6,227.6,106.6,125.8,118.8,97.2,129.8,164.2,93.6,75.4,83.4,85.2,135.2,123.4,63.8,64,55.2,51.6
72,71,93.2,64.8,54.8,62,52,67.4,79.6,17.4,39,24.2,27,63.6,63.6,38.8,47.8,31,35.2,78.6,93,58.4,61.6,45.6,52.8,121.4,148.8,65.6,73.2,76.4,65.8,202.8,244.6,107.4,131.6,120,100.6,139.6,179.4,88.2,84.6,84.4,84.2,136.8,128,67.6,63.8,48,49.4
75,84.8,106.2,76.8,59.4,63.6,56.8,78.2,92.6,18.4,37.6,23.8,30.6,72.4,74.8,40.4,41.2,35,38.2,91.6,99.4,68.6,69.4,46.6,56.2,145.4,160,77.6,84.6,81.6,70.4,226.8,253,115,142.8,121,107.2,162.8,193.8,96.6,93.8,87.6,84.8,142.6,142.2,70.8,74,50.8,53.4
78,70.4,106.8,72.4,61.8,56,56.6,78.6,92,16.8,38,19.6,27.6,75.6,71,40.4,46,39.2,40,93.6,96,71,66.4,50.2,54.6,150,161.6,70,87.4,81.2,62.6,233.6,262.2,117,149.8,118.4,105.2,161.6,199.2,99.4,95.2,98,85.2,143,156.4,73.8,67.8,52.2,42.6
81,82,115.2,84.4,67,62.4,59.6,86.6,102,21.2,46.6,25.4,24.4,80.2,76.2,44,51,38,40.4,96.2,105.8,69.6,76.2,53.2,61.6,161.8,172,78.8,95.8,91.4,70,245.4,279,127.4,155.8,124.2,113.8,189.4,234.4,109.6,97.2,95.2,84.6,151.4,155,70.4,76.2,57.2,49.8
84,82.6,120.6,86,68.8,60,62,85.2,99.2,20,38,23,22,84.2,80.4,45.2,49,34.8,39.2,100.4,114,71.8,77.4,54.6,61,171.2,176.8,79.2,99.2,95.2,71.2,262.2,296.2,122.8,160.8,126.2,108,209.4,250.2,115,97.4,99.4,93.4,160.4,157,73,72.2,57.6,48.8
87,100.4,128.8,99,69.2,63.8,72.6,98.6,111,21.4,37,22,25.4,94.6,86.6,48.6,53.8,38.8,44.4,109.6,125.4,81,82.2,56.8,63,199.6,188.8,95.2,105.8,99.4,72.8,277.6,323,142.2,170.4,134.2,121,226.4,297.2,129,115,96.8,93.2,169.8,183.4,80.2,73,63.4,49.8
90,92.6,134.8,98.8,74.6,66,65.8,95.2,109.8,20.8,33.2,19.2,23.8,96.4,86,46.2,53,39.8,42.8,112.2,133.6,83.4,82.2,54.8,62,197,193.2,98.6,109.6,95.2,73.2,290.6,338.6,138.4,174.6,126.2,111.6,235.2,309.2,135.6,112.8,98.8,104.4,173,183.6,77,81.4,59.8,50
93,106.4,151.2,101.4,85.8,67.6,77.2,105,126.6,21.6,37.6,20.4,25.2,111.8,95,53.2,55,31.8,41.4,115.6,137.2,87.4,88.8,58,65.8,212.6,208.2,105,109.2,103.6,78.2,316.4,363.4,158.8,193.8,141,124,271.8,336.6,137.8,121.2,107.8,104,192.2,202.2,85.6,90,63.6,52.8
96,103.2,149.6,100,89.8,59.8,73.8,105.2,126.4,21.6,34.6,19.2,24.6,116.4,93.6,54.2,53.8,33.8,42.8,133.2,140.8,82.6,84.8,53.6,66.8,219.4,222.4,98.2,117.8,110.8,81.2,328.8,372.6,153.2,193,143.6,118.2,295,365.8,139.4,123.6,104.2,114,206.2,207,89,77.6,64.4,50.2
99,118.2,161.6,111.2,90.2,66.6,85.4,117.6,133,22.6,42.4,21.8,28,127.2,96.4,56.2,58.6,39.6,45.2,143.6,146.8,99.4,94.8,55.4,67.6,237.2,246,103.2,121.2,115.2,81.8,376.2,397.6,162.2,205,152.2,125.6,344,413.6,157.2,136,110.8,120.4,234.4,234.2,91.4,89,72,56
102,113.6,159.8,115,94.4,65.6,86.8,139,149.4,18.2,40.6,25.2,29.2,130.6,102.4,55.2,63.4,38.8,45.2,139,154.8,92,85.2,54.2,68.8,235.2,253.2,106.2,127.8,115.8,87,385.8,405.8,174.6,210.2,154.8,127.8,352.2,459.6,152,142,112.4,114.8,233.4,243.6,91.6,89,75.4,52
105,127.2,182.8,127,103.4,79,102.4,147,168.6,23.2,41.2,25.6,28.8,139.4,117.8,60.4,63.4,38,46.6,157,179.6,106.8,101.8,59.6,79.8,274.6,289.2,129.8,144.4,134.2,92.6,423,442.4,195.8,232,163.6,130.6,390.2,508.8,179.4,160,118.8,120.8,253.4,269.4,97.6,90.4,84.2,55.6
108,140,193.2,126.4,106,71.4,103,159.4,169,20.2,39.2,19.8,29.8,146,118.6,62.2,58.8,40.4,47.2,163,174.6,105.8,97,58.6,77.4,283.6,304,136,146.2,132.2,84.6,427.8,452,201.2,243.2,161.6,152.8,416.4,549.2,181.4,161.4,128.2,123.6,263,296.4,94.8,103.8,85.4,53.8
111,155,224,139,115.8,75,104.8,163,186.8,20.4,46,21.2,28.4,158.6,141.8,67.8,60.8,41.4,50.4,184.4,208,113.8,108.8,60.6,75.2,304.6,344.6,157.2,159.4,142.6,98.8,498.6,525,221,275.6,173.4,146.2,466.6,605.8,199,179.2,130.8,136.4,309,315.6,104.4,112.4,84.2,56.4
114,173.2,237.8,145.4,114.4,79,124.4,171.6,188.4,22.2,41.8,21.4,28,174.6,159.2,77.2,66.8,36,43.4,206.4,213.6,112.6,114.4,58.8,73.4,327.2,380.2,156.4,161.8,150.8,89.6,522.4,534.4,226.8,287.2,185.8,145.4,496.6,622.6,204.8,176.8,141.6,136.8,335,349.8,102.8,110,85.6,55.2
117,204.4,283.4,157.6,127.8,79.4,150.2,187.8,204.6,22,40,23.6,29.6,197.4,180.4,78.8,86.2,45,46,231.6,253.6,122.6,115.4,59,78.2,391,456.6,169.2,161,156.8,99.8,587.8,602,244.2,300,189.4,146,576,699.2,220.2,188.6,157,141.4,375.4,400.6,109.8,111.4,93.8,60
120,218.8,294.8,165,127.6,80.4,142.8,202,225.4,23.2,36.4,21,25,220.4,199,77,76.2,40.6,53.2,263,287.2,121.4,112.6,59.6,81.8,426,503.8,156.6,172.6,154.2,106.4,613,658,243.8,315.6,199,162.8,602.6,743.2,235.4,203.2,148.2,140.2,413.4,451.2,111.4,110.2,92.2,58.8
123,263,337.8,181.6,148.6,88.2,158.8,237.6,239.2,24,43.8,23.2,25.8,272,250.4,86.4,73.4,50,52.2,317,335.2,135.4,128.6,70.4,84.2,495.8,588.2,170.4,179.8,172.6,106.4,720.6,737.2,272.8,335.4,211,174.6,665.8,819.2,248,206.8,166.6,156.2,432.2,505.6,114.8,124,104.6,64.2
126,285.2,357.4,175.2,144.6,85.6,167,263,257,25,41.6,20.8,28.4,298.4,284,94.2,77.2,41.4,52,355.8,371.6,137.8,124,63.8,86.8,536.8,646.8,186.4,187.2,173,102.6,771.6,781.6,282.8,356,212.4,183.6,707.8,877.2,259.8,217.2,169.2,152.8,463,525.8,111,120.6,104.4,61
129,330.6,395.6,199.6,161.4,88.6,172,304,304,27.8,40.4,24.6,31.6,332.8,324.2,95.2,85.8,50.2,57,408.2,414.6,146.2,134.8,67.8,95.4,609.2,710.6,196,198.4,188,118.2,831,873.2,315.6,389.2,225.4,190.8,804.4,971.6,284.2,224.8,179,159.4,491,590.2,118,131.6,111.2,68.2
132,339.8,406.2,203.2,160.4,96.6,183,317.4,318.4,24.2,46.2,24,30.6,348.2,360,93.8,81.4,52.8,62.2,425.8,442.2,150.6,124.4,67.2,83.2,623.2,732.4,203.6,201.6,187,115,858,879.6,311.4,387,232,186,859.8,1005,290.2,242.8,184.2,160.2,494.2,572,125,145,108.4,71
135,386.2,422.8,213.8,172.4,93.6,209.8,378.4,355.8,24,45.6,24.8,29,388.2,387.8,116,89.4,49.4,64.4,470.6,498.4,168.2,138.6,70,95.2,668.4,779.8,220.6,216.6,192.8,130.8,916.8,977.8,346.8,431.8,251.4,207.6,949.4,1098.6,311.2,252.2,196.8,178,518.8,589.8,128.2,152.4,124.2,78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elapsed,Kin,Kin,Kin-A/E,Kin-A/E,Kin-E,Kin-E,Kdead,Kdead,Kdead-A/E,Kdead-A/E,Kdead-E,Kdead-E,M4,M4,M4-A/E,M4-A/E,M4-E,M4-E,M5,M5,M5-A/E,M5-A/E,M5-E,M5-E,M7,M7,M7-A/E,M7-A/E,M7-E,M7-E,M10,M10,M10-A/E,M10-A/E,M10-E,M10-E,M11,M11,M11-A/E,M11-A/E,M11-E,M11-E,M15,M15,M15-A/E,M15-A/E,M15-E,M15-E
24,1,1,0.770577933,0.584938704,0.749562172,0.570928196,1,1,0.390243902,0.896341463,0.591463415,0.951219512,1,1,0.801186944,0.540059347,0.682492582,1.329376855,1,1,0.822727273,0.722727273,0.940909091,0.827272727,1,1,0.712522046,0.906525573,0.885361552,0.793650794,1,1,0.8,1.026589595,0.89017341,0.952601156,1,1,1.119521912,1.055776892,0.888446215,1.155378486,1,1,0.689108911,0.899009901,0.8,0.974257426
27,1,1,0.784431138,0.52994012,0.619760479,0.508982036,1,1,0.354767184,0.727272727,0.487804878,0.913525499,1,1,0.720626632,0.595300261,0.819843342,1.075718016,1,1,0.751381215,0.76611418,0.847145488,0.79558011,1,1,0.65830721,0.92476489,0.912225705,0.786833856,1,1,0.771819138,0.935856993,0.885383807,0.900105152,1,1,0.996226415,0.928301887,0.939622642,0.977358491,1,1,0.620573356,0.755480607,0.741989882,0.900505902
30,1,1,0.843076923,0.523076923,0.636923077,0.578461538,1,1,0.412935323,0.870646766,0.547263682,0.815920398,1,1,0.716707022,0.537530266,0.682808717,0.857142857,1,1,0.778723404,0.817021277,0.965957447,0.834042553,1,1,0.661562021,0.879019908,0.863705972,0.732006126,1,1,0.761303891,0.935856993,0.815983176,0.925341746,1,1,0.885191348,0.801996672,0.855241265,0.875207987,1,1,0.586145648,0.763765542,0.795737123,0.888099467
33,1,1,0.731851852,0.48,0.684444444,0.554074074,1,1,0.379052369,0.85286783,0.563591022,0.798004988,1,1,0.628820961,0.532751092,0.637554585,0.890829694,1,1,0.820895522,0.746268657,0.817164179,0.798507463,1,1,0.619178082,0.857534247,0.764383562,0.652054795,1,1,0.683590209,0.825022665,0.667271079,0.841341795,1,1,0.868988391,0.859038143,0.968490879,0.968490879,1,1,0.695517774,0.676970634,0.692426584,0.831530139
36,1,1,0.826714801,0.606498195,0.689530686,0.685920578,1,1,0.351706037,0.792650919,0.582677165,0.818897638,1,1,0.724050633,0.683544304,0.648101266,0.734177215,1,1,0.89943074,0.796963947,0.759013283,0.717267552,1,1,0.525896414,0.711819389,0.682602922,0.571049137,1,1,0.660142349,0.802491103,0.706405694,0.738434164,1,1,0.979661017,0.905084746,1.077966102,0.888135593,1,1,0.577849117,0.715890851,0.703049759,0.731942215
39,1,1,0.680232558,0.468023256,0.575581395,0.566860465,1,1,0.323943662,0.816901408,0.568075117,0.680751174,1,1,0.631578947,0.578947368,0.605263158,0.688596491,1,1,0.772963605,0.793760832,0.724436742,0.644714038,1,1,0.595907928,0.680306905,0.723785166,0.641943734,1,1,0.680096696,0.707493956,0.689766317,0.680096696,1,1,0.864864865,0.828828829,0.972972973,0.843843844,1,1,0.574647887,0.630985915,0.642253521,0.754929577
42,1,1,0.810641628,0.604068858,0.644757433,0.597809077,1,1,0.298755187,0.763485477,0.477178423,0.614107884,1,1,0.484599589,0.587268994,0.488706366,0.628336756,1,1,0.780165289,0.862809917,0.700826446,0.647933884,1,1,0.532110092,0.639908257,0.678899083,0.621559633,1,1,0.612454212,0.687179487,0.625641026,0.634432234,1,1,0.83106267,0.754768392,0.844686649,0.752043597,1,1,0.652348993,0.695302013,0.593288591,0.773154362
45,1,1,0.740412979,0.548672566,0.690265487,0.607669617,1,1,0.307070707,0.638383838,0.533333333,0.626262626,1,1,0.530434783,0.634782609,0.47826087,0.695652174,1,1,0.779179811,0.72555205,0.681388013,0.694006309,1,1,0.499452355,0.626506024,0.60898138,0.534501643,1,1,0.564493759,0.617198336,0.618585298,0.624133148,1,1,0.935528121,0.776406036,0.976680384,0.762688615,1,1,0.58432304,0.655581948,0.527315914,0.691211401
48,1,1,0.673211781,0.527349229,0.684431978,0.541374474,1,1,0.26119403,0.611940299,0.5,0.526119403,1,1,0.478527607,0.580777096,0.404907975,0.63803681,1,1,0.705128205,0.689102564,0.657051282,0.676282051,1,1,0.516129032,0.698553949,0.660734149,0.538375973,1,1,0.499649123,0.641403509,0.647017544,0.602105263,1,1,0.796568627,0.632352941,0.764705882,0.740196078,1,1,0.609411765,0.670588235,0.571764706,0.609411765
51,1,1,0.734693878,0.495238095,0.666666667,0.57414966,1,1,0.310018904,0.676748582,0.491493384,0.676748582,1,1,0.517958412,0.52173913,0.506616257,0.650283554,1,1,0.76,0.747692308,0.683076923,0.753846154,1,1,0.474683544,0.58649789,0.613924051,0.599156118,1,1,0.534974093,0.615284974,0.619170984,0.610103627,1,1,0.843400447,0.583892617,0.736017897,0.697986577,1,1,0.61009667,0.616541353,0.545649839,0.564983888
54,1,1,0.727524205,0.525587828,0.67219917,0.569847856,1,1,0.281639929,0.577540107,0.495543672,0.49197861,1,1,0.585086042,0.577437859,0.51625239,0.627151052,1,1,0.704647676,0.692653673,0.644677661,0.722638681,1,1,0.484407484,0.598752599,0.561330561,0.532224532,1,1,0.489964581,0.565525384,0.556080283,0.526564345,1,1,0.724392819,0.553326294,0.726504752,0.639915523,1,1,0.631090487,0.60324826,0.568445476,0.549883991
57,1,1,0.742627346,0.573726542,0.691689008,0.638069705,1,1,0.290780142,0.645390071,0.475177305,0.521276596,1,1,0.604651163,0.597495528,0.490161002,0.629695886,1,1,0.732394366,0.664788732,0.664788732,0.692957746,1,1,0.529945554,0.546279492,0.566243194,0.513611615,1,1,0.471436495,0.546866334,0.562396007,0.522462562,1,1,0.775634518,0.61928934,0.753299492,0.659898477,1,1,0.596527068,0.590398366,0.459652707,0.496424923
60,1,1,0.719072165,0.605670103,0.657216495,0.62628866,1,1,0.216666667,0.556666667,0.353333333,0.516666667,1,1,0.617647059,0.647058824,0.507352941,0.628676471,1,1,0.680107527,0.701612903,0.642473118,0.642473118,1,1,0.477031802,0.553003534,0.568904594,0.459363958,1,1,0.49540292,0.563547864,0.537587885,0.512709573,1,1,0.665486726,0.561061947,0.700884956,0.628318584,1,1,0.571134021,0.573195876,0.498969072,0.501030928
63,1,1,0.772727273,0.590909091,0.679292929,0.702020202,1,1,0.219847328,0.561832061,0.396946565,0.500763359,1,1,0.589065256,0.613756614,0.599647266,0.680776014,1,1,0.735107731,0.671736375,0.671736375,0.664131812,1,1,0.551440329,0.549794239,0.561316872,0.488888889,1,1,0.448345035,0.536609829,0.531594784,0.487462387,1,1,0.722222222,0.604377104,0.702020202,0.634680135,1,1,0.517150396,0.576956904,0.446789798,0.443271768
66,1,1,0.833548387,0.658064516,0.712258065,0.614193548,1,1,0.236804565,0.587731812,0.390870185,0.42510699,1,1,0.577114428,0.656716418,0.494195688,0.679933665,1,1,0.712435233,0.702072539,0.650259067,0.67357513,1,1,0.469291339,0.527559055,0.533858268,0.475590551,1,1,0.505974026,0.604675325,0.591168831,0.517402597,1,1,0.590711176,0.515239478,0.590711176,0.567489115,1,1,0.523850824,0.52905464,0.450997398,0.440589766
69,1,1,0.867298578,0.6492891,0.696682464,0.691943128,1,1,0.225237449,0.610583446,0.34192673,0.409769335,1,1,0.614475628,0.626292467,0.493353028,0.608567208,1,1,0.715466352,0.748524203,0.613931523,0.675324675,1,1,0.491875923,0.556868538,0.525849335,0.491875923,1,1,0.497898178,0.587575899,0.554880897,0.453993461,1,1,0.636734694,0.51292517,0.567346939,0.579591837,1,1,0.493426141,0.494972931,0.426914153,0.399071926
72,1,1,0.789281364,0.667478685,0.755176614,0.633373934,1,1,0.236734694,0.530612245,0.329251701,0.367346939,1,1,0.610062893,0.751572327,0.487421384,0.553459119,1,1,0.680652681,0.717948718,0.531468531,0.615384615,1,1,0.485566247,0.541820873,0.565507032,0.487046632,1,1,0.480107287,0.588287886,0.536432722,0.449709432,1,1,0.552978056,0.530407524,0.529153605,0.527899687,1,1,0.510574018,0.481873112,0.362537764,0.373111782
75,1,1,0.804188482,0.621989529,0.665968586,0.594764398,1,1,0.215456674,0.44028103,0.278688525,0.358313817,1,1,0.548913043,0.559782609,0.475543478,0.519021739,1,1,0.718324607,0.726701571,0.487958115,0.588481675,1,1,0.508185986,0.554027505,0.534381139,0.461034709,1,1,0.479366403,0.59524802,0.504376824,0.446852855,1,1,0.541783511,0.526079641,0.491306786,0.475602916,1,1,0.497191011,0.519662921,0.356741573,0.375
78,1,1,0.817155756,0.69751693,0.632054176,0.638826185,1,1,0.196951934,0.445486518,0.229777257,0.323563892,1,1,0.551159618,0.627557981,0.53478854,0.545702592,1,1,0.748945148,0.700421941,0.529535865,0.575949367,1,1,0.449293967,0.56097561,0.521181001,0.401797176,1,1,0.471964502,0.604275918,0.47761194,0.424364663,1,1,0.550997783,0.527716186,0.543237251,0.472283814,1,1,0.492985972,0.452905812,0.348697395,0.284569138
81,1,1,0.855983773,0.679513185,0.632860041,0.604462475,1,1,0.224814422,0.49416755,0.269353128,0.258748674,1,1,0.562659847,0.652173913,0.485933504,0.516624041,1,1,0.689108911,0.754455446,0.526732673,0.60990099,1,1,0.472139005,0.573996405,0.547633313,0.419412822,1,1,0.485888635,0.594202899,0.473684211,0.434019832,1,1,0.517225106,0.458706937,0.449268523,0.399244927,1,1,0.459530026,0.497389034,0.373368146,0.325065274
84,1,1,0.846456693,0.677165354,0.590551181,0.61023622,1,1,0.21691974,0.412147505,0.249457701,0.238611714,1,1,0.549210207,0.595382746,0.422843256,0.476306197,1,1,0.669776119,0.722014925,0.509328358,0.569029851,1,1,0.455172414,0.570114943,0.547126437,0.409195402,1,1,0.43982808,0.575931232,0.452005731,0.386819484,1,1,0.500435161,0.423846823,0.432550044,0.406440383,1,1,0.459987398,0.45494644,0.36294896,0.307498425
87,1,1,0.863874346,0.603839442,0.556719023,0.633507853,1,1,0.204198473,0.353053435,0.209923664,0.242366412,1,1,0.536423841,0.593818985,0.428256071,0.490066225,1,1,0.689361702,0.699574468,0.483404255,0.536170213,1,1,0.490216272,0.544799176,0.51184346,0.374871267,1,1,0.473526474,0.567432567,0.446886447,0.402930403,1,1,0.492742552,0.439266616,0.369747899,0.355996944,1,1,0.454133635,0.413363533,0.359003398,0.281993205
90,1,1,0.868953386,0.656112577,0.580474934,0.578715919,1,1,0.202926829,0.323902439,0.187317073,0.232195122,1,1,0.506578947,0.581140351,0.436403509,0.469298246,1,1,0.678600488,0.668836452,0.445890968,0.504475183,1,1,0.505381855,0.561763198,0.487954895,0.375192209,1,1,0.439923713,0.554990464,0.40114431,0.354736173,1,1,0.498163115,0.414401176,0.362968406,0.383541514,1,1,0.431856422,0.456533932,0.335389792,0.280426248
93,1,1,0.787267081,0.666149068,0.52484472,0.599378882,1,1,0.186528497,0.324697755,0.176165803,0.21761658,1,1,0.51450677,0.531914894,0.30754352,0.400386847,1,1,0.691455696,0.702531646,0.458860759,0.52056962,1,1,0.49904943,0.519011407,0.492395437,0.371673004,1,1,0.467196234,0.570167696,0.414827891,0.36481318,1,1,0.452991453,0.398422091,0.354372124,0.341880342,1,1,0.434077079,0.456389452,0.322515213,0.267748479
96,1,1,0.791139241,0.710443038,0.473101266,0.583860759,1,1,0.186528497,0.298791019,0.165803109,0.212435233,1,1,0.516190476,0.512380952,0.321904762,0.407619048,1,1,0.602919708,0.618978102,0.391240876,0.487591241,1,1,0.444545043,0.533272974,0.501584427,0.367587144,1,1,0.436840605,0.550327916,0.409466781,0.337040205,1,1,0.421912833,0.37409201,0.315375303,0.34503632,1,1,0.430784124,0.375605034,0.311713456,0.242981607
99,1,1,0.794853467,0.644746247,0.476054325,0.610436026,1,1,0.180367119,0.338387869,0.173982442,0.223463687,1,1,0.502683363,0.524150268,0.354203936,0.404293381,1,1,0.684573003,0.652892562,0.3815427,0.465564738,1,1,0.427152318,0.501655629,0.476821192,0.338576159,1,1,0.419229775,0.529852675,0.393383303,0.324631688,1,1,0.41499472,0.359028511,0.29250264,0.317845829,1,1,0.390098165,0.379854887,0.307298335,0.239009816
102,1,1,0.84125823,0.690563277,0.479882955,0.634967081,1,1,0.126213592,0.281553398,0.174757282,0.202496533,1,1,0.473819742,0.544206009,0.33304721,0.387982833,1,1,0.626276378,0.579986385,0.368958475,0.468345813,1,1,0.434889435,0.523341523,0.474201474,0.356265356,1,1,0.441131885,0.531076301,0.39110662,0.322890349,1,1,0.374476472,0.349839862,0.276915496,0.282828283,1,1,0.384067086,0.373165618,0.316142558,0.21802935
105,1,1,0.819354839,0.667096774,0.509677419,0.660645161,1,1,0.147021546,0.261089987,0.162230672,0.182509506,1,1,0.469673406,0.493001555,0.295489891,0.362363919,1,1,0.634581105,0.604872252,0.354129531,0.474153298,1,1,0.460446967,0.512238382,0.476055339,0.328485278,1,1,0.452507511,0.536168246,0.378091056,0.301825745,1,1,0.399110122,0.355951057,0.26429366,0.268743048,1,1,0.373374139,0.345830145,0.322111706,0.212700842
