GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (465),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
intrinsic apoptotic signaling pathway in response to oxidative stress (GO:0008631),16,4,0.36,+,11.07,8.58E-04,3.38E-02
"mRNA cis splicing, via spliceosome (GO:0045292)",21,5,0.47,+,10.55,2.30E-04,1.10E-02
DNA replication initiation (GO:0006270),43,10,0.97,+,10.3,2.08E-07,2.47E-05
"nucleotide-excision repair, DNA gap filling (GO:0006297)",23,5,0.52,+,9.63,3.32E-04,1.52E-02
nuclear DNA replication (GO:0033260),58,12,1.31,+,9.16,3.89E-08,5.29E-06
cell cycle DNA replication (GO:0044786),59,12,1.33,+,9.01,4.59E-08,6.13E-06
cell differentiation involved in embryonic placenta development (GO:0060706),25,5,0.56,+,8.86,4.64E-04,1.97E-02
negative regulation of microtubule depolymerization (GO:0007026),27,5,0.61,+,8.2,6.32E-04,2.60E-02
mitotic chromosome condensation (GO:0007076),28,5,0.63,+,7.91,7.32E-04,2.99E-02
regulation of mRNA processing (GO:0050684),141,25,3.18,+,7.85,3.64E-14,1.59E-11
DNA geometric change (GO:0032392),113,20,2.55,+,7.84,1.39E-11,3.92E-09
"regulation of mRNA splicing, via spliceosome (GO:0048024)",102,18,2.3,+,7.82,1.54E-10,3.41E-08
G2 DNA damage checkpoint (GO:0031572),34,6,0.77,+,7.82,2.28E-04,1.09E-02
DNA replication-independent nucleosome organization (GO:0034724),40,7,0.9,+,7.75,7.17E-05,4.02E-03
"regulation of DNA-templated transcription, elongation (GO:0032784)",52,9,1.17,+,7.67,7.23E-06,5.46E-04
"regulation of alternative mRNA splicing, via spliceosome (GO:0000381)",58,10,1.31,+,7.64,2.31E-06,2.17E-04
mitotic spindle assembly (GO:0090307),47,8,1.06,+,7.54,2.61E-05,1.65E-03
DNA duplex unwinding (GO:0032508),106,18,2.39,+,7.52,2.68E-10,5.48E-08
metaphase plate congression (GO:0051310),59,10,1.33,+,7.51,2.65E-06,2.42E-04
mitotic metaphase plate congression (GO:0007080),48,8,1.08,+,7.38,2.98E-05,1.84E-03
regulation of mitotic spindle organization (GO:0060236),36,6,0.81,+,7.38,3.00E-04,1.39E-02
mitotic cytokinesis (GO:0000281),68,11,1.54,+,7.16,1.26E-06,1.29E-04
establishment of epithelial cell polarity (GO:0090162),31,5,0.7,+,7.14,1.10E-03,4.12E-02
regulation of microtubule depolymerization (GO:0031114),31,5,0.7,+,7.14,1.10E-03,4.11E-02
protein localization to chromosome (GO:0034502),69,11,1.56,+,7.06,1.44E-06,1.44E-04
ncRNA export from nucleus (GO:0097064),38,6,0.86,+,6.99,3.89E-04,1.71E-02
mitotic sister chromatid segregation (GO:0000070),121,19,2.73,+,6.95,2.79E-10,5.56E-08
mRNA splice site selection (GO:0006376),32,5,0.72,+,6.92,1.25E-03,4.59E-02
ATP-dependent chromatin remodeling (GO:0043044),77,12,1.74,+,6.9,5.94E-07,6.37E-05
DNA replication-independent nucleosome assembly (GO:0006336),39,6,0.88,+,6.81,4.40E-04,1.91E-02
negative regulation of chromosome organization (GO:2001251),79,12,1.78,+,6.73,7.59E-07,7.98E-05
regulation of spindle organization (GO:0090224),40,6,0.9,+,6.64,4.97E-04,2.11E-02
sister chromatid segregation (GO:0000819),149,22,3.36,+,6.54,3.15E-11,8.15E-09
transcription elongation from RNA polymerase II promoter (GO:0006368),75,11,1.69,+,6.5,2.98E-06,2.65E-04
protein localization to cytoskeleton (GO:0044380),42,6,0.95,+,6.33,6.28E-04,2.60E-02
translesion synthesis (GO:0019985),42,6,0.95,+,6.33,6.28E-04,2.59E-02
regulation of RNA splicing (GO:0043484),149,21,3.36,+,6.24,1.92E-10,4.10E-08
histone deacetylation (GO:0016575),50,7,1.13,+,6.2,2.49E-04,1.18E-02
negative regulation of mRNA metabolic process (GO:1903312),88,12,1.99,+,6.04,2.11E-06,2.02E-04
postreplication repair (GO:0006301),52,7,1.17,+,5.96,3.10E-04,1.43E-02
mitotic nuclear division (GO:0140014),209,28,4.72,+,5.93,5.30E-13,1.94E-10
protein deacetylation (GO:0006476),53,7,1.2,+,5.85,3.44E-04,1.55E-02
chromosome condensation (GO:0030261),53,7,1.2,+,5.85,3.44E-04,1.55E-02
establishment of chromosome localization (GO:0051303),76,10,1.72,+,5.83,1.98E-05,1.29E-03
"DNA-templated transcription, elongation (GO:0006354)",92,12,2.08,+,5.78,3.21E-06,2.80E-04
regulation of mitotic sister chromatid segregation (GO:0033047),46,6,1.04,+,5.78,9.67E-04,3.74E-02
negative regulation of histone modification (GO:0031057),46,6,1.04,+,5.78,9.67E-04,3.73E-02
double-strand break repair via homologous recombination (GO:0000724),101,13,2.28,+,5.7,1.43E-06,1.45E-04
chromosome localization (GO:0050000),78,10,1.76,+,5.68,2.42E-05,1.56E-03
G1/S transition of mitotic cell cycle (GO:0000082),125,16,2.82,+,5.67,9.49E-08,1.23E-05
nuclear chromosome segregation (GO:0098813),227,29,5.13,+,5.66,5.93E-13,2.13E-10
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",79,10,1.78,+,5.61,2.68E-05,1.68E-03
recombinational repair (GO:0000725),103,13,2.33,+,5.59,1.75E-06,1.74E-04
cell cycle G1/S phase transition (GO:0044843),127,16,2.87,+,5.58,1.16E-07,1.46E-05
regulation of sister chromatid segregation (GO:0033045),72,9,1.63,+,5.54,7.37E-05,4.09E-03
regulation of chromosome separation (GO:1905818),72,9,1.63,+,5.54,7.37E-05,4.08E-03
cytoskeleton-dependent cytokinesis (GO:0061640),96,12,2.17,+,5.54,4.78E-06,3.85E-04
signal transduction involved in DNA damage checkpoint (GO:0072422),73,9,1.65,+,5.46,8.12E-05,4.43E-03
signal transduction involved in DNA integrity checkpoint (GO:0072401),73,9,1.65,+,5.46,8.12E-05,4.42E-03
protein sumoylation (GO:0016925),65,8,1.47,+,5.45,2.04E-04,9.91E-03
regulation of mitotic sister chromatid separation (GO:0010965),65,8,1.47,+,5.45,2.04E-04,9.88E-03
chromosome segregation (GO:0007059),286,35,6.46,+,5.42,7.16E-15,3.32E-12
mitotic spindle organization (GO:0007052),164,20,3.7,+,5.4,5.02E-09,8.51E-07
DNA conformation change (GO:0071103),313,38,7.07,+,5.38,6.04E-16,3.29E-13
cytokinesis (GO:0000910),108,13,2.44,+,5.33,2.82E-06,2.54E-04
regulation of viral genome replication (GO:0045069),84,10,1.9,+,5.27,4.32E-05,2.57E-03
signal transduction involved in cell cycle checkpoint (GO:0072395),76,9,1.72,+,5.24,1.08E-04,5.55E-03
regulation of nucleocytoplasmic transport (GO:0046822),110,13,2.48,+,5.23,3.39E-06,2.89E-04
signal transduction in response to DNA damage (GO:0042770),102,12,2.3,+,5.21,8.40E-06,6.14E-04
cellular response to ionizing radiation (GO:0071479),68,8,1.54,+,5.21,2.70E-04,1.25E-02
mRNA export from nucleus (GO:0006406),111,13,2.51,+,5.19,3.72E-06,3.15E-04
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427),111,13,2.51,+,5.19,3.72E-06,3.14E-04
regulation of mitotic metaphase/anaphase transition (GO:0030071),60,7,1.35,+,5.17,6.78E-04,2.78E-02
RNA splicing (GO:0008380),407,47,9.19,+,5.11,1.09E-18,9.59E-16
microtubule cytoskeleton organization involved in mitosis (GO:1902850),185,21,4.18,+,5.03,6.59E-09,1.07E-06
regulation of chromosome segregation (GO:0051983),89,10,2.01,+,4.98,6.74E-05,3.85E-03
positive regulation of protein localization to nucleus (GO:1900182),89,10,2.01,+,4.98,6.74E-05,3.84E-03
regulation of telomere maintenance (GO:0032204),81,9,1.83,+,4.92,1.68E-04,8.26E-03
RNA export from nucleus (GO:0006405),135,15,3.05,+,4.92,1.23E-06,1.26E-04
regulation of metaphase/anaphase transition of cell cycle (GO:1902099),63,7,1.42,+,4.92,8.84E-04,3.46E-02
cell cycle checkpoint (GO:0000075),189,21,4.27,+,4.92,9.30E-09,1.44E-06
chromatin remodeling (GO:0006338),172,19,3.88,+,4.89,5.15E-08,6.83E-06
ribonucleoprotein complex export from nucleus (GO:0071426),127,14,2.87,+,4.88,3.02E-06,2.68E-04
spindle assembly (GO:0051225),91,10,2.05,+,4.87,7.99E-05,4.38E-03
regulation of chromosome organization (GO:0033044),283,31,6.39,+,4.85,3.66E-12,1.13E-09
ribonucleoprotein complex localization (GO:0071166),128,14,2.89,+,4.84,3.29E-06,2.83E-04
protein deacylation (GO:0035601),64,7,1.45,+,4.84,9.62E-04,3.73E-02
DNA-dependent DNA replication (GO:0006261),194,21,4.38,+,4.79,1.41E-08,2.12E-06
mitotic cell cycle checkpoint (GO:0007093),148,16,3.34,+,4.79,7.61E-07,7.95E-05
pre-replicative complex assembly (GO:0036388),65,7,1.47,+,4.77,1.05E-03,3.98E-02
negative regulation of chromatin organization (GO:1905268),65,7,1.47,+,4.77,1.05E-03,3.98E-02
DNA replication (GO:0006260),271,29,6.12,+,4.74,3.09E-11,8.14E-09
mitotic G1 DNA damage checkpoint (GO:0031571),66,7,1.49,+,4.7,1.14E-03,4.22E-02
regulation of histone methylation (GO:0031060),66,7,1.49,+,4.7,1.14E-03,4.21E-02
positive regulation of mRNA metabolic process (GO:1903313),85,9,1.92,+,4.69,2.34E-04,1.11E-02
"RNA splicing, via transesterification reactions (GO:0000375)",305,32,6.89,+,4.65,4.63E-12,1.38E-09
mitotic G1/S transition checkpoint (GO:0044819),67,7,1.51,+,4.63,1.23E-03,4.53E-02
G1 DNA damage checkpoint (GO:0044783),67,7,1.51,+,4.63,1.23E-03,4.52E-02
double-strand break repair (GO:0006302),202,21,4.56,+,4.6,2.68E-08,3.74E-06
mitotic cell cycle process (GO:1903047),685,71,15.47,+,4.59,2.27E-25,5.12E-22
positive regulation of chromosome organization (GO:2001252),174,18,3.93,+,4.58,2.84E-07,3.26E-05
positive regulation of chromatin organization (GO:1905269),116,12,2.62,+,4.58,2.73E-05,1.71E-03
mRNA processing (GO:0006397),484,50,10.93,+,4.58,5.68E-18,4.72E-15
nuclear division (GO:0000280),340,35,7.68,+,4.56,7.37E-13,2.58E-10
regulation of mRNA metabolic process (GO:1903311),340,35,7.68,+,4.56,7.37E-13,2.53E-10
macromolecule deacylation (GO:0098732),68,7,1.54,+,4.56,1.33E-03,4.82E-02
neural precursor cell proliferation (GO:0061351),68,7,1.54,+,4.56,1.33E-03,4.81E-02
"mRNA splicing, via spliceosome (GO:0000398)",302,31,6.82,+,4.55,1.68E-11,4.58E-09
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",302,31,6.82,+,4.55,1.68E-11,4.50E-09
mitotic cell cycle (GO:0000278),761,78,17.18,+,4.54,1.37E-27,7.18E-24
spindle organization (GO:0007051),225,23,5.08,+,4.53,7.78E-09,1.25E-06
DNA integrity checkpoint (GO:0031570),147,15,3.32,+,4.52,3.24E-06,2.81E-04
regulation of cytokinesis (GO:0032465),89,9,2.01,+,4.48,3.20E-04,1.47E-02
DNA damage checkpoint (GO:0000077),139,14,3.14,+,4.46,7.88E-06,5.81E-04
mRNA transport (GO:0051028),159,16,3.59,+,4.46,1.81E-06,1.77E-04
chromatin assembly or disassembly (GO:0006333),169,17,3.82,+,4.46,8.67E-07,9.00E-05
regulation of DNA repair (GO:0006282),131,13,2.96,+,4.4,1.91E-05,1.26E-03
protein export from nucleus (GO:0006611),152,15,3.43,+,4.37,4.72E-06,3.82E-04
regulation of chromatin organization (GO:1902275),203,20,4.58,+,4.36,1.29E-07,1.60E-05
regulation of translational initiation (GO:0006446),82,8,1.85,+,4.32,8.48E-04,3.35E-02
telomere maintenance (GO:0000723),103,10,2.33,+,4.3,2.04E-04,9.83E-03
nuclear export (GO:0051168),166,16,3.75,+,4.27,3.02E-06,2.67E-04
cell division (GO:0051301),492,47,11.11,+,4.23,9.51E-16,4.69E-13
mitotic cell cycle phase transition (GO:0044772),285,27,6.43,+,4.2,1.76E-09,3.27E-07
organelle fission (GO:0048285),370,35,8.35,+,4.19,6.72E-12,1.96E-09
DNA packaging (GO:0006323),201,19,4.54,+,4.19,4.76E-07,5.22E-05
telomere organization (GO:0032200),106,10,2.39,+,4.18,2.53E-04,1.18E-02
DNA biosynthetic process (GO:0071897),117,11,2.64,+,4.16,1.29E-04,6.54E-03
signal transduction by p53 class mediator (GO:0072331),118,11,2.66,+,4.13,1.39E-04,6.94E-03
regulation of double-strand break repair (GO:2000779),86,8,1.94,+,4.12,1.13E-03,4.21E-02
cell cycle phase transition (GO:0044770),293,27,6.62,+,4.08,3.06E-09,5.30E-07
regulation of G1/S transition of mitotic cell cycle (GO:2000045),152,14,3.43,+,4.08,2.00E-05,1.30E-03
regulation of mitotic nuclear division (GO:0007088),110,10,2.48,+,4.03,3.33E-04,1.52E-02
regulation of DNA replication (GO:0006275),110,10,2.48,+,4.03,3.33E-04,1.51E-02
mRNA 3'-end processing (GO:0031124),88,8,1.99,+,4.03,1.29E-03,4.72E-02
RNA localization (GO:0006403),222,20,5.01,+,3.99,4.83E-07,5.25E-05
regulation of DNA biosynthetic process (GO:2000278),111,10,2.51,+,3.99,3.56E-04,1.58E-02
meiotic chromosome segregation (GO:0045132),89,8,2.01,+,3.98,1.38E-03,4.96E-02
nucleus organization (GO:0006997),145,13,3.27,+,3.97,5.09E-05,2.98E-03
regulation of DNA metabolic process (GO:0051052),373,33,8.42,+,3.92,1.38E-10,3.12E-08
intrinsic apoptotic signaling pathway (GO:0097193),147,13,3.32,+,3.92,5.79E-05,3.36E-03
mitotic DNA damage checkpoint (GO:0044773),102,9,2.3,+,3.91,7.99E-04,3.22E-02
actomyosin structure organization (GO:0031032),104,9,2.35,+,3.83,9.08E-04,3.54E-02
negative regulation of DNA metabolic process (GO:0051053),139,12,3.14,+,3.82,1.37E-04,6.87E-03
mRNA metabolic process (GO:0016071),694,59,15.67,+,3.77,2.34E-17,1.84E-14
mitotic DNA integrity checkpoint (GO:0044774),106,9,2.39,+,3.76,1.03E-03,3.93E-02
meiotic cell cycle process (GO:1903046),165,14,3.73,+,3.76,4.62E-05,2.73E-03
chromosome organization (GO:0051276),1061,90,23.96,+,3.76,2.42E-26,7.63E-23
DNA recombination (GO:0006310),224,19,5.06,+,3.76,2.14E-06,2.03E-04
RNA transport (GO:0050658),201,17,4.54,+,3.75,7.57E-06,5.68E-04
nucleic acid transport (GO:0050657),201,17,4.54,+,3.75,7.57E-06,5.66E-04
positive regulation of cell cycle process (GO:0090068),296,25,6.68,+,3.74,5.76E-08,7.57E-06
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134),107,9,2.42,+,3.73,1.09E-03,4.11E-02
mitotic prometaphase (GO:0000236),167,14,3.77,+,3.71,5.21E-05,3.05E-03
establishment of RNA localization (GO:0051236),203,17,4.58,+,3.71,8.54E-06,6.21E-04
transport along microtubule (GO:0010970),156,13,3.52,+,3.69,1.01E-04,5.30E-03
nucleosome organization (GO:0034728),156,13,3.52,+,3.69,1.01E-04,5.28E-03
negative regulation of cell cycle G1/S phase transition (GO:1902807),110,9,2.48,+,3.62,1.31E-03,4.75E-02
regulation of cell cycle G1/S phase transition (GO:1902806),172,14,3.88,+,3.61,7.01E-05,3.96E-03
ribosome biogenesis (GO:0042254),332,27,7.5,+,3.6,3.50E-08,4.80E-06
positive regulation of translation (GO:0045727),136,11,3.07,+,3.58,4.33E-04,1.88E-02
chromatin assembly (GO:0031497),149,12,3.36,+,3.57,2.49E-04,1.17E-02
cell cycle process (GO:0022402),1070,86,24.16,+,3.56,1.13E-23,1.63E-20
regulation of protein localization to nucleus (GO:1900180),137,11,3.09,+,3.56,4.58E-04,1.95E-02
ribonucleoprotein complex biogenesis (GO:0022613),465,37,10.5,+,3.52,1.69E-10,3.70E-08
protein localization to nucleus (GO:0034504),164,13,3.7,+,3.51,1.61E-04,7.98E-03
DNA repair (GO:0006281),530,42,11.97,+,3.51,1.04E-11,2.99E-09
G2/M transition of mitotic cell cycle (GO:0000086),140,11,3.16,+,3.48,5.43E-04,2.28E-02
regulation of microtubule cytoskeleton organization (GO:0070507),141,11,3.18,+,3.46,5.74E-04,2.40E-02
RNA processing (GO:0006396),923,72,20.84,+,3.45,3.88E-19,3.82E-16
biological phase (GO:0044848),257,20,5.8,+,3.45,3.93E-06,3.28E-04
mitotic cell cycle phase (GO:0098763),257,20,5.8,+,3.45,3.93E-06,3.26E-04
cell cycle phase (GO:0022403),257,20,5.8,+,3.45,3.93E-06,3.24E-04
rRNA metabolic process (GO:0016072),270,21,6.1,+,3.44,2.28E-06,2.15E-04
cytoskeleton-dependent intracellular transport (GO:0030705),193,15,4.36,+,3.44,6.36E-05,3.65E-03
cell cycle G2/M phase transition (GO:0044839),142,11,3.21,+,3.43,6.06E-04,2.52E-02
rRNA processing (GO:0006364),260,20,5.87,+,3.41,4.62E-06,3.76E-04
regulation of signal transduction by p53 class mediator (GO:1901796),196,15,4.43,+,3.39,7.48E-05,4.13E-03
regulation of cell division (GO:0051302),172,13,3.88,+,3.35,2.49E-04,1.17E-02
DNA metabolic process (GO:0006259),781,59,17.63,+,3.35,3.39E-15,1.62E-12
cell cycle (GO:0007049),1390,105,31.38,+,3.35,4.73E-27,1.86E-23
response to ionizing radiation (GO:0010212),146,11,3.3,+,3.34,7.52E-04,3.06E-02
M phase (GO:0000279),160,12,3.61,+,3.32,4.56E-04,1.95E-02
mitotic M phase (GO:0000087),160,12,3.61,+,3.32,4.56E-04,1.95E-02
protein-DNA complex subunit organization (GO:0071824),294,22,6.64,+,3.31,2.36E-06,2.21E-04
negative regulation of cell cycle phase transition (GO:1901988),241,18,5.44,+,3.31,1.99E-05,1.30E-03
regulation of biological process involved in symbiotic interaction (GO:0043903),201,15,4.54,+,3.31,9.74E-05,5.21E-03
regulation of viral process (GO:0050792),189,14,4.27,+,3.28,1.77E-04,8.72E-03
regulation of viral life cycle (GO:1903900),149,11,3.36,+,3.27,8.79E-04,3.45E-02
regulation of cell cycle G2/M phase transition (GO:1902749),219,16,4.94,+,3.24,7.27E-05,4.05E-03
meiotic nuclear division (GO:0140013),151,11,3.41,+,3.23,9.74E-04,3.75E-02
response to UV (GO:0009411),151,11,3.41,+,3.23,9.74E-04,3.74E-02
nuclear transport (GO:0051169),262,19,5.92,+,3.21,1.73E-05,1.16E-03
cellular response to DNA damage stimulus (GO:0006974),787,57,17.77,+,3.21,5.56E-14,2.37E-11
chromatin organization (GO:0006325),697,50,15.74,+,3.18,3.12E-12,9.85E-10
regulation of cell cycle phase transition (GO:1901987),462,33,10.43,+,3.16,2.01E-08,2.96E-06
regulation of response to DNA damage stimulus (GO:2001020),224,16,5.06,+,3.16,9.32E-05,5.00E-03
negative regulation of mitotic cell cycle phase transition (GO:1901991),225,16,5.08,+,3.15,9.78E-05,5.21E-03
viral life cycle (GO:0019058),225,16,5.08,+,3.15,9.78E-05,5.20E-03
meiotic cell cycle (GO:0051321),226,16,5.1,+,3.14,1.03E-04,5.33E-03
regulation of mitotic cell cycle phase transition (GO:1901990),424,30,9.57,+,3.13,1.09E-07,1.40E-05
establishment of organelle localization (GO:0051656),397,28,8.96,+,3.12,3.09E-07,3.51E-05
"regulation of gene expression, epigenetic (GO:0040029)",171,12,3.86,+,3.11,7.92E-04,3.20E-02
anaphase (GO:0051322),157,11,3.54,+,3.1,1.31E-03,4.77E-02
mitotic anaphase (GO:0000090),157,11,3.54,+,3.1,1.31E-03,4.75E-02
regulation of intrinsic apoptotic signaling pathway (GO:2001242),158,11,3.57,+,3.08,1.37E-03,4.93E-02
nucleocytoplasmic transport (GO:0006913),259,18,5.85,+,3.08,4.83E-05,2.84E-03
positive regulation of cell cycle (GO:0045787),391,27,8.83,+,3.06,7.40E-07,7.83E-05
positive regulation of DNA metabolic process (GO:0051054),204,14,4.61,+,3.04,3.69E-04,1.63E-02
microtubule-based transport (GO:0099111),191,13,4.31,+,3.01,6.36E-04,2.61E-02
regulation of translation (GO:0006417),368,25,8.31,+,3.01,2.51E-06,2.30E-04
cellular response to radiation (GO:0071478),177,12,4,+,3,1.05E-03,3.97E-02
regulation of protein ubiquitination (GO:0031396),208,14,4.7,+,2.98,4.43E-04,1.91E-02
nucleobase-containing compound transport (GO:0015931),253,17,5.71,+,2.98,1.14E-04,5.86E-03
microtubule cytoskeleton organization (GO:0000226),566,38,12.78,+,2.97,7.95E-09,1.27E-06
protein-DNA complex assembly (GO:0065004),254,17,5.73,+,2.96,1.20E-04,6.10E-03
nucleic acid metabolic process (GO:0090304),2232,149,50.39,+,2.96,7.68E-34,1.21E-29
regulation of protein modification by small protein conjugation or removal (GO:1903320),240,16,5.42,+,2.95,1.96E-04,9.58E-03
negative regulation of organelle organization (GO:0010639),332,22,7.5,+,2.93,1.44E-05,9.81E-04
protein-containing complex localization (GO:0031503),257,17,5.8,+,2.93,1.37E-04,6.88E-03
negative regulation of apoptotic signaling pathway (GO:2001234),227,15,5.13,+,2.93,3.36E-04,1.53E-02
negative regulation of cell cycle process (GO:0010948),335,22,7.56,+,2.91,1.64E-05,1.11E-03
apoptotic signaling pathway (GO:0097190),276,18,6.23,+,2.89,1.04E-04,5.36E-03
regulation of cell cycle process (GO:0010564),772,50,17.43,+,2.87,9.67E-11,2.35E-08
negative regulation of mitotic cell cycle (GO:0045930),294,19,6.64,+,2.86,7.51E-05,4.13E-03
regulation of G2/M transition of mitotic cell cycle (GO:0010389),203,13,4.58,+,2.84,1.08E-03,4.06E-02
regulation of mitotic cell cycle (GO:0007346),588,37,13.28,+,2.79,6.07E-08,7.91E-06
transcription by RNA polymerase II (GO:0006366),406,25,9.17,+,2.73,1.25E-05,8.79E-04
RNA metabolic process (GO:0016070),1599,98,36.1,+,2.71,5.19E-19,4.82E-16
viral process (GO:0016032),849,52,19.17,+,2.71,2.61E-10,5.41E-08
microtubule-based process (GO:0007017),803,48,18.13,+,2.65,2.83E-09,4.96E-07
biological process involved in symbiotic interaction (GO:0044403),937,56,21.16,+,2.65,1.20E-10,2.74E-08
regulation of microtubule-based process (GO:0032886),235,14,5.31,+,2.64,1.35E-03,4.87E-02
regulation of cellular amide metabolic process (GO:0034248),432,25,9.75,+,2.56,3.31E-05,2.03E-03
"transcription, DNA-templated (GO:0006351)",553,32,12.49,+,2.56,2.66E-06,2.41E-04
nucleic acid-templated transcription (GO:0097659),554,32,12.51,+,2.56,4.48E-06,3.66E-04
nucleobase-containing compound metabolic process (GO:0006139),2719,156,61.39,+,2.54,2.41E-28,1.90E-24
posttranscriptional regulation of gene expression (GO:0010608),547,31,12.35,+,2.51,7.75E-06,5.77E-04
RNA biosynthetic process (GO:0032774),566,32,12.78,+,2.5,5.51E-06,4.39E-04
cytoskeleton organization (GO:0007010),1204,68,27.18,+,2.5,1.65E-11,4.57E-09
histone modification (GO:0016570),356,20,8.04,+,2.49,2.89E-04,1.34E-02
covalent chromatin modification (GO:0016569),360,20,8.13,+,2.46,5.22E-04,2.21E-02
