GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (713),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
regulation of actomyosin structure organization (GO:0110020),98,18,3.39,+,5.31,5.85E-08,1.20E-05
establishment of cell polarity (GO:0030010),122,22,4.22,+,5.21,2.71E-09,9.11E-07
cytoplasmic microtubule organization (GO:0031122),64,11,2.22,+,4.96,3.80E-05,2.68E-03
negative regulation of stress-activated MAPK cascade (GO:0032873),48,8,1.66,+,4.81,5.19E-04,2.46E-02
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303),48,8,1.66,+,4.81,5.19E-04,2.45E-02
maintenance of protein location in cell (GO:0032507),66,11,2.28,+,4.81,4.88E-05,3.30E-03
substrate adhesion-dependent cell spreading (GO:0034446),56,9,1.94,+,4.64,2.99E-04,1.56E-02
positive regulation of actin filament bundle assembly (GO:0032233),64,10,2.22,+,4.51,1.72E-04,9.80E-03
homotypic cell-cell adhesion (GO:0034109),59,9,2.04,+,4.41,4.22E-04,2.11E-02
actin polymerization or depolymerization (GO:0008154),60,9,2.08,+,4.33,4.71E-04,2.29E-02
actomyosin structure organization (GO:0031032),107,16,3.7,+,4.32,3.54E-06,3.66E-04
positive regulation of stress fiber assembly (GO:0051496),54,8,1.87,+,4.28,1.04E-03,4.26E-02
establishment or maintenance of cell polarity (GO:0007163),197,29,6.82,+,4.25,5.96E-10,2.14E-07
protein localization to plasma membrane (GO:0072659),198,29,6.85,+,4.23,6.62E-10,2.32E-07
negative regulation of dephosphorylation (GO:0035305),82,12,2.84,+,4.23,6.97E-05,4.50E-03
regulation of cell-matrix adhesion (GO:0001952),124,18,4.29,+,4.19,1.29E-06,1.60E-04
adherens junction organization (GO:0034332),62,9,2.15,+,4.19,5.83E-04,2.73E-02
negative regulation of phosphatase activity (GO:0010923),76,11,2.63,+,4.18,1.51E-04,8.79E-03
negative regulation of protein dephosphorylation (GO:0035308),70,10,2.42,+,4.13,3.29E-04,1.70E-02
protein localization to cell periphery (GO:1990778),233,33,8.07,+,4.09,9.62E-11,3.71E-08
vascular endothelial growth factor receptor signaling pathway (GO:0048010),71,10,2.46,+,4.07,3.64E-04,1.86E-02
negative regulation of phosphoprotein phosphatase activity (GO:0032515),65,9,2.25,+,4,7.92E-04,3.49E-02
regulation of Ras protein signal transduction (GO:0046578),204,28,7.06,+,3.96,4.75E-09,1.47E-06
integrin-mediated signaling pathway (GO:0007229),98,13,3.39,+,3.83,8.71E-05,5.51E-03
protein localization to cell junction (GO:1902414),76,10,2.63,+,3.8,5.91E-04,2.76E-02
regulation of phosphoprotein phosphatase activity (GO:0043666),122,16,4.22,+,3.79,1.57E-05,1.22E-03
regulation of phosphatase activity (GO:0010921),148,19,5.12,+,3.71,3.42E-06,3.61E-04
regulation of cellular response to heat (GO:1900034),79,10,2.73,+,3.66,7.76E-04,3.46E-02
vascular transport (GO:0010232),87,11,3.01,+,3.65,4.34E-04,2.15E-02
regulation of small GTPase mediated signal transduction (GO:0051056),348,44,12.05,+,3.65,2.27E-12,1.24E-09
cell-matrix adhesion (GO:0007160),127,16,4.4,+,3.64,2.46E-05,1.82E-03
regulation of dephosphorylation (GO:0035303),183,23,6.34,+,3.63,4.60E-07,6.80E-05
maintenance of location in cell (GO:0051651),96,12,3.32,+,3.61,2.66E-04,1.41E-02
regulation of Rho protein signal transduction (GO:0035023),88,11,3.05,+,3.61,4.74E-04,2.29E-02
regulation of protein dephosphorylation (GO:0035304),145,18,5.02,+,3.59,9.36E-06,7.91E-04
mitotic spindle organization (GO:0007052),163,20,5.64,+,3.54,3.56E-06,3.65E-04
maintenance of protein location (GO:0045185),98,12,3.39,+,3.54,3.16E-04,1.64E-02
regulation of carbohydrate catabolic process (GO:0043470),91,11,3.15,+,3.49,6.12E-04,2.82E-02
positive regulation of axonogenesis (GO:0050772),84,10,2.91,+,3.44,1.19E-03,4.78E-02
cell-cell junction assembly (GO:0007043),126,15,4.36,+,3.44,7.86E-05,5.03E-03
cell-cell junction organization (GO:0045216),185,22,6.4,+,3.43,1.87E-06,2.16E-04
regulation of cell junction assembly (GO:1901888),202,24,6.99,+,3.43,6.55E-07,8.92E-05
actin cytoskeleton organization (GO:0030036),531,63,18.38,+,3.43,5.10E-16,6.20E-13
actin filament-based process (GO:0030029),605,71,20.95,+,3.39,1.05E-17,1.84E-14
regulation of gene silencing by miRNA (GO:0060964),94,11,3.25,+,3.38,7.83E-04,3.47E-02
regulation of microtubule-based process (GO:0032886),242,28,8.38,+,3.34,1.28E-07,2.39E-05
regulation of posttranscriptional gene silencing (GO:0060147),96,11,3.32,+,3.31,9.17E-04,3.91E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850),184,21,6.37,+,3.3,5.72E-06,5.45E-04
regulation of axon extension (GO:0030516),97,11,3.36,+,3.28,9.91E-04,4.15E-02
regulation of gene silencing by RNA (GO:0060966),97,11,3.36,+,3.28,9.91E-04,4.14E-02
cell junction assembly (GO:0034329),276,31,9.56,+,3.24,5.06E-08,1.09E-05
spindle organization (GO:0007051),224,25,7.75,+,3.22,1.10E-06,1.42E-04
import into nucleus (GO:0051170),117,13,4.05,+,3.21,4.25E-04,2.12E-02
small GTPase mediated signal transduction (GO:0007264),262,29,9.07,+,3.2,1.81E-07,3.21E-05
regulation of cell shape (GO:0008360),155,17,5.37,+,3.17,6.85E-05,4.44E-03
actin filament-based movement (GO:0030048),119,13,4.12,+,3.16,4.93E-04,2.36E-02
regulation of microtubule cytoskeleton organization (GO:0070507),147,16,5.09,+,3.14,1.20E-04,7.26E-03
cell-substrate adhesion (GO:0031589),184,20,6.37,+,3.14,1.82E-05,1.38E-03
positive regulation of cell growth (GO:0030307),166,18,5.75,+,3.13,4.84E-05,3.29E-03
cytosolic transport (GO:0016482),148,16,5.12,+,3.12,1.29E-04,7.72E-03
cytoskeleton organization (GO:0007010),1212,131,41.96,+,3.12,2.43E-29,3.84E-25
regulation of extent of cell growth (GO:0061387),112,12,3.88,+,3.09,9.36E-04,3.97E-02
positive regulation of protein localization to membrane (GO:1905477),131,14,4.54,+,3.09,3.72E-04,1.89E-02
positive regulation of epithelial cell migration (GO:0010634),150,16,5.19,+,3.08,1.49E-04,8.73E-03
regulation of epithelial cell migration (GO:0010632),229,24,7.93,+,3.03,4.84E-06,4.72E-04
activation of GTPase activity (GO:0090630),115,12,3.98,+,3.01,1.15E-03,4.67E-02
actin filament organization (GO:0007015),270,28,9.35,+,3,9.68E-07,1.26E-04
viral transcription (GO:0019083),116,12,4.02,+,2.99,1.24E-03,4.92E-02
regulation of cell morphogenesis (GO:0022604),310,32,10.73,+,2.98,1.81E-07,3.17E-05
ribonucleoprotein complex localization (GO:0071166),127,13,4.4,+,2.96,8.61E-04,3.70E-02
microtubule cytoskeleton organization (GO:0000226),567,58,19.63,+,2.95,2.36E-12,1.24E-09
positive regulation of cellular protein localization (GO:1903829),306,31,10.59,+,2.93,4.08E-07,6.08E-05
regulation of actin filament organization (GO:0110053),277,28,9.59,+,2.92,1.53E-06,1.85E-04
protein autophosphorylation (GO:0046777),188,19,6.51,+,2.92,7.21E-05,4.63E-03
regulation of cell-substrate adhesion (GO:0010810),218,22,7.55,+,2.91,2.04E-05,1.52E-03
positive regulation of intracellular transport (GO:0032388),228,23,7.89,+,2.91,1.34E-05,1.07E-03
regulation of cytoskeleton organization (GO:0051493),526,53,18.21,+,2.91,3.64E-11,1.44E-08
mRNA transport (GO:0051028),160,16,5.54,+,2.89,2.92E-04,1.53E-02
regulation of response to wounding (GO:1903034),162,16,5.61,+,2.85,3.31E-04,1.71E-02
positive regulation of GTPase activity (GO:0043547),255,25,8.83,+,2.83,8.98E-06,7.63E-04
regulation of actin filament-based process (GO:0032970),397,38,13.74,+,2.76,7.87E-08,1.56E-05
viral life cycle (GO:0019058),230,22,7.96,+,2.76,4.30E-05,2.95E-03
RNA transport (GO:0050658),189,18,6.54,+,2.75,2.18E-04,1.21E-02
nucleic acid transport (GO:0050657),189,18,6.54,+,2.75,2.18E-04,1.21E-02
establishment of RNA localization (GO:0051236),191,18,6.61,+,2.72,2.46E-04,1.32E-02
epithelial cell development (GO:0002064),202,19,6.99,+,2.72,1.71E-04,9.79E-03
positive regulation of protein transport (GO:0051222),331,31,11.46,+,2.71,1.88E-06,2.16E-04
regulation of macroautophagy (GO:0016241),161,15,5.57,+,2.69,8.76E-04,3.75E-02
cytoskeleton-dependent intracellular transport (GO:0030705),194,18,6.72,+,2.68,2.93E-04,1.53E-02
positive regulation of cytoskeleton organization (GO:0051495),216,20,7.48,+,2.67,1.42E-04,8.35E-03
regulation of GTPase activity (GO:0043087),347,32,12.01,+,2.66,1.75E-06,2.03E-04
regulation of actin cytoskeleton organization (GO:0032956),358,33,12.39,+,2.66,1.22E-06,1.53E-04
cellular response to insulin stimulus (GO:0032869),174,16,6.02,+,2.66,6.81E-04,3.10E-02
positive regulation of intracellular protein transport (GO:0090316),185,17,6.4,+,2.65,4.73E-04,2.29E-02
regulation of cell size (GO:0008361),185,17,6.4,+,2.65,4.73E-04,2.28E-02
vascular process in circulatory system (GO:0003018),251,23,8.69,+,2.65,5.35E-05,3.58E-03
regulation of supramolecular fiber organization (GO:1902903),382,35,13.22,+,2.65,6.61E-07,8.93E-05
regulation of intracellular transport (GO:0032386),364,33,12.6,+,2.62,1.70E-06,2.01E-04
regulation of cell growth (GO:0001558),422,38,14.61,+,2.6,4.61E-07,6.69E-05
regulation of generation of precursor metabolites and energy (GO:0043467),167,15,5.78,+,2.59,1.23E-03,4.91E-02
cell junction organization (GO:0034330),502,45,17.38,+,2.59,3.67E-08,8.17E-06
regulation of protein localization to membrane (GO:1905475),201,18,6.96,+,2.59,4.34E-04,2.16E-02
positive regulation of establishment of protein localization (GO:1904951),347,31,12.01,+,2.58,6.91E-06,6.17E-04
protein localization to membrane (GO:0072657),542,48,18.76,+,2.56,1.62E-08,3.99E-06
microtubule-based transport (GO:0099111),192,17,6.65,+,2.56,6.96E-04,3.14E-02
establishment of organelle localization (GO:0051656),398,35,13.78,+,2.54,1.92E-06,2.18E-04
regulation of autophagy (GO:0010506),331,29,11.46,+,2.53,1.73E-05,1.32E-03
supramolecular fiber organization (GO:0097435),601,52,20.81,+,2.5,1.13E-08,3.13E-06
regulation of intracellular protein transport (GO:0033157),256,22,8.86,+,2.48,2.54E-04,1.36E-02
nucleobase-containing compound transport (GO:0015931),245,21,8.48,+,2.48,3.71E-04,1.89E-02
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),246,21,8.52,+,2.47,3.81E-04,1.93E-02
RNA localization (GO:0006403),212,18,7.34,+,2.45,1.15E-03,4.68E-02
regulation of translation (GO:0006417),415,35,14.37,+,2.44,3.93E-06,3.98E-04
microtubule-based process (GO:0007017),806,67,27.9,+,2.4,2.54E-10,9.57E-08
response to insulin (GO:0032868),241,20,8.34,+,2.4,6.61E-04,3.03E-02
localization within membrane (GO:0051668),615,51,21.29,+,2.4,3.97E-08,8.72E-06
negative regulation of intracellular signal transduction (GO:1902532),507,42,17.55,+,2.39,7.48E-07,1.00E-04
regulation of organelle organization (GO:0033043),1208,100,41.82,+,2.39,8.27E-15,7.69E-12
regulation of cellular protein localization (GO:1903827),561,46,19.42,+,2.37,2.56E-07,4.17E-05
positive regulation of catabolic process (GO:0009896),519,42,17.97,+,2.34,1.18E-06,1.52E-04
negative regulation of phosphate metabolic process (GO:0045936),483,39,16.72,+,2.33,3.09E-06,3.35E-04
negative regulation of phosphorus metabolic process (GO:0010563),484,39,16.76,+,2.33,3.22E-06,3.41E-04
regulation of neuron projection development (GO:0010975),447,36,15.48,+,2.33,8.18E-06,7.03E-04
cell division (GO:0051301),498,40,17.24,+,2.32,2.53E-06,2.75E-04
positive regulation of protein catabolic process (GO:0045732),237,19,8.2,+,2.32,1.21E-03,4.87E-02
regulation of catabolic process (GO:0009894),1066,85,36.9,+,2.3,5.46E-12,2.40E-09
cellular response to peptide (GO:1901653),339,27,11.74,+,2.3,1.64E-04,9.42E-03
nuclear transport (GO:0051169),264,21,9.14,+,2.3,7.06E-04,3.17E-02
cellular response to peptide hormone stimulus (GO:0071375),277,22,9.59,+,2.29,5.33E-04,2.51E-02
positive regulation of cell projection organization (GO:0031346),353,28,12.22,+,2.29,1.23E-04,7.37E-03
viral process (GO:0016032),444,35,15.37,+,2.28,1.57E-05,1.21E-03
mitotic cell cycle process (GO:1903047),675,53,23.37,+,2.27,1.41E-07,2.56E-05
cellular response to extracellular stimulus (GO:0031668),269,21,9.31,+,2.25,8.60E-04,3.70E-02
regulation of protein catabolic process (GO:0042176),398,31,13.78,+,2.25,6.08E-05,4.01E-03
response to peptide (GO:1901652),488,38,16.89,+,2.25,1.07E-05,8.88E-04
positive regulation of cellular catabolic process (GO:0031331),450,35,15.58,+,2.25,2.81E-05,2.05E-03
regulation of plasma membrane bounded cell projection organization (GO:0120035),631,49,21.85,+,2.24,5.95E-07,8.18E-05
mitotic cell cycle (GO:0000278),750,58,25.97,+,2.23,6.40E-08,1.30E-05
organelle localization (GO:0051640),609,47,21.08,+,2.23,1.22E-06,1.52E-04
regulation of cell projection organization (GO:0031344),648,50,22.43,+,2.23,4.86E-07,6.92E-05
cell projection morphogenesis (GO:0048858),507,39,17.55,+,2.22,9.45E-06,7.95E-04
regulation of cellular response to stress (GO:0080135),692,53,23.96,+,2.21,2.38E-07,3.92E-05
response to peptide hormone (GO:0043434),406,31,14.06,+,2.21,1.17E-04,7.08E-03
plasma membrane bounded cell projection assembly (GO:0120031),472,36,16.34,+,2.2,2.57E-05,1.88E-03
neuron projection morphogenesis (GO:0048812),499,38,17.28,+,2.2,1.48E-05,1.15E-03
cell part morphogenesis (GO:0032990),526,40,18.21,+,2.2,1.32E-05,1.06E-03
"mRNA splicing, via spliceosome (GO:0000398)",303,23,10.49,+,2.19,8.44E-04,3.66E-02
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",303,23,10.49,+,2.19,8.44E-04,3.65E-02
regulation of anatomical structure size (GO:0090066),514,39,17.79,+,2.19,1.19E-05,9.62E-04
plasma membrane bounded cell projection morphogenesis (GO:0120039),503,38,17.41,+,2.18,1.70E-05,1.30E-03
regulation of protein transport (GO:0051223),556,42,19.25,+,2.18,7.50E-06,6.59E-04
cell morphogenesis (GO:0000902),715,54,24.75,+,2.18,3.24E-07,5.06E-05
cellular component morphogenesis (GO:0032989),611,46,21.15,+,2.17,2.48E-06,2.72E-04
"RNA splicing, via transesterification reactions (GO:0000375)",306,23,10.59,+,2.17,9.18E-04,3.90E-02
regulation of cellular amide metabolic process (GO:0034248),479,36,16.58,+,2.17,3.20E-05,2.31E-03
cell morphogenesis involved in differentiation (GO:0000904),559,42,19.35,+,2.17,8.05E-06,6.99E-04
regulation of cellular component biogenesis (GO:0044087),974,73,33.72,+,2.16,2.95E-09,9.72E-07
positive regulation of hydrolase activity (GO:0051345),574,43,19.87,+,2.16,6.30E-06,5.79E-04
regulation of cellular component size (GO:0032535),389,29,13.47,+,2.15,2.60E-04,1.39E-02
regulation of cellular component organization (GO:0051128),2390,178,82.74,+,2.15,5.13E-22,1.62E-18
positive regulation of cell cycle (GO:0045787),310,23,10.73,+,2.14,1.03E-03,4.28E-02
mRNA processing (GO:0006397),486,36,16.83,+,2.14,5.67E-05,3.78E-03
regulation of protein localization (GO:0032880),894,66,30.95,+,2.13,3.31E-08,7.47E-06
cell projection assembly (GO:0030031),488,36,16.89,+,2.13,5.87E-05,3.90E-03
RNA splicing (GO:0008380),409,30,14.16,+,2.12,2.29E-04,1.26E-02
mRNA metabolic process (GO:0016071),697,51,24.13,+,2.11,2.06E-06,2.30E-04
positive regulation of cellular component biogenesis (GO:0044089),534,39,18.49,+,2.11,2.84E-05,2.06E-03
Golgi vesicle transport (GO:0048193),398,29,13.78,+,2.1,3.24E-04,1.68E-02
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),522,38,18.07,+,2.1,3.89E-05,2.74E-03
cellular protein localization (GO:0034613),1470,107,50.89,+,2.1,1.84E-12,1.04E-09
positive regulation of organelle organization (GO:0010638),605,44,20.95,+,2.1,1.06E-05,8.86E-04
regulation of anatomical structure morphogenesis (GO:0022603),967,70,33.48,+,2.09,2.35E-08,5.47E-06
neuron projection development (GO:0031175),691,50,23.92,+,2.09,3.16E-06,3.37E-04
regulation of cellular catabolic process (GO:0031329),899,65,31.12,+,2.09,1.04E-07,1.98E-05
cellular macromolecule localization (GO:0070727),1480,107,51.24,+,2.09,2.36E-12,1.20E-09
regulation of establishment of protein localization (GO:0070201),581,42,20.11,+,2.09,2.03E-05,1.52E-03
wound healing (GO:0042060),444,32,15.37,+,2.08,2.33E-04,1.27E-02
regulation of cellular component movement (GO:0051270),1032,74,35.73,+,2.07,1.36E-08,3.70E-06
positive regulation of cellular component movement (GO:0051272),558,40,19.32,+,2.07,3.93E-05,2.74E-03
regulation of intracellular signal transduction (GO:1902531),1839,131,63.67,+,2.06,1.36E-14,1.13E-11
positive regulation of cell migration (GO:0030335),520,37,18,+,2.06,1.00E-04,6.17E-03
regulation of hydrolase activity (GO:0051336),1072,76,37.11,+,2.05,1.48E-08,3.82E-06
negative regulation of phosphorylation (GO:0042326),395,28,13.67,+,2.05,8.41E-04,3.67E-02
cellular response to nitrogen compound (GO:1901699),664,47,22.99,+,2.04,9.93E-06,8.31E-04
regulation of cellular localization (GO:0060341),841,59,29.12,+,2.03,9.22E-07,1.21E-04
positive regulation of cellular component organization (GO:0051130),1161,81,40.19,+,2.02,7.67E-09,2.25E-06
positive regulation of cell motility (GO:2000147),545,38,18.87,+,2.01,9.40E-05,5.87E-03
movement of cell or subcellular component (GO:0006928),1596,111,55.25,+,2.01,8.33E-12,3.46E-09
cellular response to organonitrogen compound (GO:0071417),604,42,20.91,+,2.01,4.80E-05,3.27E-03
regulation of cell motility (GO:2000145),954,66,33.03,+,2,3.89E-07,5.86E-05
plasma membrane bounded cell projection organization (GO:0120036),1175,81,40.68,+,1.99,1.45E-08,3.82E-06
axon development (GO:0061564),421,29,14.58,+,1.99,7.85E-04,3.47E-02
posttranscriptional regulation of gene expression (GO:0010608),581,40,20.11,+,1.99,9.15E-05,5.74E-03
protein localization to organelle (GO:0033365),742,51,25.69,+,1.99,1.11E-05,9.15E-04
cell morphogenesis involved in neuron differentiation (GO:0048667),453,31,15.68,+,1.98,7.25E-04,3.24E-02
regulation of cell migration (GO:0030334),892,61,30.88,+,1.98,1.21E-06,1.53E-04
regulation of catalytic activity (GO:0050790),2433,166,84.23,+,1.97,6.88E-17,9.06E-14
regulation of locomotion (GO:0040012),997,68,34.52,+,1.97,2.93E-07,4.73E-05
response to wounding (GO:0009611),543,37,18.8,+,1.97,2.27E-04,1.25E-02
morphogenesis of an epithelium (GO:0002009),441,30,15.27,+,1.96,9.93E-04,4.14E-02
cell-cell adhesion (GO:0098609),515,35,17.83,+,1.96,2.74E-04,1.45E-02
positive regulation of locomotion (GO:0040017),560,38,19.39,+,1.96,1.79E-04,1.01E-02
cell cycle (GO:0007049),1316,89,45.56,+,1.95,5.37E-09,1.60E-06
protein localization (GO:0008104),2063,139,71.42,+,1.95,1.07E-13,8.08E-11
cell projection organization (GO:0030030),1221,82,42.27,+,1.94,2.90E-08,6.65E-06
intracellular protein transport (GO:0006886),781,52,27.04,+,1.92,1.83E-05,1.38E-03
response to growth factor (GO:0070848),526,35,18.21,+,1.92,4.66E-04,2.27E-02
circulatory system process (GO:0003013),481,32,16.65,+,1.92,7.12E-04,3.19E-02
cellular response to growth factor stimulus (GO:0071363),497,33,17.21,+,1.92,8.02E-04,3.52E-02
enzyme linked receptor protein signaling pathway (GO:0007167),723,48,25.03,+,1.92,3.70E-05,2.63E-03
cell migration (GO:0016477),968,64,33.51,+,1.91,1.96E-06,2.20E-04
protein phosphorylation (GO:0006468),685,45,23.71,+,1.9,8.77E-05,5.53E-03
intracellular transport (GO:0046907),1464,96,50.68,+,1.89,5.15E-09,1.56E-06
cell adhesion (GO:0007155),953,62,32.99,+,1.88,5.94E-06,5.56E-04
regulation of growth (GO:0040008),661,43,22.88,+,1.88,1.60E-04,9.24E-03
organelle organization (GO:0006996),3567,232,123.49,+,1.88,4.50E-22,1.78E-18
cell cycle process (GO:0022402),957,62,33.13,+,1.87,6.22E-06,5.75E-04
biological adhesion (GO:0022610),959,62,33.2,+,1.87,6.38E-06,5.83E-04
protein transport (GO:0015031),1300,84,45.01,+,1.87,1.06E-07,2.00E-05
negative regulation of protein modification process (GO:0031400),558,36,19.32,+,1.86,6.77E-04,3.09E-02
intracellular signal transduction (GO:0035556),1677,108,58.06,+,1.86,1.40E-09,4.81E-07
neuron development (GO:0048666),846,54,29.29,+,1.84,3.79E-05,2.68E-03
establishment of protein localization (GO:0045184),1397,89,48.36,+,1.84,7.91E-08,1.54E-05
macromolecule localization (GO:0033036),2496,158,86.41,+,1.83,1.92E-13,1.38E-10
regulation of cell adhesion (GO:0030155),731,46,25.31,+,1.82,2.15E-04,1.20E-02
positive regulation of programmed cell death (GO:0043068),575,36,19.91,+,1.81,1.22E-03,4.88E-02
positive regulation of catalytic activity (GO:0043085),1240,77,42.93,+,1.79,1.67E-06,1.98E-04
regulation of cell cycle process (GO:0010564),792,49,27.42,+,1.79,1.74E-04,9.91E-03
locomotion (GO:0040011),1345,83,46.56,+,1.78,8.47E-07,1.12E-04
regulation of molecular function (GO:0065009),3118,192,107.95,+,1.78,2.20E-15,2.32E-12
localization of cell (GO:0051674),1109,68,38.39,+,1.77,1.19E-05,9.72E-04
cell motility (GO:0048870),1109,68,38.39,+,1.77,1.19E-05,9.67E-04
positive regulation of cell death (GO:0010942),638,39,22.09,+,1.77,1.01E-03,4.22E-02
regulation of signal transduction (GO:0009966),3128,191,108.29,+,1.76,5.78E-15,5.71E-12
regulation of cell cycle (GO:0051726),1164,71,40.3,+,1.76,8.81E-06,7.53E-04
nitrogen compound transport (GO:0071705),1708,104,59.13,+,1.76,5.08E-08,1.09E-05
positive regulation of intracellular signal transduction (GO:1902533),1040,63,36,+,1.75,3.24E-05,2.33E-03
positive regulation of transport (GO:0051050),947,57,32.79,+,1.74,9.79E-05,6.07E-03
cell development (GO:0048468),1646,99,56.98,+,1.74,2.11E-07,3.62E-05
regulation of apoptotic process (GO:0042981),1493,89,51.69,+,1.72,1.31E-06,1.61E-04
regulation of phosphate metabolic process (GO:0019220),1578,94,54.63,+,1.72,5.82E-07,8.14E-05
regulation of phosphorus metabolic process (GO:0051174),1578,94,54.63,+,1.72,5.82E-07,8.07E-05
cellular response to oxygen-containing compound (GO:1901701),1075,64,37.22,+,1.72,5.92E-05,3.91E-03
regulation of signaling (GO:0023051),3545,211,122.73,+,1.72,1.44E-15,1.62E-12
regulation of programmed cell death (GO:0043067),1532,91,53.04,+,1.72,1.21E-06,1.54E-04
negative regulation of protein metabolic process (GO:0051248),1112,66,38.5,+,1.71,3.90E-05,2.73E-03
negative regulation of apoptotic process (GO:0043066),895,53,30.98,+,1.71,2.79E-04,1.47E-02
response to organonitrogen compound (GO:0010243),1014,60,35.1,+,1.71,1.11E-04,6.77E-03
regulation of cell communication (GO:0010646),3509,207,121.48,+,1.7,8.33E-15,7.32E-12
neurogenesis (GO:0022008),1391,82,48.16,+,1.7,5.55E-06,5.31E-04
regulation of localization (GO:0032879),2753,162,95.31,+,1.7,2.79E-11,1.13E-08
cellular localization (GO:0051641),2985,175,103.34,+,1.69,4.33E-12,1.96E-09
anatomical structure morphogenesis (GO:0009653),2158,126,74.71,+,1.69,1.58E-08,3.97E-06
establishment of localization in cell (GO:0051649),2335,136,80.84,+,1.68,4.07E-09,1.29E-06
response to nitrogen compound (GO:1901698),1101,64,38.12,+,1.68,1.03E-04,6.30E-03
negative regulation of programmed cell death (GO:0043069),914,53,31.64,+,1.67,4.56E-04,2.24E-02
negative regulation of cellular protein metabolic process (GO:0032269),1040,60,36,+,1.67,1.95E-04,1.09E-02
positive regulation of protein metabolic process (GO:0051247),1562,90,54.08,+,1.66,4.36E-06,4.31E-04
generation of neurons (GO:0048699),1271,73,44,+,1.66,4.14E-05,2.86E-03
cellular component assembly (GO:0022607),2494,143,86.34,+,1.66,3.84E-09,1.24E-06
