,Clusters,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
30,4,WP3878,ATM signaling in development and disease ,13/502,46/7850,3.69E-06,0.0016068,0.000271397,7158/7249/3150/55183/9656/3930/11200/64421/8517/9759/4217/4790/1386,13
31,4,WP3915,Angiopoietin-like protein 8 regulatory pathway,23/502,132/7850,8.77E-06,0.003814983,0.000536975,6654/8660/8986/253260/4296/6655/7249/5605/2309/3667/9064/6198/868/4294/1432/4214/6199/5598/2889/10211/2997/57521/4217,23
32,4,WP3414,Initiation of transcription and translation elongation at the HIV-1 LTR,11/502,37/7850,1.22E-05,0.00530877,0.000640484,2033/4773/7936/6829/4775/7469/1387/9759/4776/4790/51564,11
33,4,WP366,TGF-beta signaling pathway,22/502,133/7850,3.19E-05,0.013880585,0.001465313,2033/3691/9972/6654/4233/79753/5605/4208/5934/9765/55802/5371/1432/25942/23327/22938/3726/1387/57559/64219/9564/1386,22
34,4,WP23,B cell receptor signaling pathway,18/502,98/7850,4.02E-05,0.017478013,0.001640069,6654/4773/604/5605/4208/29760/5335/2969/4775/1432/6452/3635/84433/8517/4209/2889/4790/1386,18
35,4,WP4321,Thermogenesis,19/502,108/7850,4.60E-05,0.020022747,0.001690971,6654/57492/6655/6597/7249/6603/8289/51780/6198/6601/10818/51548/1432/55818/6199/57521/4217/63976/1386,19
36,4,WP4549,Fragile X syndrome,20/502,123/7850,9.29E-05,0.040430702,0.003104068,9743/6654/10243/4131/7249/5605/5499/369/6198/4763/5335/116986/1759/1605/1981/23426/6895/57521/64798/160,20
37,4,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,22/502,144/7850,0.000109728,0.047731474,0.003359202,8660/4137/7249/5605/2309/3667/4208/6198/324/10818/8878/5335/1432/4214/8517/5598/23426/1499/57498/4776/249/4790,22
38,5,WP3651,Pathways affected in adenoid cystic carcinoma,17/456,66/7850,1.29E-07,5.36E-05,4.54E-05,23269/5894/1387/29072/58508/55914/2033/7403/546/221037/2309/10847/4149/5591/8243/9223/9611,17
39,5,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,25/456,144/7850,6.60E-07,0.000273697,0.000115935,5894/3667/10746/8894/7074/2932/1739/1965/4905/836/23191/5295/10018/1072/3725/8660/2309/6777/324/6792/6776/1808/4214/32/1499,25
40,5,WP437,EGF/EGFR signaling pathway,26/456,164/7850,2.37E-06,0.000983695,0.000277788,5894/2060/11184/10746/30011/3635/1398/6311/253260/6654/5295/1072/5868/3725/9610/6777/6776/8867/10253/673/4215/5782/4214/3636/4216/58513,26
41,5,WP314,Fas ligand pathway and stress induction of heat shock proteins,12/456,44/7850,4.90E-06,0.002032201,0.000364593,84823/8767/397/836/11124/3725/1616/4214/4000/5591/6885/4001,12
42,5,WP3888,VEGFA-VEGFR2 signaling pathway,49/456,439/7850,5.90E-06,0.002448891,0.000364593,4627/3320/5894/2060/55854/1387/100506658/23215/357/2932/1398/253260/9645/226/5216/2926/154796/660/23476/84790/5295/11124/51574/5777/5499/25865/1072/5868/3725/9759/213/9659/2309/54505/1500/170506/8867/51564/23189/5784/8411/23196/10397/4673/832/22820/5226/32/1499,49
43,5,WP3915,Angiopoietin-like protein 8 regulatory pathway,22/456,132/7850,6.22E-06,0.00258217,0.000364593,5894/3667/11184/10746/10487/5597/2932/1398/253260/6654/7248/5295/8660/2309/9448/4296/50488/4215/4214/6885/10211/4216,22
44,5,WP481,Insulin signaling,24/456,161/7850,1.70E-05,0.007072835,0.000855993,5894/3667/11184/10746/10487/5597/2932/1398/3799/6654/7248/5295/3725/8660/2309/9448/4296/50488/4215/4214/6885/3636/10211/4216,24
45,5,WP4537,Hippo-Yap signaling pathway,8/456,23/7850,2.75E-05,0.011427103,0.001180858,10971/11184/6788/9448/26524/9113/50488/10397,8
46,5,WP304,Kit receptor signaling pathway,13/456,60/7850,3.02E-05,0.012544846,0.001180858,5894/2886/3635/1398/2033/6654/5295/5777/2309/6777/6776/4067/4286,13
47,5,WP2038,Microtubule cytoskeleton regulation,11/456,49/7850,8.77E-05,0.036388842,0.003082783,4131/7074/2932/10420/7204/324/2011/90102/1808/6249/57551,11
48,6,WP411,mRNA processing,18/113,133/7850,3.59E-13,6.46E-11,6.20E-11,23451/10914/10992/10250/10921/55660/8899/9129/6434/6431/57794/23405/22803/8449/10772/9584/6427/3183,18
49,6,WP107,Translation factors,8/113,54/7850,8.62E-07,0.000155123,7.44E-05,8893/1933/9669/1938/1915/8890/8663/1975,8
50,7,WP437,EGF/EGFR signaling pathway,22/293,164/7850,1.58E-07,5.69E-05,5.24E-05,9712/4215/4303/2697/7410/4205/1385/51196/2475/4209/3727/10253/9922/5037/6195/25/2549/6093/10006/3636/5747/4690,22
51,7,WP3888,VEGFA-VEGFR2 signaling pathway,36/293,439/7850,5.87E-06,0.002119159,0.000976315,2243/2624/100506658/6461/152273/4301/4303/2697/4772/7410/84952/5829/1500/91624/1385/5784/5062/357/29109/10014/51564/2475/6595/9475/71/10645/25/2317/2549/9209/6093/355/5747/4690/6624/10818,36
52,7,WP2038,Microtubule cytoskeleton regulation,9/293,49/7850,6.85E-05,0.024741774,0.007599165,90102/814/57551/10420/2011/25/6093/7074/324,9
53,7,WP185,Integrin-mediated cell adhesion,13/293,104/7850,0.000120854,0.043628414,0.010049992,7145/10580/7791/7410/5829/5062/1793/9475/9815/7094/8874/6093/5747,13
54,8,WP185,Integrin-mediated cell adhesion,13/189,104/7850,1.09E-06,0.000327309,0.000242667,7145/7414/5062/2889/9815/10580/5747/5829/1793/857/5058/10000/3611,13
55,8,WP3888,VEGFA-VEGFR2 signaling pathway,28/189,439/7850,1.82E-06,0.000548543,0.000242667,4301/5784/7414/4217/4691/5062/2889/152273/4303/84952/1500/357/71/5777/8650/29766/4772/2035/9209/5747/4690/5829/11080/9513/1397/857/5590/5058,28
56,8,WP51,Regulation of actin cytoskeleton,15/189,151/7850,3.11E-06,0.000936888,0.00027631,10458/7414/5062/4638/71/5747/5829/1793/6548/22800/10152/9459/5058/324/7454,15
57,8,WP306,Focal adhesion,16/189,202/7850,2.67E-05,0.008039789,0.001778341,10188/7414/394/5062/2889/4638/71/83660/2316/5747/5829/1793/857/5058/10000/3611,16
58,8,WP4560,MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,5/189,18/7850,5.09E-05,0.015334587,0.002713517,7414/4638/7082/5747/5829,5
59,8,WP2572,Primary focal segmental glomerulosclerosis (FSGS),9/189,74/7850,6.44E-05,0.019373162,0.002856799,11346/7414/64423/5747/4690/7431/7402/1027/3611,9
60,9,WP3888,VEGFA-VEGFR2 signaling pathway,89/657,439/7850,5.73E-16,2.81E-13,2.22E-13,213/9444/56907/2475/2317/9564/7414/84952/301/4627/83737/6595/1495/23215/2113/5515/4629/5829/3146/23476/1500/100506658/8826/9659/29924/2697/6093/10014/170506/2314/5578/51564/160/4303/5581/4790/71/6722/79109/832/2185/4772/4690/5587/1267/5335/2549/4641/6461/6386/152273/5230/5321/29766/56905/7430/8867/2889/6464/1387/207/5879/2309/23189/1465/9209/5784/25865/8775/5894/9513/3301/1969/4301/55692/8013/2060/9100/2243/4846/1072/5584/9759/55854/4217/5226/5777/5592/4773,89
61,9,WP437,EGF/EGFR signaling pathway,44/657,164/7850,1.24E-12,6.11E-10,2.42E-10,30011/2475/9922/9564/9610/83737/9846/4215/8826/9712/50807/29924/2697/6093/5578/3727/6654/9046/6311/160/4303/1978/2185/51196/6197/4690/5335/2549/8867/5898/6464/10188/4216/207/5879/8440/1956/5894/5607/2060/9138/4846/1072/5584,44
62,9,WP3651,Pathways affected in adenoid cystic carcinoma,20/657,66/7850,2.18E-07,0.000107211,2.83E-05,8289/546/6595/284058/9874/64324/9223/5591/55534/29072/1387/4781/207/10847/2309/2033/221037/5894/9611/58508,20
63,9,WP4659,Gastrin signaling pathway,27/657,114/7850,4.88E-07,0.000239478,4.74E-05,4296/2475/9564/3667/6925/5829/5566/6093/5578/51564/6654/1978/5581/302/7082/4790/5587/5335/6464/207/5879/2309/25865/1956/5894/3815/1027,27
64,9,WP51,Regulation of actin cytoskeleton,30/657,151/7850,5.88E-06,0.002887971,0.000381363,2909/56924/4638/2934/9564/7414/324/4478/5829/4628/8826/87/1793/6093/6654/54961/28964/71/10298/55740/5286/7430/54434/5962/5879/1956/5894/9138/10163/1072,30
65,9,WP2038,Microtubule cytoskeleton regulation,15/657,49/7850,6.29E-06,0.0030868,0.000381363,1855/7074/90102/324/5566/6093/23332/5578/10420/4139/7204/207/5879/4131/2011,15
66,9,WP231,TNF-alpha signaling pathway,22/657,94/7850,6.87E-06,0.003374542,0.000381363,1326/4215/5515/23118/5708/10010/56957/6654/257397/4790/11035/1387/207/10454/5879/8567/11140/5894/8737/4791/7128/4217,22
67,9,WP4223,Ras signaling,34/657,186/7850,9.73E-06,0.004776142,0.00047229,2782/56924/9610/7074/9846/55770/2113/5566/5578/6654/4303/208/4790/4763/9462/10298/51196/5335/2549/801/5321/5898/64926/115727/6464/207/5879/1956/5894/1969/4301/3815/9771/6789,34
68,9,WP185,Integrin-mediated cell adhesion,23/657,104/7850,1.17E-05,0.005741432,0.00050466,825/56924/7145/9564/7414/10580/823/5829/1793/7791/6093/6654/208/10298/7094/369/9815/2889/6464/207/5879/5894/5607,23
69,9,WP2291,Deregulation of Rab and Rab effector genes in bladder cancer,8/657,16/7850,1.62E-05,0.00795414,0.000629237,79083/25924/94121/23086/5873/8567/94120/83874,8
70,9,WP481,Insulin signaling,30/657,161/7850,2.21E-05,0.010832214,0.000779015,4296/8660/2475/10580/1326/4215/3667/7248/5578/6654/1978/208/6722/8986/6197/2549/4641/5286/2889/6464/4216/8491/207/5879/2309/5894/5607/252983/5584/4217,30
71,9,WP366,TGF-beta signaling pathway,26/657,133/7850,3.29E-05,0.016136817,0.001063795,9564/7048/83737/5933/2113/5371/6935/6093/3727/6654/10413/9839/6711/25942/1316/55802/6464/1387/23327/207/10454/5879/2033/9972/5894/6497,26
72,9,WP2795,Cardiac hypertrophic response,15/657,57/7850,4.67E-05,0.022954094,0.00131323,2475/10014/5578/51564/208/4790/5587/801/207/5879/5894/5607/9759/5592/4773,15
73,9,WP3879,"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression",8/657,18/7850,4.73E-05,0.023240618,0.00131323,4296/2475/7248/1978/207/2872/5894/4217,8
74,9,WP3915,Angiopoietin-like protein 8 regulatory pathway,25/657,132/7850,8.01E-05,0.039311581,0.002073244,4296/8660/2475/1326/4215/3667/7248/51422/6654/1978/208/79109/8986/6197/9322/5286/2889/6464/4216/8491/207/2309/5894/5607/4217,25
75,9,WP524,G13 signaling pathway,12/657,41/7850,8.73E-05,0.042843912,0.002118314,5585/8826/6093/10788/85415/801/57630/10188/4216/5879/9138/1072,12
76,9,WP3844,PI3K-AKT-mTOR signaling pathway and therapeutic opportunities,10/657,30/7850,0.000100932,0.049557847,0.002306135,9821/2475/9776/4303/1978/7942/207/2309/1027/4846,10
77,10,WP585,Interferon type I signaling pathways,16/567,55/7850,9.34E-07,0.000399592,0.000261384,1975/2889/5781/8660/4214/9846/79109/6775/867/3667/8554/3455/57521/8986/7297/6774,16
78,10,WP3888,VEGFA-VEGFR2 signaling pathway,59/567,439/7850,1.74E-06,0.000743495,0.000261384,9475/4217/2889/357/5781/5562/4772/4792/9513/81567/10818/1500/23215/7531/1387/6595/9759/1267/6461/4690/8569/84952/5784/3320/4301/25/2060/79109/56907/23476/8826/2113/10397/832/51564/4627/867/253260/5795/8867/8575/26058/1796/54505/2309/824/9584/6416/23189/4773/84335/5058/2597/4846/6774/2185/2035/100506658/71,59
79,10,WP3915,Angiopoietin-like protein 8 regulatory pathway,26/567,132/7850,2.01E-06,0.000859398,0.000261384,11183/4217/2889/5562/8660/4214/7248/7249/10746/79109/6885/30849/4216/867/253260/3667/23265/57521/2309/8986/4296/6416/50488/51085/11184/9448,26
80,10,WP437,EGF/EGFR signaling pathway,28/567,164/7850,1.48E-05,0.006319445,0.001279069,5781/54206/4214/9922/4690/5287/58513/50807/9846/10746/25/2060/8826/8202/4216/9101/9610/867/253260/8867/10006/3636/30011/5058/11184/4846/6774/2185,28
81,10,WP4537,Hippo-Yap signaling pathway,9/567,23/7850,1.64E-05,0.007009022,0.001279069,10397/7005/23043/9113/50488/4771/60485/11184/9448,9
82,10,WP3651,Pathways affected in adenoid cystic carcinoma,15/567,66/7850,5.35E-05,0.022900418,0.003482561,9874/9611/546/8289/29072/55914/1387/6595/7994/58508/23269/10847/2309/9223/221037,15
83,10,WP481,Insulin signaling,26/567,161/7850,7.91E-05,0.033837348,0.004410673,11183/4217/2889/5781/5562/8660/6810/4214/10580/7248/5211/7249/10746/6885/30849/4216/867/3667/3636/2309/8986/4296/6416/50488/11184/9448,26
84,10,WP4656,Joubert syndrome,16/567,77/7850,9.64E-05,0.041265926,0.004706609,4361/9738/51199/8481/95681/1857/51684/27130/142/79598/57545/56623/5108/5116/1855/9786,16
85,11,WP2446,Retinoblastoma gene in cancer,18/325,88/7850,1.38E-08,5.13E-06,4.76E-06,81620/8819/2956/4173/7153/9126/7465/8030/983/5925/5422/24137/6117/6118/1786/54443/5591/5426,18
86,11,WP4016,DNA IR-damage and cellular response via ATR,16/325,83/7850,2.14E-07,7.95E-05,3.69E-05,51720/8924/7158/4171/10111/983/7398/6117/9656/142/11073/6118/83990/672/5591/1196,16
87,11,WP411,mRNA processing,19/325,133/7850,2.03E-06,0.000755641,0.000233777,6625/10992/3192/27316/3178/7307/1660/10250/6429/6732/10482/4904/2521/10772/1196/6434/55660/3181/10147,19
88,11,WP4946,"DNA repair pathways, full network",17/325,121/7850,8.88E-06,0.003304278,0.000766697,2956/2547/8930/10111/57697/7398/6117/5981/142/6118/83990/672/7515/7374/5395/5591/5426,17
89,11,WP466,DNA replication,9/325,42/7850,4.25E-05,0.01582611,0.002937727,81620/4171/4173/5422/6117/5981/6118/10926/5426,9
90,11,WP107,Translation factors,10/325,54/7850,6.07E-05,0.022588832,0.003494217,8662/1975/8661/9669/1933/8667/1981/1936/9451/1938,10
91,11,WP3878,ATM signaling in development and disease ,9/325,46/7850,9.08E-05,0.033785195,0.004479563,7158/55183/10111/983/9656/4217/3315/3150/5591,9
92,12,WP4932,7q11.23 copy number variation syndrome,12/212,106/7850,2.60E-05,0.008865928,0.008292564,9188/10514/23426/3066/7913/23332/23476/3159/2200/2969/10013/8878,12
93,12,WP4016,DNA IR-damage and cellular response via ATR,10/212,83/7850,7.26E-05,0.024758607,0.011578728,4361/4171/672/63967/7158/5932/8517/83990/5371/10155,10
94,12,WP2446,Retinoblastoma gene in cancer,10/212,88/7850,0.000119801,0.040852107,0.012736727,6595/898/3065/54443/1026/4175/1786/4172/7153/7272,10
95,13,WP411,mRNA processing,29/454,133/7850,3.15E-10,1.37E-07,1.23E-07,3181/23451/6625/8899/53981/10181/4904/10250/10921/10992/11338/3190/10421/4841/6429/6431/3187/6434/1198/140890/8449/84991/1479/10772/4686/6430/9129/3192/3183,29
96,13,WP437,EGF/EGFR signaling pathway,28/454,164/7850,1.83E-07,7.97E-05,3.57E-05,10928/6654/1432/2064/4846/6774/673/3925/2308/1399/3635/4209/8826/9185/9101/30011/1956/5580/10617/6772/29924/5782/1759/4208/6195/3727/2059/9922,28
97,13,WP3888,VEGFA-VEGFR2 signaling pathway,50/454,439/7850,2.31E-06,0.001006413,0.000248501,152273/4773/274/6595/1432/4673/4846/6774/2314/1192/2308/9344/55854/100506658/1981/8826/9898/3065/6416/6386/4217/25865/5580/2317/5331/8575/6772/29924/84952/226/6924/4208/3315/6461/3146/5563/27044/23196/1500/9578/3320/9451/5562/6181/1796/357/55692/10525/26058/7414,50
98,13,WP23,B cell receptor signaling pathway,19/454,98/7850,2.55E-06,0.001109746,0.000248501,4773/6654/3059/1432/673/2308/1399/3635/4209/8394/5580/118788/4775/4208/6452/6195/84433/4067/29760,19
99,13,WP2864,Apoptosis-related network due to altered Notch3 in ovarian cancer,13/454,54/7850,8.52E-06,0.003712746,0.000665103,8878/79092/5585/3065/3309/8531/2065/3315/8767/602/3727/7431/26135,13
100,13,WP304,Kit receptor signaling pathway,13/454,60/7850,2.89E-05,0.012583171,0.001878463,6654/1432/6774/1399/3635/4137/2886/6772/572/6195/1796/4067/3726,13
101,13,WP107,Translation factors,12/454,54/7850,4.48E-05,0.019539402,0.002500213,1975/1983/1933/23277/29904/1981/1938/9669/8663/8893/9451/7458,12
102,14,WP3888,VEGFA-VEGFR2 signaling pathway,71/532,439/7850,1.86E-12,8.69E-10,7.24E-10,226/2060/51564/867/5580/7148/1192/3303/4627/1398/6416/1499/7414/8826/2243/4629/2597/9451/3725/6595/160/4673/5296/5584/6624/6714/2309/23196/9564/2317/7531/355/4303/7086/1213/3315/1386/5581/56907/84952/9659/9645/5605/6722/25865/409/32/3688/22820/4208/29924/213/56905/1796/8550/5829/1387/4773/23189/5058/29109/9209/23215/6093/5216/4690/10818/1827/5579/3301/100506658,71
103,14,WP437,EGF/EGFR signaling pathway,38/532,164/7850,9.06E-12,4.23E-09,1.76E-09,2060/867/5580/9712/3636/5596/1398/8826/3725/160/5296/5584/6714/58513/9564/4303/6197/2005/9922/5605/5598/50807/9846/2059/4208/29924/10188/673/5058/9610/10006/3635/30011/6093/51196/4205/4690/5579,38
104,14,WP366,TGF-beta signaling pathway,30/532,133/7850,2.96E-09,1.38E-06,3.84E-07,5934/6497/5576/79753/9839/5596/6416/3725/10413/55802/5296/6714/9564/25942/3726/1386/7071/5371/5605/8554/1601/3688/6935/4208/6711/1387/2033/9972/6093/4205,30
105,14,WP4659,Gastrin signaling pathway,26/532,114/7850,2.68E-08,1.25E-05,2.61E-06,51564/572/5580/4296/1398/1499/408/7082/3725/5296/6714/2309/9564/329/1386/5581/3551/25865/409/3688/4208/6548/5829/5058/6925/6093,26
106,14,WP304,Kit receptor signaling pathway,17/532,60/7850,2.61E-07,0.00012187,2.03E-05,867/572/4067/4286/1398/9306/5296/6714/2309/3726/6197/5605/9846/1796/2033/3635/5579,17
107,14,WP4018,Clear cell renal cell carcinoma pathways,20/532,87/7850,9.60E-07,0.000448469,6.23E-05,226/55276/7248/57521/2597/5236/7167/6009/4190/3101/230/7249/8536/32/6935/29072/1387/2033/55193/2023,20
108,14,WP185,Integrin-mediated cell adhesion,21/532,104/7850,4.82E-06,0.002252733,0.000268394,5596/1398/7414/208/823/7145/5296/5063/6714/9564/7094/5605/5598/3688/369/1793/5829/673/5058/6093/7791,21
109,14,WP3651,Pathways affected in adenoid cystic carcinoma,16/532,66/7850,5.65E-06,0.002636782,0.000274882,8289/58508/6595/7994/2309/5605/10847/29072/221037/51742/8243/9611/1387/2033/546/4781,16
110,14,WP23,B cell receptor signaling pathway,20/532,98/7850,6.84E-06,0.003196078,0.000293271,867/5580/4067/5596/1398/3725/5296/4775/1386/3551/5605/604/7462/9846/4208/4773/673/3635/4690/5579,20
111,14,WP2261,Glioblastoma signaling pathways,18/532,83/7850,8.09E-06,0.003777028,0.000293271,2956/867/5580/2065/7248/6416/208/5296/5584/6714/2309/4303/7249/5605/369/2033/673/5579,18
112,14,WP51,Regulation of actin cytoskeleton,26/532,151/7850,8.28E-06,0.003868121,0.000293271,10458/8045/324/2909/5596/1398/7414/8826/87/5296/5063/9564/8396/5605/2934/6548/1793/6237/5829/673/5058/28964/6093/5216/10163/4628,26
113,14,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,25/532,144/7850,1.06E-05,0.004968213,0.000345287,4082/572/5580/324/1739/7074/1499/3725/5296/6792/6714/2309/23191/6197/7249/3551/5605/5598/8536/32/4208/1808/4205/4690/10818,25
114,14,WP138,Androgen receptor signaling pathway,18/532,91/7850,3.07E-05,0.014348019,0.000854723,2316/1499/3725/5296/6714/23411/10273/573/25942/8554/23028/10499/9611/1387/2033/11143/6093/7182,18
115,14,WP673,ErbB signaling pathway,18/532,91/7850,3.07E-05,0.014348019,0.000854723,867/572/2065/1398/6416/208/3725/5296/5063/6714/5605/369/673/5058/27/816/4690/5579,18
116,14,WP306,Focal adhesion,30/532,202/7850,3.48E-05,0.016241199,0.000903001,572/7148/2909/2316/1398/1499/7414/87/208/3725/5296/5063/6714/9564/2317/329/7094/10627/3688/1793/5829/10188/673/29780/5058/10420/394/6093/7791/5579,30
117,14,WP4656,Joubert syndrome,16/532,77/7850,4.49E-05,0.020977923,0.001093462,403/153241/9786/4218/5116/2316/22897/79598/6009/142/79848/27130/5108/117177/51199/95681,16
118,14,WP481,Insulin signaling,25/532,161/7850,7.45E-05,0.034774865,0.001705995,867/6813/3799/5580/7248/4296/3636/10938/5596/1398/6416/208/3725/5296/5584/2309/8773/6009/6197/7249/3551/5605/6722/5598/5579,25
119,15,WP437,EGF/EGFR signaling pathway,14/150,164/7850,2.65E-06,0.00074163,0.000512049,6464/50807/5782/5590/2059/1978/1956/1173/2064/9712/2308/4303/5607/9564,14
