GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (1189),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427),111,33,6.41,+,5.15,1.40E-12,2.06E-10
mRNA 3'-end processing (GO:0031124),88,26,5.08,+,5.12,3.68E-10,3.92E-08
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431),34,10,1.96,+,5.09,1.02E-04,4.18E-03
tRNA export from nucleus (GO:0006409),34,10,1.96,+,5.09,1.02E-04,4.17E-03
positive regulation of interferon-alpha production (GO:0032727),24,7,1.39,+,5.05,1.17E-03,3.45E-02
glucose catabolic process (GO:0006007),31,9,1.79,+,5.03,2.45E-04,8.82E-03
positive regulation of protein autophosphorylation (GO:0031954),28,8,1.62,+,4.95,5.92E-04,1.91E-02
negative regulation of mRNA metabolic process (GO:1903312),88,25,5.08,+,4.92,1.58E-09,1.57E-07
histone ubiquitination (GO:0016574),39,11,2.25,+,4.89,6.39E-05,2.77E-03
regulation of RNA splicing (GO:0043484),149,42,8.6,+,4.88,5.85E-15,1.17E-12
spliceosomal complex assembly (GO:0000245),57,16,3.29,+,4.86,1.55E-06,9.95E-05
cellular response to ionizing radiation (GO:0071479),68,19,3.93,+,4.84,1.76E-07,1.32E-05
RNA polyadenylation (GO:0043631),36,10,2.08,+,4.81,1.52E-04,5.88E-03
regulation of mRNA processing (GO:0050684),141,39,8.14,+,4.79,9.07E-14,1.57E-11
mitotic spindle assembly (GO:0090307),47,13,2.71,+,4.79,1.67E-05,8.49E-04
regulation of megakaryocyte differentiation (GO:0045652),58,16,3.35,+,4.78,1.88E-06,1.18E-04
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771),29,8,1.67,+,4.78,7.19E-04,2.26E-02
"regulation of mRNA splicing, via spliceosome (GO:0048024)",102,28,5.89,+,4.75,3.23E-10,3.49E-08
tRNA transport (GO:0051031),37,10,2.14,+,4.68,1.84E-04,6.90E-03
microtubule anchoring (GO:0034453),26,7,1.5,+,4.66,1.73E-03,4.72E-02
ribonucleoprotein complex export from nucleus (GO:0071426),127,34,7.33,+,4.64,7.50E-12,1.03E-09
histone lysine demethylation (GO:0070076),30,8,1.73,+,4.62,8.68E-04,2.69E-02
regulation of cellular response to heat (GO:1900034),79,21,4.56,+,4.6,8.25E-08,6.41E-06
ribonucleoprotein complex localization (GO:0071166),128,34,7.39,+,4.6,9.00E-12,1.21E-09
RNA export from nucleus (GO:0006405),135,35,7.79,+,4.49,7.97E-12,1.08E-09
"RNA splicing, via transesterification reactions (GO:0000375)",305,79,17.61,+,4.49,4.96E-25,3.13E-22
"mRNA splicing, via spliceosome (GO:0000398)",302,78,17.44,+,4.47,1.16E-24,6.79E-22
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",302,78,17.44,+,4.47,1.16E-24,6.55E-22
positive regulation of microtubule polymerization (GO:0031116),31,8,1.79,+,4.47,1.04E-03,3.11E-02
regulation of microtubule depolymerization (GO:0031114),31,8,1.79,+,4.47,1.04E-03,3.10E-02
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243),31,8,1.79,+,4.47,1.04E-03,3.10E-02
mRNA transport (GO:0051028),159,41,9.18,+,4.47,1.51E-13,2.56E-11
mRNA polyadenylation (GO:0006378),35,9,2.02,+,4.45,5.23E-04,1.70E-02
mitotic nuclear envelope reassembly (GO:0007084),51,13,2.94,+,4.42,3.47E-05,1.61E-03
mitotic nuclear membrane organization (GO:0101024),51,13,2.94,+,4.42,3.47E-05,1.61E-03
RNA splicing (GO:0008380),407,102,23.5,+,4.34,4.46E-31,5.87E-28
histone demethylation (GO:0016577),32,8,1.85,+,4.33,1.24E-03,3.60E-02
NADH metabolic process (GO:0006734),40,10,2.31,+,4.33,3.14E-04,1.10E-02
"regulation of DNA-templated transcription, elongation (GO:0032784)",52,13,3,+,4.33,4.13E-05,1.87E-03
DNA geometric change (GO:0032392),113,28,6.52,+,4.29,2.29E-09,2.23E-07
nuclear export (GO:0051168),166,41,9.58,+,4.28,5.01E-13,7.98E-11
ATP-dependent chromatin remodeling (GO:0043044),77,19,4.45,+,4.27,8.88E-07,5.84E-05
non-recombinational repair (GO:0000726),69,17,3.98,+,4.27,3.36E-06,2.03E-04
DNA duplex unwinding (GO:0032508),106,26,6.12,+,4.25,1.02E-08,9.10E-07
regulation of microtubule polymerization (GO:0031113),53,13,3.06,+,4.25,4.89E-05,2.16E-03
regulation of cell cycle checkpoint (GO:1901976),33,8,1.91,+,4.2,1.47E-03,4.16E-02
negative regulation of mRNA catabolic process (GO:1902373),58,14,3.35,+,4.18,2.94E-05,1.38E-03
nuclear envelope reassembly (GO:0031468),54,13,3.12,+,4.17,5.76E-05,2.50E-03
double-strand break repair via nonhomologous end joining (GO:0006303),63,15,3.64,+,4.12,1.77E-05,8.88E-04
protein export from nucleus (GO:0006611),152,36,8.78,+,4.1,3.63E-11,4.59E-09
mRNA processing (GO:0006397),484,114,27.94,+,4.08,1.39E-32,2.44E-29
protein demethylation (GO:0006482),34,8,1.96,+,4.08,1.73E-03,4.73E-02
G2 DNA damage checkpoint (GO:0031572),34,8,1.96,+,4.08,1.73E-03,4.72E-02
histone lysine methylation (GO:0034968),68,16,3.93,+,4.08,1.07E-05,5.78E-04
protein dealkylation (GO:0008214),34,8,1.96,+,4.08,1.73E-03,4.71E-02
regulation of protein autophosphorylation (GO:0031952),48,11,2.77,+,3.97,3.05E-04,1.07E-02
chromatin remodeling (GO:0006338),172,39,9.93,+,3.93,1.74E-11,2.26E-09
transcription elongation from RNA polymerase II promoter (GO:0006368),75,17,4.33,+,3.93,8.73E-06,4.85E-04
establishment of RNA localization (GO:0051236),203,46,11.72,+,3.93,2.72E-13,4.47E-11
DNA replication-independent nucleosome organization (GO:0034724),40,9,2.31,+,3.9,1.19E-03,3.47E-02
mRNA stabilization (GO:0048255),49,11,2.83,+,3.89,3.55E-04,1.23E-02
nuclear membrane organization (GO:0071763),58,13,3.35,+,3.88,1.08E-04,4.31E-03
"regulation of alternative mRNA splicing, via spliceosome (GO:0000381)",58,13,3.35,+,3.88,1.08E-04,4.30E-03
RNA transport (GO:0050658),201,45,11.6,+,3.88,7.09E-13,1.10E-10
nucleic acid transport (GO:0050657),201,45,11.6,+,3.88,7.09E-13,1.09E-10
regulation of dendritic spine morphogenesis (GO:0061001),45,10,2.6,+,3.85,6.99E-04,2.21E-02
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332),50,11,2.89,+,3.81,4.12E-04,1.38E-02
glycolytic process (GO:0006096),41,9,2.37,+,3.8,1.38E-03,3.94E-02
RNA 3'-end processing (GO:0031123),142,31,8.2,+,3.78,4.44E-09,4.12E-07
response to gamma radiation (GO:0010332),55,12,3.18,+,3.78,2.44E-04,8.79E-03
negative regulation of RNA catabolic process (GO:1902369),69,15,3.98,+,3.77,4.42E-05,1.98E-03
RNA localization (GO:0006403),222,48,12.82,+,3.75,3.66E-13,5.89E-11
ATP generation from ADP (GO:0006757),42,9,2.42,+,3.71,1.59E-03,4.41E-02
protein monoubiquitination (GO:0006513),61,13,3.52,+,3.69,1.67E-04,6.39E-03
positive regulation of mRNA metabolic process (GO:1903313),85,18,4.91,+,3.67,1.08E-05,5.83E-04
RNA stabilization (GO:0043489),57,12,3.29,+,3.65,3.24E-04,1.13E-02
actin cytoskeleton reorganization (GO:0031532),67,14,3.87,+,3.62,1.14E-04,4.52E-03
protein deacetylation (GO:0006476),53,11,3.06,+,3.59,6.32E-04,2.03E-02
regulation of microtubule polymerization or depolymerization (GO:0031110),83,17,4.79,+,3.55,2.73E-05,1.29E-03
intracellular transport of virus (GO:0075733),54,11,3.12,+,3.53,7.23E-04,2.27E-02
negative regulation of viral genome replication (GO:0045071),54,11,3.12,+,3.53,7.23E-04,2.27E-02
positive regulation of type I interferon production (GO:0032481),79,16,4.56,+,3.51,5.24E-05,2.30E-03
DNA damage checkpoint (GO:0000077),139,28,8.02,+,3.49,1.07E-07,8.24E-06
mitotic spindle organization (GO:0007052),164,33,9.47,+,3.49,8.22E-09,7.45E-07
mitotic nuclear division (GO:0140014),209,42,12.07,+,3.48,8.08E-11,9.51E-09
microtubule cytoskeleton organization involved in mitosis (GO:1902850),185,37,10.68,+,3.46,1.20E-09,1.21E-07
histone deacetylation (GO:0016575),50,10,2.89,+,3.46,1.41E-03,4.02E-02
nuclear transport (GO:0051169),262,52,15.13,+,3.44,6.89E-13,1.08E-10
telomere organization (GO:0032200),106,21,6.12,+,3.43,5.09E-06,2.96E-04
double-strand break repair (GO:0006302),202,40,11.66,+,3.43,3.32E-10,3.56E-08
spindle assembly (GO:0051225),91,18,5.25,+,3.43,2.40E-05,1.16E-03
histone methylation (GO:0016571),86,17,4.96,+,3.42,4.04E-05,1.84E-03
nucleocytoplasmic transport (GO:0006913),259,51,14.95,+,3.41,1.49E-12,2.15E-10
"DNA-templated transcription, elongation (GO:0006354)",92,18,5.31,+,3.39,2.73E-05,1.29E-03
spindle organization (GO:0007051),225,44,12.99,+,3.39,6.21E-11,7.53E-09
telomere maintenance (GO:0000723),103,20,5.95,+,3.36,1.10E-05,5.92E-04
circadian regulation of gene expression (GO:0032922),67,13,3.87,+,3.36,3.71E-04,1.27E-02
covalent chromatin modification (GO:0016569),360,69,20.78,+,3.32,5.21E-16,1.21E-13
mitotic prometaphase (GO:0000236),167,32,9.64,+,3.32,3.76E-08,3.14E-06
regulation of gene silencing by miRNA (GO:0060964),94,18,5.43,+,3.32,3.50E-05,1.61E-03
mitotic cytokinesis (GO:0000281),68,13,3.93,+,3.31,4.20E-04,1.41E-02
regulation of mRNA metabolic process (GO:1903311),340,65,19.63,+,3.31,4.16E-15,8.64E-13
histone modification (GO:0016570),356,68,20.55,+,3.31,9.90E-16,2.20E-13
peptidyl-lysine methylation (GO:0018022),84,16,4.85,+,3.3,9.90E-05,4.08E-03
DNA integrity checkpoint (GO:0031570),147,28,8.49,+,3.3,2.93E-07,2.14E-05
cytoplasmic microtubule organization (GO:0031122),63,12,3.64,+,3.3,7.12E-04,2.25E-02
negative regulation of chromosome organization (GO:2001251),79,15,4.56,+,3.29,1.67E-04,6.40E-03
positive regulation of chromatin organization (GO:1905269),116,22,6.7,+,3.29,5.66E-06,3.25E-04
mRNA metabolic process (GO:0016071),694,131,40.07,+,3.27,4.68E-29,4.61E-26
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)",85,16,4.91,+,3.26,1.12E-04,4.45E-03
regulation of posttranscriptional gene silencing (GO:0060147),96,18,5.54,+,3.25,4.46E-05,1.99E-03
regulation of type I interferon production (GO:0032479),128,24,7.39,+,3.25,2.57E-06,1.58E-04
regulation of chromatin organization (GO:1902275),203,38,11.72,+,3.24,3.58E-09,3.34E-07
signal transduction in response to DNA damage (GO:0042770),102,19,5.89,+,3.23,3.00E-05,1.40E-03
regulation of gene silencing by RNA (GO:0060966),97,18,5.6,+,3.21,5.02E-05,2.21E-03
regulation of telomere maintenance (GO:0032204),81,15,4.68,+,3.21,2.12E-04,7.77E-03
response to ionizing radiation (GO:0010212),146,27,8.43,+,3.2,7.87E-07,5.24E-05
vesicle targeting (GO:0006903),92,17,5.31,+,3.2,8.43E-05,3.52E-03
protein sumoylation (GO:0016925),65,12,3.75,+,3.2,9.06E-04,2.79E-02
chromatin organization (GO:0006325),697,128,40.24,+,3.18,2.04E-27,1.79E-24
positive regulation of macroautophagy (GO:0016239),60,11,3.46,+,3.18,1.54E-03,4.30E-02
negative regulation of viral process (GO:0048525),93,17,5.37,+,3.17,9.47E-05,3.91E-03
regulation of histone methylation (GO:0031060),66,12,3.81,+,3.15,1.02E-03,3.07E-02
transport of virus (GO:0046794),61,11,3.52,+,3.12,1.73E-03,4.73E-02
regulation of chromosome organization (GO:0033044),283,51,16.34,+,3.12,2.60E-11,3.34E-09
cell cycle checkpoint (GO:0000075),189,34,10.91,+,3.12,5.51E-08,4.39E-06
regulation of carbohydrate catabolic process (GO:0043470),89,16,5.14,+,3.11,1.78E-04,6.74E-03
regulation of viral genome replication (GO:0045069),84,15,4.85,+,3.09,2.99E-04,1.06E-02
positive regulation of chromosome organization (GO:2001252),174,31,10.05,+,3.09,2.54E-07,1.86E-05
nucleobase-containing compound transport (GO:0015931),253,45,14.61,+,3.08,5.56E-10,5.85E-08
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",79,14,4.56,+,3.07,5.03E-04,1.65E-02
protein import into nucleus (GO:0006606),96,17,5.54,+,3.07,1.33E-04,5.20E-03
DNA conformation change (GO:0071103),313,55,18.07,+,3.04,1.02E-11,1.36E-09
regulation of gene silencing (GO:0060968),116,20,6.7,+,2.99,4.93E-05,2.18E-03
cytosolic transport (GO:0016482),148,25,8.54,+,2.93,8.14E-06,4.57E-04
chromosome organization (GO:0051276),1061,179,61.25,+,2.92,2.78E-34,7.31E-31
regulation of protein depolymerization (GO:1901879),89,15,5.14,+,2.92,5.14E-04,1.68E-02
RNA processing (GO:0006396),923,155,53.29,+,2.91,2.09E-29,2.20E-26
mitotic DNA damage checkpoint (GO:0044773),102,17,5.89,+,2.89,2.52E-04,9.04E-03
cytokinesis (GO:0000910),108,18,6.24,+,2.89,1.68E-04,6.39E-03
"retrograde transport, endosome to Golgi (GO:0042147)",90,15,5.2,+,2.89,5.70E-04,1.84E-02
"negative regulation of gene expression, epigenetic (GO:0045814)",78,13,4.5,+,2.89,1.30E-03,3.74E-02
mitotic sister chromatid segregation (GO:0000070),121,20,6.99,+,2.86,8.27E-05,3.47E-03
import into nucleus (GO:0051170),115,19,6.64,+,2.86,1.24E-04,4.89E-03
regulation of JUN kinase activity (GO:0043506),85,14,4.91,+,2.85,9.52E-04,2.90E-02
protein localization to nucleus (GO:0034504),164,27,9.47,+,2.85,5.48E-06,3.15E-04
regulation of glycolytic process (GO:0006110),79,13,4.56,+,2.85,1.44E-03,4.09E-02
regulation of nucleocytoplasmic transport (GO:0046822),110,18,6.35,+,2.83,2.06E-04,7.59E-03
M phase (GO:0000279),160,26,9.24,+,2.81,9.96E-06,5.48E-04
mitotic M phase (GO:0000087),160,26,9.24,+,2.81,9.96E-06,5.46E-04
signal transduction by p53 class mediator (GO:0072331),118,19,6.81,+,2.79,1.67E-04,6.37E-03
mitotic DNA integrity checkpoint (GO:0044774),106,17,6.12,+,2.78,3.76E-04,1.28E-02
chromatin assembly or disassembly (GO:0006333),169,27,9.76,+,2.77,8.92E-06,4.94E-04
protein-containing complex localization (GO:0031503),257,41,14.84,+,2.76,4.86E-08,3.96E-06
anaphase (GO:0051322),157,25,9.06,+,2.76,1.99E-05,9.76E-04
mitotic anaphase (GO:0000090),157,25,9.06,+,2.76,1.99E-05,9.73E-04
regulation of viral process (GO:0050792),189,30,10.91,+,2.75,3.25E-06,1.97E-04
cellular response to radiation (GO:0071478),177,28,10.22,+,2.74,7.22E-06,4.08E-04
regulation of cytokinesis (GO:0032465),89,14,5.14,+,2.72,1.41E-03,4.02E-02
regulation of microtubule cytoskeleton organization (GO:0070507),141,22,8.14,+,2.7,7.99E-05,3.37E-03
vesicle budding from membrane (GO:0006900),103,16,5.95,+,2.69,7.50E-04,2.35E-02
DNA repair (GO:0006281),530,82,30.6,+,2.68,6.82E-14,1.22E-11
positive regulation of response to DNA damage stimulus (GO:2001022),110,17,6.35,+,2.68,5.48E-04,1.77E-02
positive regulation of translation (GO:0045727),136,21,7.85,+,2.67,1.31E-04,5.13E-03
sister chromatid segregation (GO:0000819),149,23,8.6,+,2.67,6.43E-05,2.77E-03
regulation of viral life cycle (GO:1903900),149,23,8.6,+,2.67,6.43E-05,2.76E-03
mitotic cell cycle process (GO:1903047),685,105,39.55,+,2.66,1.67E-17,4.53E-15
regulation of protein localization to nucleus (GO:1900180),137,21,7.91,+,2.66,1.43E-04,5.57E-03
regulation of DNA repair (GO:0006282),131,20,7.56,+,2.64,2.14E-04,7.83E-03
ribonucleoprotein complex assembly (GO:0022618),190,29,10.97,+,2.64,1.35E-05,7.10E-04
ribonucleoprotein complex subunit organization (GO:0071826),197,30,11.37,+,2.64,9.50E-06,5.24E-04
biological phase (GO:0044848),257,39,14.84,+,2.63,3.78E-07,2.73E-05
mitotic cell cycle phase (GO:0098763),257,39,14.84,+,2.63,3.78E-07,2.72E-05
cell cycle phase (GO:0022403),257,39,14.84,+,2.63,3.78E-07,2.71E-05
negative regulation of cytoskeleton organization (GO:0051494),152,23,8.78,+,2.62,1.36E-04,5.31E-03
regulation of biological process involved in symbiotic interaction (GO:0043903),201,30,11.6,+,2.59,1.18E-05,6.25E-04
peptidyl-lysine modification (GO:0018205),302,45,17.44,+,2.58,6.87E-08,5.45E-06
mitotic cell cycle checkpoint (GO:0007093),148,22,8.54,+,2.57,2.19E-04,7.96E-03
regulation of histone modification (GO:0031056),148,22,8.54,+,2.57,2.19E-04,7.94E-03
double-strand break repair via homologous recombination (GO:0000724),101,15,5.83,+,2.57,1.62E-03,4.45E-02
mitotic cell cycle (GO:0000278),761,113,43.93,+,2.57,1.13E-17,3.17E-15
cell division (GO:0051301),492,73,28.4,+,2.57,6.72E-12,9.31E-10
Golgi organization (GO:0007030),135,20,7.79,+,2.57,4.66E-04,1.54E-02
regulation of signal transduction by p53 class mediator (GO:1901796),196,29,11.32,+,2.56,1.86E-05,9.22E-04
DNA replication (GO:0006260),271,40,15.65,+,2.56,4.58E-07,3.22E-05
activation of GTPase activity (GO:0090630),116,17,6.7,+,2.54,1.49E-03,4.20E-02
regulation of DNA binding (GO:0051101),123,18,7.1,+,2.53,1.04E-03,3.10E-02
cellular response to DNA damage stimulus (GO:0006974),787,115,45.44,+,2.53,1.08E-17,3.09E-15
internal protein amino acid acetylation (GO:0006475),117,17,6.75,+,2.52,1.54E-03,4.31E-02
nucleus organization (GO:0006997),145,21,8.37,+,2.51,3.74E-04,1.27E-02
regulation of myeloid cell differentiation (GO:0045637),236,34,13.62,+,2.5,5.23E-06,3.03E-04
actin cytoskeleton organization (GO:0030036),524,75,30.25,+,2.48,1.61E-11,2.12E-09
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),196,28,11.32,+,2.47,4.11E-05,1.87E-03
actin filament-based process (GO:0030029),598,85,34.52,+,2.46,1.02E-12,1.53E-10
endosomal transport (GO:0016197),233,33,13.45,+,2.45,1.43E-05,7.42E-04
viral process (GO:0016032),849,120,49.01,+,2.45,2.17E-17,5.79E-15
regulation of translation (GO:0006417),368,52,21.25,+,2.45,4.53E-08,3.70E-06
protein autophosphorylation (GO:0046777),184,26,10.62,+,2.45,9.02E-05,3.74E-03
nuclear division (GO:0000280),340,48,19.63,+,2.45,1.12E-07,8.54E-06
establishment of organelle localization (GO:0051656),397,56,22.92,+,2.44,1.21E-08,1.06E-06
nucleosome organization (GO:0034728),156,22,9.01,+,2.44,3.34E-04,1.16E-02
cytoskeleton organization (GO:0007010),1204,169,69.51,+,2.43,5.09E-24,2.68E-21
"regulation of gene expression, epigenetic (GO:0040029)",171,24,9.87,+,2.43,1.85E-04,6.92E-03
regulation of mRNA catabolic process (GO:0061013),214,30,12.35,+,2.43,4.39E-05,1.97E-03
microtubule cytoskeleton organization (GO:0000226),566,79,32.68,+,2.42,1.40E-11,1.86E-09
positive regulation of cellular protein localization (GO:1903829),301,42,17.38,+,2.42,9.32E-07,6.10E-05
DNA packaging (GO:0006323),201,28,11.6,+,2.41,9.14E-05,3.79E-03
posttranscriptional regulation of gene expression (GO:0010608),547,76,31.58,+,2.41,4.24E-11,5.22E-09
negative regulation of translation (GO:0017148),137,19,7.91,+,2.4,1.03E-03,3.08E-02
negative regulation of organelle organization (GO:0010639),332,46,19.17,+,2.4,4.47E-07,3.16E-05
regulation of response to DNA damage stimulus (GO:2001020),224,31,12.93,+,2.4,3.47E-05,1.60E-03
negative regulation of protein-containing complex assembly (GO:0031333),138,19,7.97,+,2.38,1.09E-03,3.23E-02
biological process involved in symbiotic interaction (GO:0044403),937,129,54.1,+,2.38,8.75E-18,2.56E-15
RNA metabolic process (GO:0016070),1599,220,92.31,+,2.38,1.59E-30,1.93E-27
"transcription, DNA-templated (GO:0006351)",553,76,31.93,+,2.38,8.61E-11,1.01E-08
positive regulation of DNA metabolic process (GO:0051054),204,28,11.78,+,2.38,1.01E-04,4.14E-03
nucleic acid-templated transcription (GO:0097659),554,76,31.98,+,2.38,8.97E-11,1.04E-08
Golgi vesicle transport (GO:0048193),396,54,22.86,+,2.36,7.60E-08,5.99E-06
negative regulation of supramolecular fiber organization (GO:1902904),154,21,8.89,+,2.36,6.39E-04,2.04E-02
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),243,33,14.03,+,2.35,2.32E-05,1.12E-03
nucleic acid metabolic process (GO:0090304),2232,303,128.86,+,2.35,1.96E-42,3.10E-38
circadian rhythm (GO:0007623),140,19,8.08,+,2.35,1.23E-03,3.59E-02
ribonucleoprotein complex biogenesis (GO:0022613),465,63,26.85,+,2.35,5.03E-09,4.62E-07
positive regulation of intracellular protein transport (GO:0090316),186,25,10.74,+,2.33,3.16E-04,1.11E-02
post-Golgi vesicle-mediated transport (GO:0006892),134,18,7.74,+,2.33,1.82E-03,4.92E-02
establishment of vesicle localization (GO:0051650),201,27,11.6,+,2.33,1.68E-04,6.39E-03
RNA biosynthetic process (GO:0032774),566,76,32.68,+,2.33,2.60E-10,2.87E-08
chromatin assembly (GO:0031497),149,20,8.6,+,2.33,1.01E-03,3.04E-02
actin filament organization (GO:0007015),270,36,15.59,+,2.31,1.80E-05,8.97E-04
chromosome segregation (GO:0007059),286,38,16.51,+,2.3,9.97E-06,5.44E-04
organelle fission (GO:0048285),370,49,21.36,+,2.29,5.67E-07,3.84E-05
macromolecule methylation (GO:0043414),250,33,14.43,+,2.29,5.13E-05,2.26E-03
DNA metabolic process (GO:0006259),781,102,45.09,+,2.26,6.50E-13,1.03E-10
negative regulation of cellular catabolic process (GO:0031330),253,33,14.61,+,2.26,5.68E-05,2.48E-03
establishment or maintenance of cell polarity (GO:0007163),195,25,11.26,+,2.22,4.85E-04,1.60E-02
cell cycle (GO:0007049),1390,178,80.25,+,2.22,2.20E-21,8.68E-19
B cell activation (GO:0042113),164,21,9.47,+,2.22,1.56E-03,4.33E-02
vesicle localization (GO:0051648),211,27,12.18,+,2.22,4.28E-04,1.42E-02
intracellular receptor signaling pathway (GO:0030522),196,25,11.32,+,2.21,5.12E-04,1.68E-02
cellular response to abiotic stimulus (GO:0071214),315,40,18.19,+,2.2,1.51E-05,7.76E-04
