GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (1322),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
double-strand break repair via nonhomologous end joining (GO:0006303),63,15,4.04,+,3.71,5.63E-05,2.35E-03
neuron projection organization (GO:0106027),42,10,2.7,+,3.71,9.53E-04,2.73E-02
regulation of protein depolymerization (GO:1901879),89,21,5.71,+,3.68,2.25E-06,1.31E-04
regulation of stress fiber assembly (GO:0051492),89,21,5.71,+,3.68,2.25E-06,1.30E-04
regulation of insulin receptor signaling pathway (GO:0046626),68,16,4.36,+,3.67,3.64E-05,1.59E-03
regulation of focal adhesion assembly (GO:0051893),64,15,4.11,+,3.65,6.57E-05,2.67E-03
regulation of cell-substrate junction assembly (GO:0090109),64,15,4.11,+,3.65,6.57E-05,2.66E-03
regulation of cell-substrate junction organization (GO:0150116),69,16,4.43,+,3.61,4.24E-05,1.82E-03
positive regulation of GTPase activity (GO:0043547),413,95,26.51,+,3.58,2.20E-23,1.65E-20
ERBB signaling pathway (GO:0038127),70,16,4.49,+,3.56,4.92E-05,2.08E-03
regulation of cellular response to insulin stimulus (GO:1900076),66,15,4.24,+,3.54,8.86E-05,3.45E-03
regulation of actomyosin structure organization (GO:0110020),97,22,6.23,+,3.53,2.28E-06,1.31E-04
regulation of microtubule polymerization (GO:0031113),53,12,3.4,+,3.53,4.52E-04,1.45E-02
regulation of protein-containing complex disassembly (GO:0043244),124,28,7.96,+,3.52,1.08E-07,8.09E-06
negative regulation of small GTPase mediated signal transduction (GO:0051058),58,13,3.72,+,3.49,2.89E-04,9.69E-03
modulation of excitatory postsynaptic potential (GO:0098815),45,10,2.89,+,3.46,1.50E-03,3.96E-02
cytoplasmic microtubule organization (GO:0031122),63,14,4.04,+,3.46,1.85E-04,6.47E-03
JNK cascade (GO:0007254),86,19,5.52,+,3.44,1.51E-05,7.34E-04
regulation of cell aging (GO:0090342),50,11,3.21,+,3.43,9.48E-04,2.72E-02
regulation of GTPase activity (GO:0043087),490,107,31.45,+,3.4,1.12E-24,9.80E-22
negative regulation of muscle cell differentiation (GO:0051148),55,12,3.53,+,3.4,6.02E-04,1.87E-02
regulation of actin filament bundle assembly (GO:0032231),101,22,6.48,+,3.39,4.03E-06,2.20E-04
stress-activated protein kinase signaling cascade (GO:0031098),124,27,7.96,+,3.39,3.39E-07,2.31E-05
non-recombinational repair (GO:0000726),69,15,4.43,+,3.39,1.36E-04,5.02E-03
dendrite morphogenesis (GO:0048813),60,13,3.85,+,3.38,3.83E-04,1.26E-02
dendrite development (GO:0016358),109,23,7,+,3.29,3.89E-06,2.13E-04
negative regulation of supramolecular fiber organization (GO:1902904),154,32,9.89,+,3.24,7.34E-08,5.76E-06
cellular response to nerve growth factor stimulus (GO:1990090),53,11,3.4,+,3.23,1.43E-03,3.84E-02
positive regulation of mRNA catabolic process (GO:0061014),53,11,3.4,+,3.23,1.43E-03,3.84E-02
positive regulation of actin filament polymerization (GO:0030838),88,18,5.65,+,3.19,6.05E-05,2.50E-03
negative regulation of cytoskeleton organization (GO:0051494),152,31,9.76,+,3.18,1.67E-07,1.23E-05
protein autophosphorylation (GO:0046777),184,37,11.81,+,3.13,1.53E-08,1.34E-06
positive regulation of protein polymerization (GO:0032273),125,25,8.02,+,3.12,3.46E-06,1.91E-04
response to nerve growth factor (GO:1990089),55,11,3.53,+,3.12,1.85E-03,4.77E-02
regulation of dendritic spine development (GO:0060998),60,12,3.85,+,3.12,1.17E-03,3.26E-02
small GTPase mediated signal transduction (GO:0007264),262,52,16.82,+,3.09,2.92E-11,4.05E-09
regulation of Ras protein signal transduction (GO:0046578),198,39,12.71,+,3.07,1.03E-08,9.44E-07
adherens junction organization (GO:0034332),62,12,3.98,+,3.02,1.50E-03,3.97E-02
establishment of cell polarity (GO:0030010),119,23,7.64,+,3.01,1.36E-05,6.69E-04
neural tube formation (GO:0001841),104,20,6.68,+,3,5.16E-05,2.17E-03
internal peptidyl-lysine acetylation (GO:0018393),115,22,7.38,+,2.98,2.39E-05,1.09E-03
negative regulation of autophagy (GO:0010507),84,16,5.39,+,2.97,3.09E-04,1.02E-02
establishment or maintenance of cell polarity (GO:0007163),195,37,12.52,+,2.96,5.66E-08,4.51E-06
cytosolic transport (GO:0016482),148,28,9.5,+,2.95,2.37E-06,1.36E-04
neural tube closure (GO:0001843),90,17,5.78,+,2.94,2.22E-04,7.65E-03
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),106,20,6.8,+,2.94,6.52E-05,2.66E-03
positive regulation of mRNA metabolic process (GO:1903313),85,16,5.46,+,2.93,3.47E-04,1.15E-02
internal protein amino acid acetylation (GO:0006475),117,22,7.51,+,2.93,3.00E-05,1.34E-03
primary neural tube formation (GO:0014020),96,18,6.16,+,2.92,1.59E-04,5.75E-03
regulation of axon extension (GO:0030516),96,18,6.16,+,2.92,1.59E-04,5.74E-03
embryonic epithelial tube formation (GO:0001838),123,23,7.9,+,2.91,2.16E-05,1.01E-03
tube closure (GO:0060606),91,17,5.84,+,2.91,2.49E-04,8.45E-03
regulation of supramolecular fiber organization (GO:1902903),375,70,24.07,+,2.91,1.45E-13,2.76E-11
peptidyl-lysine acetylation (GO:0018394),118,22,7.57,+,2.9,3.36E-05,1.48E-03
regulation of Rho protein signal transduction (GO:0035023),86,16,5.52,+,2.9,3.89E-04,1.27E-02
regulation of protein polymerization (GO:0032271),232,43,14.89,+,2.89,8.91E-09,8.32E-07
regulation of telomere maintenance (GO:0032204),81,15,5.2,+,2.88,6.10E-04,1.89E-02
regulation of actin filament organization (GO:0110053),276,51,17.72,+,2.88,4.12E-10,4.93E-08
stress-activated MAPK cascade (GO:0051403),109,20,7,+,2.86,9.13E-05,3.55E-03
histone acetylation (GO:0016573),109,20,7,+,2.86,9.13E-05,3.54E-03
regulation of cell shape (GO:0008360),153,28,9.82,+,2.85,4.15E-06,2.26E-04
regulation of cytoskeleton organization (GO:0051493),519,94,33.31,+,2.82,6.07E-17,1.77E-14
positive regulation of chromatin organization (GO:1905269),116,21,7.45,+,2.82,7.30E-05,2.93E-03
nuclear envelope organization (GO:0006998),83,15,5.33,+,2.82,7.61E-04,2.26E-02
positive regulation of axonogenesis (GO:0050772),83,15,5.33,+,2.82,7.61E-04,2.25E-02
phosphatidylinositol biosynthetic process (GO:0006661),111,20,7.13,+,2.81,1.14E-04,4.30E-03
DNA damage checkpoint (GO:0000077),139,25,8.92,+,2.8,1.73E-05,8.24E-04
DNA duplex unwinding (GO:0032508),106,19,6.8,+,2.79,1.77E-04,6.27E-03
regulation of actin filament polymerization (GO:0030833),173,31,11.1,+,2.79,1.91E-06,1.12E-04
developmental cell growth (GO:0048588),84,15,5.39,+,2.78,8.48E-04,2.49E-02
"retrograde transport, endosome to Golgi (GO:0042147)",90,16,5.78,+,2.77,6.03E-04,1.87E-02
protein import into nucleus (GO:0006606),96,17,6.16,+,2.76,4.30E-04,1.38E-02
DNA geometric change (GO:0032392),113,20,7.25,+,2.76,1.40E-04,5.16E-03
phosphatidylinositol metabolic process (GO:0046488),181,32,11.62,+,2.75,1.69E-06,1.01E-04
regulation of cell projection assembly (GO:0060491),187,33,12,+,2.75,1.21E-06,7.41E-05
positive regulation of JNK cascade (GO:0046330),85,15,5.46,+,2.75,9.43E-04,2.71E-02
Ras protein signal transduction (GO:0007265),176,31,11.3,+,2.74,2.61E-06,1.47E-04
peptidyl-serine phosphorylation (GO:0018105),182,32,11.68,+,2.74,1.87E-06,1.10E-04
epithelial tube formation (GO:0072175),131,23,8.41,+,2.74,5.13E-05,2.16E-03
actin cytoskeleton organization (GO:0030036),524,92,33.64,+,2.74,5.50E-16,1.47E-13
regulation of cell morphogenesis (GO:0022604),308,54,19.77,+,2.73,8.11E-10,9.07E-08
protein acetylation (GO:0006473),137,24,8.79,+,2.73,3.67E-05,1.60E-03
negative regulation of translation (GO:0017148),137,24,8.79,+,2.73,3.67E-05,1.60E-03
regulation of actin polymerization or depolymerization (GO:0008064),189,33,12.13,+,2.72,2.42E-06,1.38E-04
cell growth (GO:0016049),86,15,5.52,+,2.72,1.05E-03,2.97E-02
positive regulation of stress-activated MAPK cascade (GO:0032874),115,20,7.38,+,2.71,1.73E-04,6.17E-03
regulation of actin filament length (GO:0030832),190,33,12.2,+,2.71,2.52E-06,1.43E-04
regulation of peptidyl-serine phosphorylation (GO:0033135),144,25,9.24,+,2.7,2.91E-05,1.30E-03
regulation of plasma membrane bounded cell projection assembly (GO:0120032),185,32,11.88,+,2.69,3.82E-06,2.10E-04
regulation of nucleocytoplasmic transport (GO:0046822),110,19,7.06,+,2.69,2.68E-04,9.08E-03
positive regulation of chromosome organization (GO:2001252),174,30,11.17,+,2.69,8.37E-06,4.29E-04
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143),87,15,5.58,+,2.69,1.16E-03,3.24E-02
regulation of chromatin organization (GO:1902275),203,35,13.03,+,2.69,1.28E-06,7.72E-05
regulation of actin cytoskeleton organization (GO:0032956),356,61,22.85,+,2.67,1.23E-10,1.60E-08
histone modification (GO:0016570),356,61,22.85,+,2.67,1.23E-10,1.59E-08
activation of protein kinase activity (GO:0032147),327,56,20.99,+,2.67,7.36E-10,8.41E-08
positive regulation of stress-activated protein kinase signaling cascade (GO:0070304),117,20,7.51,+,2.66,2.12E-04,7.35E-03
regulation of cell-matrix adhesion (GO:0001952),123,21,7.9,+,2.66,1.51E-04,5.49E-03
protein localization to nucleus (GO:0034504),164,28,10.53,+,2.66,1.92E-05,9.03E-04
regulation of JNK cascade (GO:0046328),129,22,8.28,+,2.66,1.08E-04,4.09E-03
postsynapse organization (GO:0099173),88,15,5.65,+,2.66,1.28E-03,3.55E-02
pigmentation (GO:0043473),88,15,5.65,+,2.66,1.28E-03,3.54E-02
regulation of mRNA processing (GO:0050684),141,24,9.05,+,2.65,8.84E-05,3.45E-03
DNA integrity checkpoint (GO:0031570),147,25,9.44,+,2.65,6.09E-05,2.51E-03
peptidyl-tyrosine dephosphorylation (GO:0035335),106,18,6.8,+,2.65,4.61E-04,1.46E-02
negative regulation of cellular amide metabolic process (GO:0034249),159,27,10.21,+,2.65,2.91E-05,1.30E-03
covalent chromatin modification (GO:0016569),360,61,23.11,+,2.64,2.69E-10,3.31E-08
microtubule cytoskeleton organization involved in mitosis (GO:1902850),185,31,11.88,+,2.61,7.77E-06,3.99E-04
endosomal transport (GO:0016197),233,39,14.96,+,2.61,4.84E-07,3.18E-05
"regulation of mRNA splicing, via spliceosome (GO:0048024)",102,17,6.55,+,2.6,7.88E-04,2.33E-02
morphogenesis of embryonic epithelium (GO:0016331),144,24,9.24,+,2.6,1.01E-04,3.89E-03
regulation of microtubule-based process (GO:0032886),235,39,15.08,+,2.59,5.73E-07,3.72E-05
regulation of extent of cell growth (GO:0061387),109,18,7,+,2.57,9.78E-04,2.79E-02
regulation of organ growth (GO:0046620),91,15,5.84,+,2.57,1.72E-03,4.49E-02
mitotic spindle organization (GO:0007052),164,27,10.53,+,2.56,3.91E-05,1.69E-03
cytoskeleton organization (GO:0007010),1204,198,77.29,+,2.56,2.19E-30,4.32E-27
actin filament-based process (GO:0030029),598,98,38.39,+,2.55,4.17E-15,9.00E-13
tube formation (GO:0035148),147,24,9.44,+,2.54,1.21E-04,4.54E-03
regulation of stress-activated MAPK cascade (GO:0032872),178,29,11.43,+,2.54,2.24E-05,1.04E-03
positive regulation of supramolecular fiber organization (GO:1902905),197,32,12.65,+,2.53,8.66E-06,4.42E-04
regulation of organelle assembly (GO:1902115),191,31,12.26,+,2.53,1.22E-05,6.05E-04
"mRNA splicing, via spliceosome (GO:0000398)",302,49,19.39,+,2.53,4.32E-08,3.55E-06
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",302,49,19.39,+,2.53,4.32E-08,3.53E-06
protein phosphorylation (GO:0006468),684,110,43.91,+,2.51,2.13E-16,6.10E-14
"RNA splicing, via transesterification reactions (GO:0000375)",305,49,19.58,+,2.5,5.35E-08,4.28E-06
regulation of protein localization to nucleus (GO:1900180),137,22,8.79,+,2.5,2.79E-04,9.41E-03
regulation of stress-activated protein kinase signaling cascade (GO:0070302),181,29,11.62,+,2.5,2.83E-05,1.28E-03
RNA splicing (GO:0008380),407,65,26.13,+,2.49,4.56E-10,5.33E-08
negative regulation of organelle organization (GO:0010639),332,53,21.31,+,2.49,2.74E-08,2.34E-06
mRNA processing (GO:0006397),484,77,31.07,+,2.48,1.47E-11,2.10E-09
regulation of chromosome organization (GO:0033044),283,45,18.17,+,2.48,2.44E-07,1.73E-05
peptidyl-lysine modification (GO:0018205),302,48,19.39,+,2.48,9.46E-08,7.17E-06
positive regulation of cytoskeleton organization (GO:0051495),214,34,13.74,+,2.48,9.61E-06,4.86E-04
regulation of cellular component size (GO:0032535),384,61,24.65,+,2.47,1.95E-09,2.04E-07
cell cycle checkpoint (GO:0000075),189,30,12.13,+,2.47,2.37E-05,1.09E-03
nucleus organization (GO:0006997),145,23,9.31,+,2.47,2.25E-04,7.74E-03
microtubule cytoskeleton organization (GO:0000226),566,89,36.33,+,2.45,6.18E-13,1.08E-10
regulation of actin filament-based process (GO:0032970),396,62,25.42,+,2.44,2.12E-09,2.20E-07
positive regulation of peptidyl-serine phosphorylation (GO:0033138),109,17,7,+,2.43,1.89E-03,4.86E-02
peptidyl-serine modification (GO:0018209),206,32,13.22,+,2.42,2.35E-05,1.09E-03
regulation of macroautophagy (GO:0016241),161,25,10.33,+,2.42,1.52E-04,5.51E-03
positive regulation of MAP kinase activity (GO:0043406),232,36,14.89,+,2.42,6.58E-06,3.41E-04
regulation of RNA splicing (GO:0043484),149,23,9.56,+,2.4,3.01E-04,1.00E-02
positive regulation of cell projection organization (GO:0031346),350,54,22.47,+,2.4,3.72E-08,3.08E-06
activation of MAPK activity (GO:0000187),156,24,10.01,+,2.4,2.31E-04,7.93E-03
positive regulation of hydrolase activity (GO:0051345),777,119,49.88,+,2.39,3.35E-16,9.28E-14
positive regulation of protein-containing complex assembly (GO:0031334),249,38,15.98,+,2.38,4.73E-06,2.52E-04
protein acylation (GO:0043543),177,27,11.36,+,2.38,1.44E-04,5.29E-03
regulation of protein-containing complex assembly (GO:0043254),454,69,29.14,+,2.37,1.06E-09,1.14E-07
chromatin remodeling (GO:0006338),172,26,11.04,+,2.35,2.14E-04,7.43E-03
spindle organization (GO:0007051),225,34,14.44,+,2.35,1.82E-05,8.65E-04
chromatin organization (GO:0006325),697,105,44.74,+,2.35,6.00E-14,1.18E-11
intracellular signal transduction (GO:0035556),1575,237,101.1,+,2.34,1.56E-31,3.52E-28
post-Golgi vesicle-mediated transport (GO:0006892),134,20,8.6,+,2.33,1.05E-03,2.97E-02
regulation of cell size (GO:0008361),181,27,11.62,+,2.32,1.76E-04,6.24E-03
regulation of type I interferon production (GO:0032479),128,19,8.22,+,2.31,1.48E-03,3.94E-02
neural tube development (GO:0021915),155,23,9.95,+,2.31,6.45E-04,1.98E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039),499,74,32.03,+,2.31,6.16E-10,7.15E-08
regulation of organelle organization (GO:0033043),1188,175,76.26,+,2.29,3.77E-22,2.29E-19
cell projection morphogenesis (GO:0048858),503,74,32.29,+,2.29,7.62E-10,8.58E-08
mRNA metabolic process (GO:0016071),694,102,44.55,+,2.29,5.55E-13,9.83E-11
positive regulation of neuron projection development (GO:0010976),157,23,10.08,+,2.28,7.04E-04,2.11E-02
regulation of cellular component biogenesis (GO:0044087),967,141,62.07,+,2.27,1.45E-17,4.47E-15
cell part morphogenesis (GO:0032990),522,76,33.51,+,2.27,8.18E-10,9.09E-08
positive regulation of protein serine/threonine kinase activity (GO:0071902),316,46,20.28,+,2.27,1.79E-06,1.06E-04
neuron projection development (GO:0031175),683,99,43.84,+,2.26,2.07E-12,3.17E-10
T cell differentiation (GO:0030217),145,21,9.31,+,2.26,1.42E-03,3.82E-02
actin filament organization (GO:0007015),270,39,17.33,+,2.25,1.66E-05,7.93E-04
regulation of myeloid cell differentiation (GO:0045637),236,34,15.15,+,2.24,4.74E-05,2.02E-03
protein dephosphorylation (GO:0006470),216,31,13.87,+,2.24,1.19E-04,4.48E-03
neuron projection morphogenesis (GO:0048812),495,71,31.77,+,2.23,5.09E-09,4.92E-07
regulation of response to DNA damage stimulus (GO:2001020),224,32,14.38,+,2.23,9.30E-05,3.60E-03
positive regulation of cellular component biogenesis (GO:0044089),527,75,33.83,+,2.22,2.97E-09,3.00E-07
regulation of histone modification (GO:0031056),148,21,9.5,+,2.21,1.63E-03,4.27E-02
transport along microtubule (GO:0010970),156,22,10.01,+,2.2,1.29E-03,3.54E-02
microtubule-based process (GO:0007017),803,113,51.54,+,2.19,2.91E-13,5.47E-11
axonogenesis (GO:0007409),384,54,24.65,+,2.19,6.90E-07,4.41E-05
"regulation of gene expression, epigenetic (GO:0040029)",171,24,10.98,+,2.19,1.19E-03,3.30E-02
cell morphogenesis involved in neuron differentiation (GO:0048667),449,63,28.82,+,2.19,8.17E-08,6.32E-06
positive regulation of epithelial cell migration (GO:0010634),150,21,9.63,+,2.18,1.81E-03,4.67E-02
positive regulation of catalytic activity (GO:0043085),1415,198,90.83,+,2.18,1.04E-22,6.86E-20
MAPK cascade (GO:0000165),409,57,26.25,+,2.17,3.51E-07,2.36E-05
regulation of axonogenesis (GO:0050770),158,22,10.14,+,2.17,1.44E-03,3.85E-02
regulation of autophagy (GO:0010506),331,46,21.25,+,2.17,5.35E-06,2.82E-04
mitotic nuclear division (GO:0140014),209,29,13.42,+,2.16,2.97E-04,9.92E-03
regulation of translation (GO:0006417),368,51,23.62,+,2.16,2.02E-06,1.18E-04
positive regulation of protein kinase activity (GO:0045860),534,74,34.28,+,2.16,1.07E-08,9.72E-07
regulation of epithelial cell migration (GO:0010632),231,32,14.83,+,2.16,1.96E-04,6.85E-03
axon development (GO:0061564),419,58,26.9,+,2.16,4.35E-07,2.92E-05
regulation of cellular protein localization (GO:1903827),564,78,36.2,+,2.15,3.46E-09,3.48E-07
regulation of cell-substrate adhesion (GO:0010810),217,30,13.93,+,2.15,2.37E-04,8.10E-03
regulation of mRNA metabolic process (GO:1903311),340,47,21.82,+,2.15,4.51E-06,2.42E-04
regulation of cell junction assembly (GO:1901888),196,27,12.58,+,2.15,5.50E-04,1.73E-02
regulation of hemopoiesis (GO:1903706),393,54,25.23,+,2.14,1.04E-06,6.48E-05
regulation of lymphocyte differentiation (GO:0045619),176,24,11.3,+,2.12,1.38E-03,3.74E-02
cellular response to DNA damage stimulus (GO:0006974),787,107,50.52,+,2.12,7.79E-12,1.13E-09
regulation of MAP kinase activity (GO:0043405),309,42,19.83,+,2.12,2.19E-05,1.02E-03
negative regulation of Wnt signaling pathway (GO:0030178),214,29,13.74,+,2.11,5.52E-04,1.73E-02
macroautophagy (GO:0016236),192,26,12.32,+,2.11,8.45E-04,2.49E-02
homeostasis of number of cells (GO:0048872),215,29,13.8,+,2.1,5.67E-04,1.78E-02
chromosome organization (GO:0051276),1061,143,68.11,+,2.1,4.01E-15,8.79E-13
cytoskeleton-dependent intracellular transport (GO:0030705),193,26,12.39,+,2.1,8.88E-04,2.58E-02
regulation of dephosphorylation (GO:0035303),216,29,13.87,+,2.09,5.85E-04,1.83E-02
double-strand break repair (GO:0006302),202,27,12.97,+,2.08,1.07E-03,3.03E-02
T cell receptor signaling pathway (GO:0050852),180,24,11.55,+,2.08,1.64E-03,4.29E-02
protein localization to plasma membrane (GO:0072659),195,26,12.52,+,2.08,1.47E-03,3.91E-02
regulation of cell projection organization (GO:0031344),638,85,40.95,+,2.08,3.78E-09,3.75E-07
positive regulation of kinase activity (GO:0033674),608,81,39.03,+,2.08,7.66E-09,7.19E-07
positive regulation of cellular protein localization (GO:1903829),301,40,19.32,+,2.07,7.36E-05,2.95E-03
regulation of cellular response to stress (GO:0080135),685,91,43.97,+,2.07,1.17E-09,1.24E-07
regulation of signal transduction by p53 class mediator (GO:1901796),196,26,12.58,+,2.07,1.50E-03,3.97E-02
regulation of phosphatase activity (GO:0010921),181,24,11.62,+,2.07,1.71E-03,4.48E-02
positive regulation of transferase activity (GO:0051347),687,91,44.1,+,2.06,1.24E-09,1.31E-07
glycerophospholipid biosynthetic process (GO:0046474),219,29,14.06,+,2.06,6.51E-04,1.99E-02
regulation of anatomical structure size (GO:0090066),506,67,32.48,+,2.06,2.62E-07,1.82E-05
positive regulation of organelle organization (GO:0010638),590,78,37.87,+,2.06,2.01E-08,1.76E-06
cell division (GO:0051301),492,65,31.58,+,2.06,3.13E-07,2.14E-05
regulation of plasma membrane bounded cell projection organization (GO:0120035),621,82,39.86,+,2.06,1.03E-08,9.40E-07
negative regulation of canonical Wnt signaling pathway (GO:0090090),182,24,11.68,+,2.05,1.80E-03,4.66E-02
cell-cell signaling by wnt (GO:0198738),349,46,22.4,+,2.05,2.36E-05,1.09E-03
Wnt signaling pathway (GO:0016055),349,46,22.4,+,2.05,2.36E-05,1.08E-03
nucleocytoplasmic transport (GO:0006913),259,34,16.63,+,2.05,2.71E-04,9.14E-03
