GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (582),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
cellular response to angiotensin (GO:1904385),24,5,0.68,+,7.37,1.06E-03,3.32E-02
negative regulation of microtubule depolymerization (GO:0007026),29,6,0.82,+,7.32,3.46E-04,1.34E-02
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431),34,7,0.96,+,7.29,1.14E-04,5.32E-03
tRNA export from nucleus (GO:0006409),34,7,0.96,+,7.29,1.14E-04,5.30E-03
metaphase plate congression (GO:0051310),59,12,1.67,+,7.2,4.84E-07,5.07E-05
lamellipodium assembly (GO:0030032),35,7,0.99,+,7.08,1.34E-04,6.07E-03
TOR signaling (GO:0031929),30,6,0.85,+,7.08,4.05E-04,1.54E-02
protein depolymerization (GO:0051261),36,7,1.02,+,6.88,1.56E-04,6.92E-03
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243),31,6,0.88,+,6.85,4.73E-04,1.75E-02
negative regulation of microtubule polymerization or depolymerization (GO:0031111),42,8,1.19,+,6.74,6.02E-05,3.06E-03
tRNA transport (GO:0051031),37,7,1.05,+,6.69,1.81E-04,7.84E-03
ERBB2 signaling pathway (GO:0038128),32,6,0.9,+,6.63,5.48E-04,1.97E-02
mitotic metaphase plate congression (GO:0007080),48,9,1.36,+,6.63,2.33E-05,1.36E-03
sister chromatid cohesion (GO:0007062),48,9,1.36,+,6.63,2.33E-05,1.36E-03
DNA replication initiation (GO:0006270),43,8,1.22,+,6.58,6.97E-05,3.49E-03
lamellipodium organization (GO:0097581),43,8,1.22,+,6.58,6.97E-05,3.48E-03
positive regulation of signal transduction by p53 class mediator (GO:1901798),27,5,0.76,+,6.55,1.68E-03,4.76E-02
Schwann cell differentiation (GO:0014037),38,7,1.07,+,6.52,2.09E-04,8.71E-03
centromere complex assembly (GO:0034508),38,7,1.07,+,6.52,2.09E-04,8.68E-03
regulation of protein depolymerization (GO:1901879),91,16,2.57,+,6.22,3.71E-08,5.14E-06
mitotic G2 DNA damage checkpoint signaling (GO:0007095),35,6,0.99,+,6.07,8.33E-04,2.74E-02
mitotic G2/M transition checkpoint (GO:0044818),47,8,1.33,+,6.02,1.21E-04,5.56E-03
chromosome condensation (GO:0030261),53,9,1.5,+,6.01,4.66E-05,2.43E-03
establishment of chromosome localization (GO:0051303),75,12,2.12,+,5.66,4.50E-06,3.23E-04
epidermal growth factor receptor signaling pathway (GO:0007173),50,8,1.41,+,5.66,1.77E-04,7.72E-03
regulation of Rho protein signal transduction (GO:0035023),88,14,2.49,+,5.63,7.73E-07,7.64E-05
regulation of glycogen metabolic process (GO:0070873),38,6,1.07,+,5.59,1.22E-03,3.76E-02
chromosome localization (GO:0050000),77,12,2.18,+,5.51,5.73E-06,3.95E-04
sister chromatid segregation (GO:0000819),149,23,4.21,+,5.46,3.88E-10,8.52E-08
DNA replication-independent nucleosome assembly (GO:0006336),39,6,1.1,+,5.44,1.38E-03,4.12E-02
regulation of polysaccharide metabolic process (GO:0032881),46,7,1.3,+,5.38,5.88E-04,2.09E-02
DNA replication-independent nucleosome organization (GO:0034724),40,6,1.13,+,5.31,1.55E-03,4.48E-02
mitotic cytokinesis (GO:0000281),68,10,1.92,+,5.2,5.34E-05,2.74E-03
protein destabilization (GO:0031648),48,7,1.36,+,5.16,7.39E-04,2.51E-02
ERBB signaling pathway (GO:0038127),70,10,1.98,+,5.06,6.65E-05,3.35E-03
negative regulation of protein depolymerization (GO:1901880),70,10,1.98,+,5.06,6.65E-05,3.34E-03
regulation of actin filament depolymerization (GO:0030834),56,8,1.58,+,5.06,3.54E-04,1.37E-02
regulation of microtubule polymerization (GO:0031113),56,8,1.58,+,5.06,3.54E-04,1.37E-02
mitotic sister chromatid segregation (GO:0000070),121,17,3.42,+,4.97,2.55E-07,2.74E-05
regulation of ubiquitin-protein transferase activity (GO:0051438),57,8,1.61,+,4.97,3.95E-04,1.51E-02
positive regulation of small GTPase mediated signal transduction (GO:0051057),86,12,2.43,+,4.94,1.57E-05,9.52E-04
viral transcription (GO:0019083),116,16,3.28,+,4.88,7.15E-07,7.24E-05
regulation of microtubule polymerization or depolymerization (GO:0031110),88,12,2.49,+,4.83,1.93E-05,1.15E-03
microtubule polymerization or depolymerization (GO:0031109),52,7,1.47,+,4.76,1.13E-03,3.51E-02
somatic stem cell population maintenance (GO:0035019),52,7,1.47,+,4.76,1.13E-03,3.50E-02
regulation of chromosome segregation (GO:0051983),90,12,2.54,+,4.72,2.36E-05,1.37E-03
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",120,16,3.39,+,4.72,1.07E-06,1.00E-04
positive regulation of Ras protein signal transduction (GO:0046579),77,10,2.18,+,4.6,1.36E-04,6.15E-03
nuclear membrane reassembly (GO:0031468),54,7,1.53,+,4.59,1.38E-03,4.12E-02
posttranscriptional gene silencing (GO:0016441),62,8,1.75,+,4.57,6.55E-04,2.30E-02
adherens junction organization (GO:0034332),62,8,1.75,+,4.57,6.55E-04,2.29E-02
regulation of protein-containing complex disassembly (GO:0043244),125,16,3.53,+,4.53,1.74E-06,1.51E-04
regulation of gene silencing by miRNA (GO:0060964),94,12,2.66,+,4.52,3.48E-05,1.92E-03
regulation of cellular response to heat (GO:1900034),79,10,2.23,+,4.48,1.65E-04,7.28E-03
regulation of posttranscriptional gene silencing (GO:0060147),96,12,2.71,+,4.42,4.19E-05,2.25E-03
negative regulation of protein-containing complex disassembly (GO:0043242),80,10,2.26,+,4.42,1.81E-04,7.86E-03
regulation of gene silencing by RNA (GO:0060966),97,12,2.74,+,4.38,4.60E-05,2.41E-03
regulation of translational initiation (GO:0006446),81,10,2.29,+,4.37,1.98E-04,8.36E-03
nuclear chromosome segregation (GO:0098813),227,28,6.41,+,4.36,5.21E-10,1.07E-07
ribosomal small subunit biogenesis (GO:0042274),73,9,2.06,+,4.36,4.14E-04,1.56E-02
regulation of mitotic sister chromatid separation (GO:0010965),66,8,1.87,+,4.29,9.50E-04,3.07E-02
DNA replication (GO:0006260),273,33,7.71,+,4.28,2.38E-11,7.23E-09
regulation of carbohydrate catabolic process (GO:0043470),91,11,2.57,+,4.28,1.14E-04,5.29E-03
mitotic nuclear division (GO:0140014),201,24,5.68,+,4.23,1.60E-08,2.36E-06
apical junction assembly (GO:0043297),67,8,1.89,+,4.23,1.04E-03,3.29E-02
translational initiation (GO:0006413),143,17,4.04,+,4.21,2.09E-06,1.75E-04
DNA geometric change (GO:0032392),110,13,3.11,+,4.18,3.46E-05,1.91E-03
nuclear-transcribed mRNA catabolic process (GO:0000956),195,23,5.51,+,4.17,3.90E-08,5.32E-06
regulation of small GTPase mediated signal transduction (GO:0051056),348,41,9.83,+,4.17,1.83E-13,7.23E-11
G1/S transition of mitotic cell cycle (GO:0000082),102,12,2.88,+,4.16,7.16E-05,3.54E-03
regulation of microtubule cytoskeleton organization (GO:0070507),147,17,4.15,+,4.09,2.94E-06,2.20E-04
cell cycle G1/S phase transition (GO:0044843),104,12,2.94,+,4.08,8.48E-05,4.13E-03
regulation of lipid kinase activity (GO:0043550),70,8,1.98,+,4.04,1.34E-03,4.06E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850),184,21,5.2,+,4.04,2.50E-07,2.71E-05
negative regulation of chromosome organization (GO:2001251),79,9,2.23,+,4.03,6.98E-04,2.39E-02
DNA packaging (GO:0006323),202,23,5.71,+,4.03,7.01E-08,8.94E-06
mitotic DNA integrity checkpoint signaling (GO:0044774),123,14,3.48,+,4.03,2.56E-05,1.46E-03
mitotic cell cycle checkpoint signaling (GO:0007093),159,18,4.49,+,4.01,1.99E-06,1.69E-04
RNA export from nucleus (GO:0006405),124,14,3.5,+,4,2.77E-05,1.58E-03
regulation of Ras protein signal transduction (GO:0046578),204,23,5.76,+,3.99,8.25E-08,1.03E-05
cell division (GO:0051301),498,56,14.07,+,3.98,3.61E-17,2.48E-14
regulation of gene silencing (GO:0060968),116,13,3.28,+,3.97,5.71E-05,2.92E-03
chromosome segregation (GO:0007059),286,32,8.08,+,3.96,2.87E-10,6.78E-08
regulation of glycolytic process (GO:0006110),81,9,2.29,+,3.93,8.22E-04,2.73E-02
ribonucleoprotein complex export from nucleus (GO:0071426),126,14,3.56,+,3.93,3.26E-05,1.82E-03
mitotic spindle organization (GO:0007052),163,18,4.61,+,3.91,2.74E-06,2.13E-04
negative regulation of protein-containing complex assembly (GO:0031333),136,15,3.84,+,3.9,1.86E-05,1.11E-03
ribonucleoprotein complex localization (GO:0071166),127,14,3.59,+,3.9,3.53E-05,1.94E-03
positive regulation of protein localization to nucleus (GO:1900182),91,10,2.57,+,3.89,4.64E-04,1.72E-02
regulation of sister chromatid segregation (GO:0033045),73,8,2.06,+,3.88,1.72E-03,4.83E-02
regulation of chromosome separation (GO:1905818),73,8,2.06,+,3.88,1.72E-03,4.82E-02
DNA conformation change (GO:0071103),312,34,8.82,+,3.86,1.50E-10,3.76E-08
positive regulation of mitotic cell cycle phase transition (GO:1901992),84,9,2.37,+,3.79,1.04E-03,3.29E-02
mRNA catabolic process (GO:0006402),215,23,6.08,+,3.79,1.95E-07,2.15E-05
mitotic cell cycle process (GO:1903047),675,72,19.08,+,3.77,1.14E-20,3.01E-17
DNA integrity checkpoint signaling (GO:0031570),150,16,4.24,+,3.77,1.45E-05,8.90E-04
cytoplasmic translation (GO:0002181),122,13,3.45,+,3.77,9.14E-05,4.39E-03
cell cycle checkpoint signaling (GO:0000075),188,20,5.31,+,3.76,1.32E-06,1.20E-04
insulin receptor signaling pathway (GO:0008286),85,9,2.4,+,3.75,1.12E-03,3.50E-02
RNA transport (GO:0050658),189,20,5.34,+,3.74,1.42E-06,1.26E-04
nucleic acid transport (GO:0050657),189,20,5.34,+,3.74,1.42E-06,1.25E-04
DNA duplex unwinding (GO:0032508),105,11,2.97,+,3.71,3.57E-04,1.38E-02
establishment of RNA localization (GO:0051236),191,20,5.4,+,3.71,1.65E-06,1.44E-04
viral gene expression (GO:0019080),172,18,4.86,+,3.7,5.46E-06,3.83E-04
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),96,10,2.71,+,3.69,6.82E-04,2.36E-02
cytoskeleton-dependent cytokinesis (GO:0061640),96,10,2.71,+,3.69,6.82E-04,2.36E-02
positive regulation of cell cycle phase transition (GO:1901989),107,11,3.02,+,3.64,4.14E-04,1.56E-02
nucleosome assembly (GO:0006334),117,12,3.31,+,3.63,2.34E-04,9.57E-03
nuclear export (GO:0051168),166,17,4.69,+,3.62,1.28E-05,8.11E-04
protein import into nucleus (GO:0006606),98,10,2.77,+,3.61,7.89E-04,2.64E-02
cytokinesis (GO:0000910),98,10,2.77,+,3.61,7.89E-04,2.64E-02
regulation of DNA replication (GO:0006275),108,11,3.05,+,3.6,4.45E-04,1.65E-02
stem cell population maintenance (GO:0019827),118,12,3.33,+,3.6,2.51E-04,1.02E-02
mitotic DNA damage checkpoint signaling (GO:0044773),119,12,3.36,+,3.57,2.70E-04,1.08E-02
mitotic cell cycle (GO:0000278),750,75,21.19,+,3.54,5.15E-20,9.05E-17
mRNA export from nucleus (GO:0006406),110,11,3.11,+,3.54,5.13E-04,1.87E-02
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427),110,11,3.11,+,3.54,5.13E-04,1.86E-02
regulation of glucose metabolic process (GO:0010906),120,12,3.39,+,3.54,2.90E-04,1.15E-02
mRNA transport (GO:0051028),160,16,4.52,+,3.54,2.99E-05,1.69E-03
maintenance of cell number (GO:0098727),121,12,3.42,+,3.51,3.10E-04,1.22E-02
RNA localization (GO:0006403),212,21,5.99,+,3.51,2.06E-06,1.74E-04
cotranslational protein targeting to membrane (GO:0006613),101,10,2.85,+,3.5,9.76E-04,3.13E-02
DNA damage checkpoint signaling (GO:0000077),142,14,4.01,+,3.49,1.07E-04,5.02E-03
protein targeting to ER (GO:0045047),112,11,3.17,+,3.48,5.89E-04,2.09E-02
positive regulation of mitotic cell cycle (GO:0045931),112,11,3.17,+,3.48,5.89E-04,2.09E-02
double-strand break repair (GO:0006302),204,20,5.76,+,3.47,4.14E-06,3.01E-04
cell-cell junction organization (GO:0045216),185,18,5.23,+,3.44,1.36E-05,8.49E-04
RNA catabolic process (GO:0006401),248,24,7.01,+,3.42,5.70E-07,5.89E-05
regulation of G1/S transition of mitotic cell cycle (GO:2000045),156,15,4.41,+,3.4,7.93E-05,3.89E-03
regulation of generation of precursor metabolites and energy (GO:0043467),167,16,4.72,+,3.39,4.82E-05,2.50E-03
signal transduction in response to DNA damage (GO:0042770),167,16,4.72,+,3.39,4.82E-05,2.50E-03
activation of GTPase activity (GO:0090630),115,11,3.25,+,3.38,7.22E-04,2.46E-02
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),105,10,2.97,+,3.37,1.28E-03,3.90E-02
cell-cell junction assembly (GO:0007043),126,12,3.56,+,3.37,4.35E-04,1.63E-02
internal peptidyl-lysine acetylation (GO:0018393),116,11,3.28,+,3.36,7.71E-04,2.60E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599),116,11,3.28,+,3.36,7.71E-04,2.60E-02
regulation of cell cycle G2/M phase transition (GO:1902749),222,21,6.27,+,3.35,4.00E-06,2.93E-04
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237),106,10,3,+,3.34,1.37E-03,4.11E-02
import into nucleus (GO:0051170),117,11,3.31,+,3.33,8.23E-04,2.73E-02
chromatin assembly (GO:0031497),150,14,4.24,+,3.3,1.81E-04,7.83E-03
internal protein amino acid acetylation (GO:0006475),118,11,3.33,+,3.3,8.78E-04,2.87E-02
peptidyl-lysine acetylation (GO:0018394),119,11,3.36,+,3.27,9.36E-04,3.04E-02
regulation of carbohydrate metabolic process (GO:0006109),218,20,6.16,+,3.25,1.03E-05,6.60E-04
negative regulation of mitotic cell cycle phase transition (GO:1901991),240,22,6.78,+,3.24,3.79E-06,2.79E-04
mitotic cell cycle phase transition (GO:0044772),262,24,7.4,+,3.24,1.40E-06,1.26E-04
regulation of protein localization to nucleus (GO:1900180),142,13,4.01,+,3.24,3.62E-04,1.39E-02
protein localization to endoplasmic reticulum (GO:0070972),143,13,4.04,+,3.22,3.86E-04,1.48E-02
histone acetylation (GO:0016573),110,10,3.11,+,3.22,1.77E-03,4.94E-02
regulation of ubiquitin-dependent protein catabolic process (GO:2000058),166,15,4.69,+,3.2,1.50E-04,6.70E-03
positive regulation of GTPase activity (GO:0043547),255,23,7.21,+,3.19,2.95E-06,2.19E-04
negative regulation of cytoskeleton organization (GO:0051494),156,14,4.41,+,3.18,2.64E-04,1.06E-02
nucleosome organization (GO:0034728),156,14,4.41,+,3.18,2.64E-04,1.06E-02
organelle fission (GO:0048285),369,33,10.43,+,3.16,2.56E-08,3.61E-06
cell cycle phase transition (GO:0044770),270,24,7.63,+,3.15,2.28E-06,1.86E-04
nuclear division (GO:0000280),339,30,9.58,+,3.13,1.37E-07,1.59E-05
chromatin assembly or disassembly (GO:0006333),170,15,4.8,+,3.12,1.91E-04,8.16E-03
positive regulation of mRNA metabolic process (GO:1903313),136,12,3.84,+,3.12,8.15E-04,2.71E-02
negative regulation of supramolecular fiber organization (GO:1902904),159,14,4.49,+,3.12,3.15E-04,1.23E-02
establishment of organelle localization (GO:0051656),398,35,11.25,+,3.11,1.42E-08,2.12E-06
protein targeting to membrane (GO:0006612),182,16,5.14,+,3.11,1.23E-04,5.62E-03
protein-DNA complex subunit organization (GO:0071824),296,26,8.36,+,3.11,1.07E-06,1.00E-04
cell cycle process (GO:0022402),957,84,27.04,+,3.11,4.44E-19,4.68E-16
positive regulation of cell cycle (GO:0045787),310,27,8.76,+,3.08,7.71E-07,7.71E-05
peptidyl-serine phosphorylation (GO:0018105),185,16,5.23,+,3.06,1.46E-04,6.56E-03
microtubule cytoskeleton organization (GO:0000226),567,49,16.02,+,3.06,2.91E-11,8.37E-09
regulation of supramolecular fiber organization (GO:1902903),382,33,10.8,+,3.06,5.47E-08,7.21E-06
protein-DNA complex assembly (GO:0065004),256,22,7.23,+,3.04,9.80E-06,6.35E-04
negative regulation of cellular catabolic process (GO:0031330),257,22,7.26,+,3.03,1.04E-05,6.64E-04
Ras protein signal transduction (GO:0007265),176,15,4.97,+,3.02,2.70E-04,1.08E-02
protein autophosphorylation (GO:0046777),188,16,5.31,+,3.01,1.73E-04,7.59E-03
cell cycle (GO:0007049),1316,112,37.19,+,3.01,1.78E-24,7.04E-21
negative regulation of cell cycle phase transition (GO:1901988),294,25,8.31,+,3.01,2.93E-06,2.23E-04
negative regulation of mitotic cell cycle (GO:0045930),294,25,8.31,+,3.01,2.93E-06,2.22E-04
cytoskeleton organization (GO:0007010),1212,103,34.25,+,3.01,2.04E-22,6.44E-19
gene silencing (GO:0016458),153,13,4.32,+,3.01,6.97E-04,2.39E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389),212,18,5.99,+,3,7.16E-05,3.53E-03
spindle organization (GO:0007051),224,19,6.33,+,3,4.60E-05,2.41E-03
regulation of protein polymerization (GO:0032271),236,20,6.67,+,3,2.96E-05,1.68E-03
regulation of translation (GO:0006417),415,35,11.73,+,2.98,3.74E-08,5.14E-06
nucleocytoplasmic transport (GO:0006913),261,22,7.38,+,2.98,1.30E-05,8.17E-04
regulation of cell cycle G1/S phase transition (GO:1902806),178,15,5.03,+,2.98,3.02E-04,1.19E-02
regulation of actin polymerization or depolymerization (GO:0008064),190,16,5.37,+,2.98,1.94E-04,8.26E-03
small GTPase mediated signal transduction (GO:0007264),262,22,7.4,+,2.97,1.37E-05,8.50E-04
regulation of cellular carbohydrate metabolic process (GO:0010675),155,13,4.38,+,2.97,7.79E-04,2.62E-02
regulation of actin filament length (GO:0030832),191,16,5.4,+,2.96,2.05E-04,8.55E-03
nuclear transport (GO:0051169),264,22,7.46,+,2.95,1.53E-05,9.33E-04
regulation of mRNA catabolic process (GO:0061013),252,21,7.12,+,2.95,2.38E-05,1.37E-03
transport along microtubule (GO:0010970),157,13,4.44,+,2.93,8.70E-04,2.85E-02
regulation of chromosome organization (GO:0033044),290,24,8.2,+,2.93,7.06E-06,4.75E-04
cytoskeleton-dependent intracellular transport (GO:0030705),194,16,5.48,+,2.92,2.41E-04,9.83E-03
DNA-dependent DNA replication (GO:0006261),195,16,5.51,+,2.9,2.55E-04,1.03E-02
chromosome organization (GO:0051276),1064,87,30.07,+,2.89,5.86E-18,4.63E-15
nucleobase-containing compound transport (GO:0015931),245,20,6.92,+,2.89,4.83E-05,2.50E-03
peptidyl-serine modification (GO:0018209),209,17,5.91,+,2.88,1.82E-04,7.83E-03
positive regulation of intracellular protein transport (GO:0090316),185,15,5.23,+,2.87,4.42E-04,1.65E-02
glial cell differentiation (GO:0010001),173,14,4.89,+,2.86,6.90E-04,2.38E-02
chromatin remodeling (GO:0006338),173,14,4.89,+,2.86,6.90E-04,2.37E-02
negative regulation of organelle organization (GO:0010639),334,27,9.44,+,2.86,2.87E-06,2.22E-04
regulation of mitotic cell cycle phase transition (GO:1901990),434,35,12.26,+,2.85,1.03E-07,1.25E-05
nucleobase-containing compound catabolic process (GO:0034655),373,30,10.54,+,2.85,8.94E-07,8.73E-05
regulation of RNA splicing (GO:0043484),150,12,4.24,+,2.83,1.78E-03,4.97E-02
regulation of cytoskeleton organization (GO:0051493),526,42,14.86,+,2.83,6.96E-09,1.13E-06
posttranscriptional regulation of gene expression (GO:0010608),581,46,16.42,+,2.8,1.66E-09,3.09E-07
regulation of protein-containing complex assembly (GO:0043254),455,36,12.86,+,2.8,1.05E-07,1.25E-05
DNA repair (GO:0006281),531,42,15.01,+,2.8,8.97E-09,1.42E-06
actin cytoskeleton organization (GO:0030036),531,42,15.01,+,2.8,8.97E-09,1.40E-06
positive regulation of cell cycle process (GO:0090068),228,18,6.44,+,2.79,1.68E-04,7.37E-03
regulation of mRNA stability (GO:0043488),241,19,6.81,+,2.79,1.14E-04,5.31E-03
regulation of microtubule-based process (GO:0032886),242,19,6.84,+,2.78,1.19E-04,5.50E-03
positive regulation of cellular protein localization (GO:1903829),306,24,8.65,+,2.78,1.62E-05,9.79E-04
regulation of GTPase activity (GO:0043087),347,27,9.81,+,2.75,5.55E-06,3.86E-04
regulation of mRNA metabolic process (GO:1903311),376,29,10.63,+,2.73,2.94E-06,2.19E-04
cell morphogenesis involved in differentiation (GO:0000904),559,43,15.8,+,2.72,1.27E-08,1.94E-06
regulation of cell cycle phase transition (GO:1901987),522,40,14.75,+,2.71,4.56E-08,6.16E-06
gliogenesis (GO:0042063),223,17,6.3,+,2.7,3.69E-04,1.41E-02
establishment or maintenance of cell polarity (GO:0007163),197,15,5.57,+,2.69,8.09E-04,2.70E-02
negative regulation of cell cycle process (GO:0010948),368,28,10.4,+,2.69,5.53E-06,3.87E-04
mRNA metabolic process (GO:0016071),697,53,19.7,+,2.69,3.47E-10,7.83E-08
actin filament-based process (GO:0030029),605,46,17.1,+,2.69,5.40E-09,8.89E-07
DNA recombination (GO:0006310),225,17,6.36,+,2.67,4.06E-04,1.54E-02
positive regulation of protein transport (GO:0051222),331,25,9.35,+,2.67,1.96E-05,1.16E-03
peptidyl-lysine modification (GO:0018205),305,23,8.62,+,2.67,4.27E-05,2.27E-03
positive regulation of supramolecular fiber organization (GO:1902905),199,15,5.62,+,2.67,8.91E-04,2.90E-02
regulation of RNA stability (GO:0043487),253,19,7.15,+,2.66,2.04E-04,8.51E-03
apoptotic signaling pathway (GO:0097190),281,21,7.94,+,2.64,1.02E-04,4.84E-03
regulation of cell projection assembly (GO:0060491),189,14,5.34,+,2.62,1.52E-03,4.47E-02
actin filament organization (GO:0007015),270,20,7.63,+,2.62,1.66E-04,7.30E-03
regulation of cell cycle process (GO:0010564),792,58,22.38,+,2.59,2.18E-10,5.23E-08
microtubule-based process (GO:0007017),806,59,22.78,+,2.59,1.51E-10,3.73E-08
regulation of cellular amide metabolic process (GO:0034248),479,35,13.54,+,2.59,1.41E-06,1.26E-04
microtubule-based transport (GO:0099111),192,14,5.43,+,2.58,1.75E-03,4.90E-02
cell morphogenesis (GO:0000902),715,52,20.21,+,2.57,2.51E-09,4.41E-07
chromatin organization (GO:0006325),703,51,19.87,+,2.57,3.88E-09,6.45E-07
cell junction assembly (GO:0034329),276,20,7.8,+,2.56,2.18E-04,8.98E-03
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050),222,16,6.27,+,2.55,9.51E-04,3.07E-02
positive regulation of establishment of protein localization (GO:1904951),347,25,9.81,+,2.55,4.06E-05,2.18E-03
heterocycle catabolic process (GO:0046700),417,30,11.78,+,2.55,1.06E-05,6.78E-04
plasma membrane bounded cell projection morphogenesis (GO:0120039),503,36,14.21,+,2.53,1.24E-06,1.13E-04
regulation of mitotic cell cycle (GO:0007346),588,42,16.62,+,2.53,1.47E-07,1.68E-05
cell projection morphogenesis (GO:0048858),507,36,14.33,+,2.51,1.40E-06,1.26E-04
cellular nitrogen compound catabolic process (GO:0044270),423,30,11.95,+,2.51,1.23E-05,7.78E-04
cellular response to DNA damage stimulus (GO:0006974),793,56,22.41,+,2.5,2.21E-09,3.97E-07
organelle localization (GO:0051640),609,43,17.21,+,2.5,1.32E-07,1.55E-05
negative regulation of cell cycle (GO:0045786),454,32,12.83,+,2.49,6.47E-06,4.39E-04
cell part morphogenesis (GO:0032990),526,37,14.86,+,2.49,1.16E-06,1.07E-04
regulation of intracellular protein transport (GO:0033157),256,18,7.23,+,2.49,6.16E-04,2.18E-02
positive regulation of intracellular transport (GO:0032388),228,16,6.44,+,2.48,1.23E-03,3.80E-02
neuron projection morphogenesis (GO:0048812),499,35,14.1,+,2.48,2.44E-06,1.96E-04
axonogenesis (GO:0007409),385,27,10.88,+,2.48,4.05E-05,2.19E-03
ribosome biogenesis (GO:0042254),329,23,9.3,+,2.47,1.75E-04,7.63E-03
supramolecular fiber organization (GO:0097435),601,42,16.98,+,2.47,2.36E-07,2.58E-05
regulation of cellular protein localization (GO:1903827),561,39,15.85,+,2.46,7.34E-07,7.39E-05
protein-containing complex localization (GO:0031503),259,18,7.32,+,2.46,1.12E-03,3.50E-02
neuron projection development (GO:0031175),691,48,19.53,+,2.46,5.30E-08,7.04E-06
