GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (342),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
RNA splicing (GO:0008380),407,20,6.76,+,2.96,2.71E-05,5.16E-03
cell morphogenesis involved in neuron differentiation (GO:0048667),449,22,7.46,+,2.95,1.12E-05,2.96E-03
cell division (GO:0051301),492,24,8.17,+,2.94,4.80E-06,1.65E-03
mitotic cell cycle (GO:0000278),761,37,12.64,+,2.93,1.25E-08,1.79E-05
neuron projection development (GO:0031175),683,33,11.34,+,2.91,9.27E-08,7.69E-05
mitotic cell cycle process (GO:1903047),685,33,11.38,+,2.9,9.89E-08,7.80E-05
regulation of cytoskeleton organization (GO:0051493),519,25,8.62,+,2.9,3.75E-06,1.41E-03
cell junction organization (GO:0034330),501,24,8.32,+,2.88,6.43E-06,1.99E-03
regulation of cellular protein localization (GO:1903827),564,27,9.37,+,2.88,1.70E-06,7.45E-04
regulation of GTPase activity (GO:0043087),490,23,8.14,+,2.83,1.37E-05,3.23E-03
positive regulation of GTPase activity (GO:0043547),413,19,6.86,+,2.77,9.91E-05,1.35E-02
establishment of organelle localization (GO:0051656),397,18,6.59,+,2.73,1.79E-04,2.10E-02
cell morphogenesis involved in differentiation (GO:0000904),554,25,9.2,+,2.72,1.10E-05,2.99E-03
regulation of actin cytoskeleton organization (GO:0032956),356,16,5.91,+,2.71,4.44E-04,3.93E-02
neuron development (GO:0048666),833,37,13.83,+,2.67,1.14E-07,8.16E-05
axonogenesis (GO:0007409),384,17,6.38,+,2.67,3.50E-04,3.27E-02
microtubule-based process (GO:0007017),803,35,13.33,+,2.62,3.93E-07,2.21E-04
axon development (GO:0061564),419,18,6.96,+,2.59,3.34E-04,3.19E-02
regulation of actin filament-based process (GO:0032970),396,17,6.58,+,2.59,4.89E-04,4.17E-02
regulation of cell cycle process (GO:0010564),772,33,12.82,+,2.57,1.30E-06,6.19E-04
neuron projection morphogenesis (GO:0048812),495,21,8.22,+,2.55,1.28E-04,1.67E-02
cell part morphogenesis (GO:0032990),522,22,8.67,+,2.54,9.74E-05,1.34E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039),499,21,8.29,+,2.53,1.43E-04,1.83E-02
cell projection morphogenesis (GO:0048858),503,21,8.35,+,2.51,1.58E-04,1.95E-02
mRNA processing (GO:0006397),484,20,8.04,+,2.49,2.57E-04,2.62E-02
cell cycle (GO:0007049),1390,57,23.08,+,2.47,5.04E-10,1.33E-06
protein phosphorylation (GO:0006468),684,28,11.36,+,2.47,2.48E-05,4.88E-03
organelle localization (GO:0051640),616,25,10.23,+,2.44,8.08E-05,1.18E-02
chromatin organization (GO:0006325),697,28,11.57,+,2.42,3.04E-05,5.58E-03
"transcription, DNA-templated (GO:0006351)",553,22,9.18,+,2.4,2.81E-04,2.80E-02
cellular component morphogenesis (GO:0032989),604,24,10.03,+,2.39,1.40E-04,1.81E-02
nucleic acid-templated transcription (GO:0097659),554,22,9.2,+,2.39,2.85E-04,2.83E-02
regulation of organelle organization (GO:0033043),1188,47,19.73,+,2.38,7.47E-08,6.55E-05
plasma membrane bounded cell projection organization (GO:0120036),1166,46,19.36,+,2.38,1.13E-07,8.48E-05
cell morphogenesis (GO:0000902),711,28,11.81,+,2.37,3.94E-05,6.76E-03
cell cycle process (GO:0022402),1070,42,17.77,+,2.36,5.19E-07,2.64E-04
mRNA metabolic process (GO:0016071),694,27,11.52,+,2.34,6.50E-05,1.03E-02
RNA biosynthetic process (GO:0032774),566,22,9.4,+,2.34,3.45E-04,3.24E-02
cell projection organization (GO:0030030),1212,46,20.13,+,2.29,3.95E-07,2.15E-04
neuron differentiation (GO:0030182),1028,39,17.07,+,2.28,2.58E-06,1.04E-03
negative regulation of cellular component organization (GO:0051129),718,27,11.92,+,2.26,1.54E-04,1.95E-02
regulation of mitotic cell cycle (GO:0007346),588,22,9.76,+,2.25,5.15E-04,4.37E-02
positive regulation of organelle organization (GO:0010638),590,22,9.8,+,2.25,5.36E-04,4.45E-02
regulation of cellular component biogenesis (GO:0044087),967,36,16.06,+,2.24,9.43E-06,2.70E-03
chromosome organization (GO:0051276),1061,39,17.62,+,2.21,6.42E-06,2.02E-03
intracellular signal transduction (GO:0035556),1575,57,26.15,+,2.18,6.14E-08,5.69E-05
regulation of cell cycle (GO:0051726),1196,43,19.86,+,2.17,3.99E-06,1.46E-03
regulation of cellular localization (GO:0060341),836,30,13.88,+,2.16,1.55E-04,1.94E-02
protein localization to organelle (GO:0033365),791,28,13.14,+,2.13,3.23E-04,3.15E-02
regulation of anatomical structure morphogenesis (GO:0022603),955,33,15.86,+,2.08,9.40E-05,1.34E-02
generation of neurons (GO:0048699),1249,43,20.74,+,2.07,1.12E-05,2.98E-03
positive regulation of cellular component organization (GO:0051130),1135,39,18.85,+,2.07,2.48E-05,4.83E-03
cellular response to DNA damage stimulus (GO:0006974),787,27,13.07,+,2.07,5.50E-04,4.52E-02
negative regulation of apoptotic process (GO:0043066),888,30,14.75,+,2.03,4.16E-04,3.73E-02
cell development (GO:0048468),1615,54,26.82,+,2.01,1.44E-06,6.70E-04
regulation of protein localization (GO:0032880),899,30,14.93,+,2.01,4.51E-04,3.97E-02
negative regulation of programmed cell death (GO:0043069),907,30,15.06,+,1.99,4.85E-04,4.16E-02
organelle organization (GO:0006996),3574,118,59.35,+,1.99,4.89E-14,3.86E-10
regulation of catabolic process (GO:0009894),1021,33,16.95,+,1.95,3.87E-04,3.57E-02
neurogenesis (GO:0022008),1369,44,22.73,+,1.94,4.39E-05,7.21E-03
nucleobase-containing compound biosynthetic process (GO:0034654),1003,32,16.66,+,1.92,5.68E-04,4.65E-02
regulation of cellular component organization (GO:0051128),2360,75,39.19,+,1.91,5.21E-08,5.48E-05
regulation of apoptotic process (GO:0042981),1479,47,24.56,+,1.91,3.28E-05,5.95E-03
cellular macromolecule localization (GO:0070727),1645,52,27.32,+,1.9,1.30E-05,3.11E-03
cellular protein localization (GO:0034613),1639,51,27.22,+,1.87,2.03E-05,4.22E-03
regulation of programmed cell death (GO:0043067),1517,47,25.19,+,1.87,4.46E-05,7.26E-03
negative regulation of molecular function (GO:0044092),1171,36,19.45,+,1.85,5.82E-04,4.73E-02
RNA metabolic process (GO:0016070),1599,49,26.55,+,1.85,4.21E-05,7.06E-03
regulation of catalytic activity (GO:0050790),2516,77,41.78,+,1.84,1.33E-07,9.09E-05
regulation of molecular function (GO:0065009),3178,97,52.77,+,1.84,1.78E-09,4.02E-06
nucleic acid metabolic process (GO:0090304),2232,67,37.06,+,1.81,2.85E-06,1.12E-03
positive regulation of molecular function (GO:0044093),1766,53,29.33,+,1.81,3.85E-05,6.68E-03
protein localization (GO:0008104),2158,64,35.84,+,1.79,7.47E-06,2.26E-03
negative regulation of cellular biosynthetic process (GO:0031327),1556,46,25.84,+,1.78,1.89E-04,2.17E-02
negative regulation of RNA metabolic process (GO:0051253),1394,41,23.15,+,1.77,4.84E-04,4.17E-02
regulation of phosphate metabolic process (GO:0019220),1611,47,26.75,+,1.76,2.37E-04,2.51E-02
regulation of phosphorus metabolic process (GO:0051174),1611,47,26.75,+,1.76,2.37E-04,2.49E-02
positive regulation of macromolecule biosynthetic process (GO:0010557),1853,54,30.77,+,1.75,6.01E-05,9.57E-03
cellular component assembly (GO:0022607),2438,71,40.49,+,1.75,3.10E-06,1.19E-03
regulation of cell death (GO:0010941),1652,48,27.43,+,1.75,1.92E-04,2.16E-02
positive regulation of nucleic acid-templated transcription (GO:1903508),1622,47,26.93,+,1.74,2.51E-04,2.61E-02
"positive regulation of transcription, DNA-templated (GO:0045893)",1622,47,26.93,+,1.74,2.51E-04,2.59E-02
negative regulation of biosynthetic process (GO:0009890),1588,46,26.37,+,1.74,3.23E-04,3.16E-02
positive regulation of RNA biosynthetic process (GO:1902680),1623,47,26.95,+,1.74,2.53E-04,2.59E-02
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),1487,43,24.69,+,1.74,4.84E-04,4.19E-02
nervous system development (GO:0007399),2189,63,36.35,+,1.73,1.99E-05,4.24E-03
negative regulation of macromolecule biosynthetic process (GO:0010558),1498,43,24.88,+,1.73,5.24E-04,4.37E-02
positive regulation of RNA metabolic process (GO:0051254),1718,49,28.53,+,1.72,2.51E-04,2.62E-02
cellular component biogenesis (GO:0044085),2701,77,44.85,+,1.72,2.48E-06,1.03E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935),1891,53,31.4,+,1.69,2.18E-04,2.40E-02
negative regulation of cellular metabolic process (GO:0031324),2580,72,42.84,+,1.68,1.18E-05,2.94E-03
regulation of intracellular signal transduction (GO:1902531),1768,49,29.36,+,1.67,4.55E-04,3.98E-02
cellular component organization (GO:0016043),5775,160,95.9,+,1.67,4.31E-13,1.70E-09
positive regulation of cellular biosynthetic process (GO:0031328),1956,54,32.48,+,1.66,2.72E-04,2.74E-02
cellular component organization or biogenesis (GO:0071840),5999,165,99.62,+,1.66,2.04E-13,1.07E-09
positive regulation of biosynthetic process (GO:0009891),1990,54,33.05,+,1.63,4.33E-04,3.86E-02
macromolecule localization (GO:0033036),2550,69,42.35,+,1.63,4.86E-05,7.82E-03
cellular localization (GO:0051641),3003,81,49.87,+,1.62,9.91E-06,2.79E-03
nucleobase-containing compound metabolic process (GO:0006139),2719,73,45.15,+,1.62,3.79E-05,6.64E-03
negative regulation of cellular process (GO:0048523),4909,130,81.52,+,1.59,6.99E-09,1.22E-05
positive regulation of cellular process (GO:0048522),5656,149,93.92,+,1.59,3.34E-10,1.05E-06
cell differentiation (GO:0030154),3509,92,58.27,+,1.58,6.37E-06,2.05E-03
positive regulation of cellular metabolic process (GO:0031325),3238,84,53.77,+,1.56,2.64E-05,5.08E-03
cellular developmental process (GO:0048869),3562,92,59.15,+,1.56,1.05E-05,2.91E-03
negative regulation of metabolic process (GO:0009892),3104,80,51.54,+,1.55,7.02E-05,1.09E-02
heterocycle metabolic process (GO:0046483),2904,74,48.22,+,1.53,1.68E-04,2.01E-02
regulation of RNA metabolic process (GO:0051252),3738,94,62.07,+,1.51,2.83E-05,5.31E-03
cellular aromatic compound metabolic process (GO:0006725),2948,74,48.95,+,1.51,3.30E-04,3.18E-02
negative regulation of biological process (GO:0048519),5541,139,92.01,+,1.51,5.37E-08,5.30E-05
positive regulation of macromolecule metabolic process (GO:0010604),3431,86,56.98,+,1.51,7.54E-05,1.12E-02
regulation of nucleobase-containing compound metabolic process (GO:0019219),4007,100,66.54,+,1.5,1.83E-05,4.02E-03
positive regulation of biological process (GO:0048518),6244,155,103.69,+,1.49,7.33E-09,1.16E-05
regulation of cellular macromolecule biosynthetic process (GO:2000112),3913,97,64.98,+,1.49,2.98E-05,5.53E-03
system development (GO:0048731),4279,106,71.06,+,1.49,1.17E-05,2.99E-03
positive regulation of metabolic process (GO:0009893),3719,92,61.76,+,1.49,6.89E-05,1.08E-02
regulation of cellular metabolic process (GO:0031323),6106,151,101.4,+,1.49,2.33E-08,2.62E-05
regulation of macromolecule biosynthetic process (GO:0010556),3944,97,65.49,+,1.48,4.23E-05,7.03E-03
positive regulation of nitrogen compound metabolic process (GO:0051173),3058,75,50.78,+,1.48,5.47E-04,4.52E-02
regulation of cellular biosynthetic process (GO:0031326),4105,99,68.17,+,1.45,7.41E-05,1.11E-02
regulation of biosynthetic process (GO:0009889),4189,100,69.56,+,1.44,1.09E-04,1.46E-02
multicellular organism development (GO:0007275),4877,116,80.99,+,1.43,2.22E-05,4.54E-03
anatomical structure development (GO:0048856),5266,124,87.45,+,1.42,1.54E-05,3.57E-03
regulation of primary metabolic process (GO:0080090),5892,138,97.84,+,1.41,4.23E-06,1.52E-03
regulation of metabolic process (GO:0019222),6847,160,113.7,+,1.41,3.11E-07,1.82E-04
regulation of nitrogen compound metabolic process (GO:0051171),5688,131,94.45,+,1.39,2.45E-05,4.89E-03
regulation of macromolecule metabolic process (GO:0060255),6301,145,104.63,+,1.39,4.95E-06,1.66E-03
cellular macromolecule metabolic process (GO:0044260),4963,113,82.42,+,1.37,2.14E-04,2.38E-02
regulation of gene expression (GO:0010468),4872,110,80.9,+,1.36,4.10E-04,3.69E-02
developmental process (GO:0032502),5729,129,95.14,+,1.36,9.50E-05,1.34E-02
regulation of cellular process (GO:0050794),11302,240,187.68,+,1.28,1.28E-08,1.69E-05
regulation of biological process (GO:0050789),11856,248,196.88,+,1.26,1.47E-08,1.78E-05
biological regulation (GO:0065007),12571,261,208.75,+,1.25,3.22E-09,6.35E-06
cellular process (GO:0009987),15487,291,257.18,+,1.13,1.16E-05,3.00E-03
biological_process (GO:0008150),17850,322,296.42,+,1.09,1.18E-05,2.91E-03
Unclassified (UNCLASSIFIED),2745,20,45.58,-,0.44,1.18E-05,2.86E-03
transmembrane transport (GO:0055085),1292,7,21.45,-,0.33,4.08E-04,3.70E-02
