GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (701),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
response to reactive oxygen species (GO:0000302),198,18,6.74,+,2.67,3.02E-04,1.87E-02
positive regulation of cellular protein localization (GO:1903829),301,27,10.25,+,2.64,1.31E-05,1.63E-03
posttranscriptional regulation of gene expression (GO:0010608),547,49,18.62,+,2.63,5.98E-09,2.48E-06
RNA transport (GO:0050658),201,18,6.84,+,2.63,3.57E-04,2.17E-02
nucleic acid transport (GO:0050657),201,18,6.84,+,2.63,3.57E-04,2.16E-02
regulation of apoptotic signaling pathway (GO:2001233),347,31,11.81,+,2.62,3.30E-06,5.16E-04
microtubule-based transport (GO:0099111),191,17,6.5,+,2.61,5.49E-04,2.98E-02
epidermis development (GO:0008544),417,37,14.19,+,2.61,6.51E-07,1.41E-04
regulation of chromatin organization (GO:1902275),203,18,6.91,+,2.61,3.98E-04,2.33E-02
regulation of cell size (GO:0008361),181,16,6.16,+,2.6,8.45E-04,4.23E-02
negative regulation of apoptotic signaling pathway (GO:2001234),227,20,7.73,+,2.59,2.10E-04,1.39E-02
cytoskeleton organization (GO:0007010),1204,106,40.98,+,2.59,5.46E-18,2.15E-14
regulation of dephosphorylation (GO:0035303),216,19,7.35,+,2.58,3.05E-04,1.88E-02
protein autophosphorylation (GO:0046777),184,16,6.26,+,2.55,9.93E-04,4.82E-02
positive regulation of MAP kinase activity (GO:0043406),232,20,7.9,+,2.53,2.73E-04,1.72E-02
regulation of cellular amide metabolic process (GO:0034248),432,37,14.7,+,2.52,1.09E-06,2.15E-04
regulation of response to DNA damage stimulus (GO:2001020),224,19,7.62,+,2.49,7.43E-04,3.83E-02
Golgi vesicle transport (GO:0048193),396,33,13.48,+,2.45,6.83E-06,9.29E-04
cell junction organization (GO:0034330),501,41,17.05,+,2.4,9.54E-07,1.98E-04
regulation of chromosome organization (GO:0033044),283,23,9.63,+,2.39,2.52E-04,1.62E-02
regulation of MAP kinase activity (GO:0043405),309,25,10.52,+,2.38,1.39E-04,9.86E-03
regulation of actin filament-based process (GO:0032970),396,32,13.48,+,2.37,2.37E-05,2.60E-03
positive regulation of cell projection organization (GO:0031346),350,28,11.91,+,2.35,6.39E-05,5.31E-03
regulation of actin cytoskeleton organization (GO:0032956),356,28,12.12,+,2.31,1.13E-04,8.32E-03
RNA splicing (GO:0008380),407,32,13.85,+,2.31,3.13E-05,3.19E-03
cell junction assembly (GO:0034329),280,22,9.53,+,2.31,4.95E-04,2.78E-02
protein-containing complex localization (GO:0031503),257,20,8.75,+,2.29,9.97E-04,4.82E-02
regulation of intracellular protein transport (GO:0033157),258,20,8.78,+,2.28,1.04E-03,4.95E-02
DNA conformation change (GO:0071103),313,24,10.65,+,2.25,5.04E-04,2.82E-02
negative regulation of catabolic process (GO:0009895),313,24,10.65,+,2.25,5.04E-04,2.81E-02
activation of protein kinase activity (GO:0032147),327,25,11.13,+,2.25,3.75E-04,2.22E-02
cellular response to chemical stress (GO:0062197),288,22,9.8,+,2.24,9.87E-04,4.82E-02
regulation of cellular protein localization (GO:1903827),564,43,19.2,+,2.24,2.53E-06,4.08E-04
"mRNA splicing, via spliceosome (GO:0000398)",302,23,10.28,+,2.24,7.26E-04,3.78E-02
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",302,23,10.28,+,2.24,7.26E-04,3.77E-02
establishment of organelle localization (GO:0051656),397,30,13.51,+,2.22,9.69E-05,7.39E-03
regulation of GTPase activity (GO:0043087),490,37,16.68,+,2.22,1.73E-05,2.02E-03
"RNA splicing, via transesterification reactions (GO:0000375)",305,23,10.38,+,2.22,7.77E-04,3.98E-02
mRNA processing (GO:0006397),484,36,16.47,+,2.19,2.87E-05,2.98E-03
protein phosphorylation (GO:0006468),684,50,23.28,+,2.15,1.36E-06,2.46E-04
positive regulation of protein transport (GO:0051222),329,24,11.2,+,2.14,7.82E-04,3.97E-02
regulation of cellular component size (GO:0032535),384,28,13.07,+,2.14,3.65E-04,2.20E-02
positive regulation of protein serine/threonine kinase activity (GO:0071902),316,23,10.76,+,2.14,1.05E-03,4.93E-02
regulation of establishment of protein localization (GO:0070201),592,43,20.15,+,2.13,7.94E-06,1.06E-03
positive regulation of establishment of protein localization (GO:1904951),345,25,11.74,+,2.13,9.51E-04,4.69E-02
regulation of DNA metabolic process (GO:0051052),373,27,12.7,+,2.13,5.19E-04,2.89E-02
regulation of protein transport (GO:0051223),567,41,19.3,+,2.12,1.47E-05,1.78E-03
negative regulation of phosphate metabolic process (GO:0045936),513,37,17.46,+,2.12,4.61E-05,4.23E-03
regulation of supramolecular fiber organization (GO:1902903),375,27,12.76,+,2.12,5.41E-04,2.95E-02
negative regulation of phosphorus metabolic process (GO:0010563),514,37,17.5,+,2.11,4.72E-05,4.30E-03
regulation of peptide transport (GO:0090087),600,43,20.42,+,2.11,1.37E-05,1.68E-03
organelle localization (GO:0051640),616,44,20.97,+,2.1,1.07E-05,1.36E-03
positive regulation of transferase activity (GO:0051347),687,49,23.38,+,2.1,4.10E-06,6.11E-04
cell population proliferation (GO:0008283),477,34,16.24,+,2.09,1.23E-04,8.93E-03
positive regulation of kinase activity (GO:0033674),608,43,20.69,+,2.08,1.62E-05,1.91E-03
regulation of protein-containing complex assembly (GO:0043254),454,32,15.45,+,2.07,2.42E-04,1.56E-02
positive regulation of GTPase activity (GO:0043547),413,29,14.06,+,2.06,6.00E-04,3.23E-02
regulation of protein localization (GO:0032880),899,63,30.6,+,2.06,2.28E-07,5.81E-05
intracellular signal transduction (GO:0035556),1575,110,53.61,+,2.05,3.56E-12,3.51E-09
regulation of cytoskeleton organization (GO:0051493),519,36,17.67,+,2.04,1.42E-04,9.96E-03
positive regulation of protein kinase activity (GO:0045860),534,37,18.18,+,2.04,1.08E-04,7.99E-03
regulation of plasma membrane bounded cell projection organization (GO:0120035),621,43,21.14,+,2.03,3.18E-05,3.22E-03
regulation of cell projection organization (GO:0031344),638,44,21.72,+,2.03,2.51E-05,2.69E-03
cell morphogenesis (GO:0000902),711,49,24.2,+,2.02,9.81E-06,1.26E-03
supramolecular fiber organization (GO:0097435),597,41,20.32,+,2.02,6.07E-05,5.12E-03
regulation of neuron projection development (GO:0010975),438,30,14.91,+,2.01,5.42E-04,2.95E-02
positive regulation of cellular component biogenesis (GO:0044089),527,36,17.94,+,2.01,1.63E-04,1.12E-02
positive regulation of apoptotic process (GO:0043065),549,37,18.69,+,1.98,2.18E-04,1.43E-02
regulation of protein serine/threonine kinase activity (GO:0071900),490,33,16.68,+,1.98,4.15E-04,2.40E-02
regulation of transferase activity (GO:0051338),1025,69,34.89,+,1.98,2.04E-07,5.29E-05
regulation of kinase activity (GO:0043549),908,61,30.91,+,1.97,1.21E-06,2.25E-04
regulation of protein kinase activity (GO:0045859),797,53,27.13,+,1.95,8.14E-06,1.08E-03
positive regulation of organelle organization (GO:0010638),590,39,20.08,+,1.94,1.54E-04,1.06E-02
positive regulation of hydrolase activity (GO:0051345),777,51,26.45,+,1.93,2.32E-05,2.58E-03
positive regulation of programmed cell death (GO:0043068),564,37,19.2,+,1.93,2.74E-04,1.71E-02
positive regulation of cell death (GO:0010942),627,41,21.34,+,1.92,1.46E-04,1.02E-02
cell morphogenesis involved in differentiation (GO:0000904),554,36,18.86,+,1.91,3.87E-04,2.29E-02
mRNA metabolic process (GO:0016071),694,45,23.62,+,1.91,8.34E-05,6.58E-03
response to inorganic substance (GO:0010035),542,35,18.45,+,1.9,5.25E-04,2.89E-02
chromatin organization (GO:0006325),697,45,23.72,+,1.9,8.76E-05,6.81E-03
neuron projection development (GO:0031175),683,44,23.25,+,1.89,1.15E-04,8.39E-03
positive regulation of catalytic activity (GO:0043085),1415,91,48.16,+,1.89,1.95E-08,6.99E-06
cell migration (GO:0016477),965,62,32.85,+,1.89,3.90E-06,5.91E-04
neuron development (GO:0048666),833,53,28.35,+,1.87,2.88E-05,2.97E-03
viral process (GO:0016032),849,54,28.9,+,1.87,2.29E-05,2.56E-03
neurogenesis (GO:0022008),1369,87,46.6,+,1.87,6.92E-08,2.02E-05
cell part morphogenesis (GO:0032990),522,33,17.77,+,1.86,1.04E-03,4.93E-02
regulation of cellular catabolic process (GO:0031329),855,54,29.1,+,1.86,3.54E-05,3.47E-03
cellular response to hormone stimulus (GO:0032870),523,33,17.8,+,1.85,1.06E-03,4.95E-02
regulation of cellular component biogenesis (GO:0044087),967,61,32.91,+,1.85,8.98E-06,1.17E-03
cellular component morphogenesis (GO:0032989),604,38,20.56,+,1.85,6.45E-04,3.40E-02
positive regulation of molecular function (GO:0044093),1766,111,60.11,+,1.85,1.06E-09,5.76E-07
mitotic cell cycle process (GO:1903047),685,43,23.32,+,1.84,2.74E-04,1.71E-02
regulation of catabolic process (GO:0009894),1021,64,34.75,+,1.84,6.63E-06,9.17E-04
positive regulation of phosphorylation (GO:0042327),913,57,31.08,+,1.83,2.74E-05,2.87E-03
organelle organization (GO:0006996),3574,223,121.65,+,1.83,7.70E-20,1.21E-15
epithelial cell differentiation (GO:0030855),674,42,22.94,+,1.83,3.72E-04,2.23E-02
cellular response to DNA damage stimulus (GO:0006974),787,49,26.79,+,1.83,9.78E-05,7.41E-03
response to hormone (GO:0009725),807,50,27.47,+,1.82,1.16E-04,8.42E-03
regulation of hydrolase activity (GO:0051336),1308,81,44.52,+,1.82,4.93E-07,1.14E-04
biological process involved in symbiotic interaction (GO:0044403),937,58,31.89,+,1.82,2.41E-05,2.62E-03
regulation of intracellular signal transduction (GO:1902531),1768,109,60.18,+,1.81,4.02E-09,1.86E-06
generation of neurons (GO:0048699),1249,77,42.51,+,1.81,1.43E-06,2.53E-04
cellular response to stress (GO:0033554),1755,108,59.74,+,1.81,5.37E-09,2.29E-06
regulation of organelle organization (GO:0033043),1188,73,40.44,+,1.81,2.76E-06,4.40E-04
regulation of catalytic activity (GO:0050790),2516,154,85.64,+,1.8,1.88E-12,2.28E-09
negative regulation of cellular protein metabolic process (GO:0032269),984,60,33.49,+,1.79,2.55E-05,2.70E-03
positive regulation of cellular component organization (GO:0051130),1135,69,38.63,+,1.79,8.44E-06,1.11E-03
intracellular transport (GO:0046907),1499,91,51.02,+,1.78,2.36E-07,5.91E-05
mitotic cell cycle (GO:0000278),761,46,25.9,+,1.78,3.74E-04,2.23E-02
neuron differentiation (GO:0030182),1028,62,34.99,+,1.77,2.53E-05,2.70E-03
epithelium development (GO:0060429),1097,66,37.34,+,1.77,1.97E-05,2.27E-03
regulation of phosphorylation (GO:0042325),1400,84,47.65,+,1.76,1.09E-06,2.13E-04
regulation of cellular localization (GO:0060341),836,50,28.46,+,1.76,2.25E-04,1.46E-02
positive regulation of phosphorus metabolic process (GO:0010562),989,59,33.66,+,1.75,5.68E-05,5.03E-03
positive regulation of phosphate metabolic process (GO:0045937),989,59,33.66,+,1.75,5.68E-05,5.00E-03
regulation of apoptotic process (GO:0042981),1479,88,50.34,+,1.75,9.52E-07,2.00E-04
programmed cell death (GO:0012501),1044,62,35.54,+,1.74,4.14E-05,3.89E-03
chromosome organization (GO:0051276),1061,63,36.11,+,1.74,4.59E-05,4.24E-03
regulation of programmed cell death (GO:0043067),1517,90,51.63,+,1.74,6.16E-07,1.37E-04
cell death (GO:0008219),1079,64,36.73,+,1.74,3.64E-05,3.48E-03
regulation of anion transport (GO:0044070),860,51,29.27,+,1.74,2.71E-04,1.71E-02
negative regulation of gene expression (GO:0010629),964,57,32.81,+,1.74,9.82E-05,7.41E-03
regulation of phosphate metabolic process (GO:0019220),1611,95,54.83,+,1.73,4.00E-07,9.55E-05
regulation of phosphorus metabolic process (GO:0051174),1611,95,54.83,+,1.73,4.00E-07,9.41E-05
DNA metabolic process (GO:0006259),781,46,26.58,+,1.73,6.43E-04,3.40E-02
negative regulation of protein metabolic process (GO:0051248),1056,62,35.94,+,1.72,6.42E-05,5.30E-03
regulation of cellular component organization (GO:0051128),2360,138,80.33,+,1.72,7.91E-10,4.46E-07
regulation of molecular function (GO:0065009),3178,185,108.17,+,1.71,3.07E-13,8.08E-10
positive regulation of protein phosphorylation (GO:0001934),828,48,28.18,+,1.7,6.37E-04,3.40E-02
regulation of protein phosphorylation (GO:0001932),1210,70,41.19,+,1.7,3.24E-05,3.25E-03
regulation of ion transport (GO:0043269),1337,77,45.51,+,1.69,1.34E-05,1.65E-03
regulation of cell death (GO:0010941),1652,95,56.23,+,1.69,1.13E-06,2.17E-04
positive regulation of signal transduction (GO:0009967),1551,89,52.79,+,1.69,3.34E-06,5.16E-04
localization of cell (GO:0051674),1103,63,37.54,+,1.68,1.28E-04,9.21E-03
cell motility (GO:0048870),1103,63,37.54,+,1.68,1.28E-04,9.17E-03
peptide transport (GO:0015833),1492,85,50.78,+,1.67,6.55E-06,9.23E-04
positive regulation of gene expression (GO:0010628),1072,61,36.49,+,1.67,1.52E-04,1.05E-02
regulation of cell cycle (GO:0051726),1196,68,40.71,+,1.67,6.18E-05,5.19E-03
nervous system development (GO:0007399),2189,124,74.51,+,1.66,4.34E-08,1.37E-05
cellular developmental process (GO:0048869),3562,201,121.24,+,1.66,3.60E-13,8.11E-10
cell development (GO:0048468),1615,91,54.97,+,1.66,5.04E-06,7.23E-04
negative regulation of programmed cell death (GO:0043069),907,51,30.87,+,1.65,7.80E-04,3.97E-02
regulation of cellular protein metabolic process (GO:0032268),2437,137,82.95,+,1.65,8.54E-09,3.28E-06
positive regulation of intracellular signal transduction (GO:1902533),1015,57,34.55,+,1.65,4.00E-04,2.33E-02
protein transport (GO:0015031),1463,82,49.8,+,1.65,1.58E-05,1.91E-03
anatomical structure morphogenesis (GO:0009653),2135,119,72.67,+,1.64,1.79E-07,4.79E-05
amide transport (GO:0042886),1526,85,51.94,+,1.64,1.59E-05,1.90E-03
macromolecule localization (GO:0033036),2550,142,86.8,+,1.64,8.12E-09,3.20E-06
cell differentiation (GO:0030154),3509,195,119.44,+,1.63,3.61E-12,3.35E-09
regulation of cellular component movement (GO:0051270),1026,57,34.92,+,1.63,4.46E-04,2.53E-02
central nervous system development (GO:0007417),991,55,33.73,+,1.63,6.70E-04,3.51E-02
positive regulation of cell communication (GO:0010647),1714,95,58.34,+,1.63,4.81E-06,7.02E-04
movement of cell or subcellular component (GO:0006928),1591,88,54.15,+,1.63,1.24E-05,1.55E-03
positive regulation of signaling (GO:0023056),1720,95,58.54,+,1.62,6.71E-06,9.20E-04
regulation of protein modification process (GO:0031399),1633,90,55.58,+,1.62,1.12E-05,1.42E-03
phosphorylation (GO:0016310),1022,56,34.79,+,1.61,8.03E-04,4.05E-02
cellular response to cytokine stimulus (GO:0071345),1007,55,34.28,+,1.6,1.01E-03,4.88E-02
establishment of protein localization (GO:0045184),1558,85,53.03,+,1.6,3.63E-05,3.49E-03
regulation of locomotion (GO:0040012),990,54,33.7,+,1.6,9.60E-04,4.72E-02
negative regulation of RNA metabolic process (GO:0051253),1394,76,47.45,+,1.6,1.00E-04,7.50E-03
negative regulation of cellular metabolic process (GO:0031324),2580,140,87.82,+,1.59,5.16E-08,1.56E-05
protein localization (GO:0008104),2158,117,73.45,+,1.59,1.05E-06,2.10E-04
negative regulation of macromolecule biosynthetic process (GO:0010558),1498,81,50.99,+,1.59,6.82E-05,5.58E-03
cellular component organization (GO:0016043),5775,312,196.57,+,1.59,8.32E-20,6.56E-16
regulation of protein metabolic process (GO:0051246),2595,140,88.33,+,1.59,7.66E-08,2.20E-05
cellular response to oxygen-containing compound (GO:1901701),1058,57,36.01,+,1.58,9.89E-04,4.82E-02
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),1487,80,50.61,+,1.58,8.82E-05,6.82E-03
locomotion (GO:0040011),1339,72,45.58,+,1.58,1.98E-04,1.32E-02
positive regulation of protein modification process (GO:0031401),1061,57,36.11,+,1.58,1.02E-03,4.89E-02
response to oxygen-containing compound (GO:1901700),1584,85,53.92,+,1.58,5.69E-05,4.98E-03
negative regulation of nitrogen compound metabolic process (GO:0051172),2390,128,81.35,+,1.57,4.94E-07,1.13E-04
negative regulation of biosynthetic process (GO:0009890),1588,85,54.05,+,1.57,5.86E-05,5.05E-03
negative regulation of nucleobase-containing compound metabolic process (GO:0045934),1514,81,51.53,+,1.57,1.00E-04,7.52E-03
regulation of signal transduction (GO:0009966),3047,163,103.71,+,1.57,7.33E-09,2.97E-06
regulation of localization (GO:0032879),2734,146,93.06,+,1.57,5.85E-08,1.74E-05
negative regulation of cellular biosynthetic process (GO:0031327),1556,83,52.96,+,1.57,9.06E-05,6.97E-03
nucleic acid metabolic process (GO:0090304),2232,119,75.97,+,1.57,1.54E-06,2.64E-04
cell cycle (GO:0007049),1390,74,47.31,+,1.56,2.47E-04,1.59E-02
cellular component organization or biogenesis (GO:0071840),5999,319,204.19,+,1.56,2.26E-19,1.19E-15
regulation of transport (GO:0051049),1758,93,59.84,+,1.55,3.92E-05,3.70E-03
positive regulation of cellular protein metabolic process (GO:0032270),1456,77,49.56,+,1.55,1.92E-04,1.29E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935),1891,100,64.36,+,1.55,2.17E-05,2.44E-03
establishment of localization in cell (GO:0051649),2365,125,80.5,+,1.55,1.15E-06,2.19E-04
nitrogen compound transport (GO:0071705),1801,95,61.3,+,1.55,3.54E-05,3.49E-03
tissue development (GO:0009888),1732,91,58.95,+,1.54,6.27E-05,5.23E-03
negative regulation of metabolic process (GO:0009892),3104,163,105.65,+,1.54,2.45E-08,8.21E-06
negative regulation of macromolecule metabolic process (GO:0010605),2861,150,97.38,+,1.54,1.05E-07,2.92E-05
positive regulation of protein metabolic process (GO:0051247),1538,80,52.35,+,1.53,2.69E-04,1.71E-02
system development (GO:0048731),4279,222,145.65,+,1.52,3.42E-11,2.84E-08
positive regulation of macromolecule biosynthetic process (GO:0010557),1853,96,63.07,+,1.52,5.98E-05,5.07E-03
regulation of cell communication (GO:0010646),3424,176,116.54,+,1.51,2.00E-08,7.02E-06
positive regulation of macromolecule metabolic process (GO:0010604),3431,176,116.78,+,1.51,2.68E-08,8.79E-06
regulation of developmental process (GO:0050793),2441,125,83.09,+,1.5,6.58E-06,9.19E-04
regulation of signaling (GO:0023051),3459,177,117.74,+,1.5,2.96E-08,9.53E-06
animal organ development (GO:0048513),3187,163,108.48,+,1.5,1.17E-07,3.19E-05
positive regulation of cellular biosynthetic process (GO:0031328),1956,100,66.58,+,1.5,6.79E-05,5.58E-03
positive regulation of metabolic process (GO:0009893),3719,189,126.59,+,1.49,1.28E-08,4.71E-06
positive regulation of biosynthetic process (GO:0009891),1990,101,67.73,+,1.49,7.81E-05,6.28E-03
organic substance transport (GO:0071702),2170,110,73.86,+,1.49,3.84E-05,3.65E-03
cellular protein localization (GO:0034613),1639,83,55.79,+,1.49,4.11E-04,2.38E-02
cellular macromolecule localization (GO:0070727),1645,83,55.99,+,1.48,5.35E-04,2.93E-02
anion transport (GO:0006820),2287,115,77.84,+,1.48,3.40E-05,3.39E-03
positive regulation of RNA metabolic process (GO:0051254),1718,86,58.48,+,1.47,5.32E-04,2.93E-02
RNA metabolic process (GO:0016070),1599,80,54.43,+,1.47,7.79E-04,3.98E-02
cellular localization (GO:0051641),3003,150,102.21,+,1.47,1.80E-06,2.98E-04
developmental process (GO:0032502),5729,286,195,+,1.47,4.00E-13,7.88E-10
positive regulation of cellular process (GO:0048522),5656,282,192.52,+,1.46,8.35E-13,1.32E-09
positive regulation of cellular metabolic process (GO:0031325),3238,161,110.21,+,1.46,9.61E-07,1.97E-04
negative regulation of cellular process (GO:0048523),4909,242,167.09,+,1.45,3.78E-10,2.38E-07
cellular component assembly (GO:0022607),2438,120,82.98,+,1.45,5.54E-05,4.94E-03
vesicle-mediated transport (GO:0016192),1958,96,66.65,+,1.44,4.24E-04,2.43E-02
positive regulation of nitrogen compound metabolic process (GO:0051173),3058,149,104.09,+,1.43,7.80E-06,1.05E-03
positive regulation of biological process (GO:0048518),6244,304,212.53,+,1.43,8.21E-13,1.44E-09
phosphorus metabolic process (GO:0006793),1933,94,65.79,+,1.43,6.42E-04,3.41E-02
anatomical structure development (GO:0048856),5266,256,179.24,+,1.43,3.94E-10,2.39E-07
cellular component biogenesis (GO:0044085),2701,131,91.93,+,1.42,4.39E-05,4.10E-03
response to organic substance (GO:0010033),2995,145,101.94,+,1.42,1.74E-05,2.02E-03
multicellular organism development (GO:0007275),4877,236,166,+,1.42,4.33E-09,1.95E-06
nucleobase-containing compound metabolic process (GO:0006139),2719,131,92.55,+,1.42,5.88E-05,5.04E-03
response to stress (GO:0006950),3634,175,123.69,+,1.41,1.78E-06,2.99E-04
regulation of macromolecule biosynthetic process (GO:0010556),3944,189,134.24,+,1.41,8.46E-07,1.80E-04
