GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (372),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
regulation of protein depolymerization (GO:1901879),91,9,1.64,+,5.48,7.27E-05,4.58E-03
positive regulation of protein localization to nucleus (GO:1900182),91,9,1.64,+,5.48,7.27E-05,4.56E-03
regulation of mitotic metaphase/anaphase transition (GO:0030071),61,6,1.1,+,5.45,1.20E-03,4.83E-02
protein targeting to ER (GO:0045047),112,11,2.02,+,5.44,1.24E-05,1.06E-03
regulation of sister chromatid segregation (GO:0033045),73,7,1.32,+,5.31,5.47E-04,2.56E-02
regulation of chromosome separation (GO:1905818),73,7,1.32,+,5.31,5.47E-04,2.55E-02
positive regulation of mitotic cell cycle phase transition (GO:1901992),84,8,1.52,+,5.27,2.32E-04,1.25E-02
regulation of microtubule cytoskeleton organization (GO:0070507),147,14,2.66,+,5.27,1.15E-06,1.42E-04
establishment of protein localization to endoplasmic reticulum (GO:0072599),116,11,2.1,+,5.25,1.68E-05,1.34E-03
RNA catabolic process (GO:0006401),248,23,4.48,+,5.13,6.65E-10,2.06E-07
protein localization to endoplasmic reticulum (GO:0070972),143,13,2.58,+,5.03,4.44E-06,4.41E-04
positive regulation of mitotic cell cycle (GO:0045931),112,10,2.02,+,4.94,6.48E-05,4.20E-03
regulation of cellular response to heat (GO:1900034),79,7,1.43,+,4.91,8.45E-04,3.65E-02
viral gene expression (GO:0019080),172,15,3.11,+,4.83,1.33E-06,1.60E-04
mitotic spindle organization (GO:0007052),163,14,2.94,+,4.76,3.53E-06,3.58E-04
mitotic nuclear division (GO:0140014),201,17,3.63,+,4.68,3.92E-07,5.38E-05
regulation of protein localization to nucleus (GO:1900180),142,12,2.56,+,4.68,2.04E-05,1.56E-03
positive regulation of cell cycle phase transition (GO:1901989),107,9,1.93,+,4.66,2.27E-04,1.23E-02
nuclear chromosome segregation (GO:0098813),227,19,4.1,+,4.63,9.41E-08,1.64E-05
mitotic cell cycle checkpoint signaling (GO:0007093),159,13,2.87,+,4.53,1.29E-05,1.08E-03
microtubule cytoskeleton organization involved in mitosis (GO:1902850),184,15,3.32,+,4.51,2.89E-06,3.02E-04
mitotic DNA integrity checkpoint signaling (GO:0044774),123,10,2.22,+,4.5,1.34E-04,7.68E-03
negative regulation of protein-containing complex assembly (GO:0031333),136,11,2.46,+,4.48,6.51E-05,4.20E-03
DNA replication (GO:0006260),273,22,4.93,+,4.46,1.70E-08,3.74E-06
ribonucleoprotein complex export from nucleus (GO:0071426),126,10,2.28,+,4.39,1.61E-04,9.01E-03
ribonucleoprotein complex localization (GO:0071166),127,10,2.29,+,4.36,1.71E-04,9.50E-03
G1/S transition of mitotic cell cycle (GO:0000082),102,8,1.84,+,4.34,7.75E-04,3.43E-02
regulation of Ras protein signal transduction (GO:0046578),204,16,3.68,+,4.34,2.16E-06,2.47E-04
cell division (GO:0051301),498,39,9,+,4.34,9.20E-14,8.55E-11
regulation of small GTPase mediated signal transduction (GO:0051056),348,27,6.29,+,4.3,8.44E-10,2.56E-07
protein targeting to membrane (GO:0006612),182,14,3.29,+,4.26,1.15E-05,9.89E-04
cell cycle G1/S phase transition (GO:0044843),104,8,1.88,+,4.26,8.72E-04,3.73E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045),156,12,2.82,+,4.26,4.82E-05,3.28E-03
DNA packaging (GO:0006323),202,15,3.65,+,4.11,8.31E-06,7.55E-04
RNA transport (GO:0050658),189,14,3.41,+,4.1,1.70E-05,1.35E-03
nucleic acid transport (GO:0050657),189,14,3.41,+,4.1,1.70E-05,1.35E-03
chromosome segregation (GO:0007059),286,21,5.17,+,4.07,1.57E-07,2.44E-05
establishment of RNA localization (GO:0051236),191,14,3.45,+,4.06,1.90E-05,1.49E-03
mitotic cell cycle process (GO:1903047),675,49,12.19,+,4.02,7.57E-16,1.71E-12
RNA export from nucleus (GO:0006405),124,9,2.24,+,4.02,6.24E-04,2.85E-02
nucleobase-containing compound catabolic process (GO:0034655),373,27,6.74,+,4.01,3.42E-09,9.17E-07
nuclear export (GO:0051168),166,12,3,+,4,8.42E-05,5.20E-03
regulation of protein-containing complex disassembly (GO:0043244),125,9,2.26,+,3.99,6.59E-04,2.99E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991),240,17,4.34,+,3.92,3.79E-06,3.82E-04
RNA localization (GO:0006403),212,15,3.83,+,3.92,1.42E-05,1.19E-03
DNA conformation change (GO:0071103),312,22,5.64,+,3.9,1.53E-07,2.40E-05
cell cycle checkpoint signaling (GO:0000075),188,13,3.4,+,3.83,6.59E-05,4.21E-03
mitotic cell cycle (GO:0000278),750,51,13.55,+,3.76,2.17E-15,4.29E-12
regulation of cell cycle G2/M phase transition (GO:1902749),222,15,4.01,+,3.74,2.36E-05,1.79E-03
regulation of translation (GO:0006417),415,28,7.5,+,3.74,7.38E-09,1.80E-06
regulation of cell cycle G1/S phase transition (GO:1902806),178,12,3.22,+,3.73,1.56E-04,8.88E-03
DNA integrity checkpoint signaling (GO:0031570),150,10,2.71,+,3.69,5.92E-04,2.73E-02
rRNA metabolic process (GO:0016072),272,18,4.91,+,3.66,4.81E-06,4.70E-04
positive regulation of mRNA metabolic process (GO:1903313),136,9,2.46,+,3.66,1.16E-03,4.67E-02
positive regulation of cell cycle process (GO:0090068),228,15,4.12,+,3.64,3.16E-05,2.22E-03
positive regulation of translation (GO:0045727),137,9,2.47,+,3.64,1.21E-03,4.86E-02
establishment of organelle localization (GO:0051656),398,26,7.19,+,3.62,4.74E-08,9.13E-06
mitotic cell cycle phase transition (GO:0044772),262,17,4.73,+,3.59,1.12E-05,9.81E-04
rRNA processing (GO:0006364),262,17,4.73,+,3.59,1.12E-05,9.76E-04
heterocycle catabolic process (GO:0046700),417,27,7.53,+,3.58,3.08E-08,6.41E-06
cellular nitrogen compound catabolic process (GO:0044270),423,27,7.64,+,3.53,4.07E-08,8.24E-06
protein autophosphorylation (GO:0046777),188,12,3.4,+,3.53,2.51E-04,1.33E-02
ribosome biogenesis (GO:0042254),329,21,5.94,+,3.53,1.35E-06,1.61E-04
chromatin remodeling (GO:0006338),173,11,3.12,+,3.52,4.65E-04,2.22E-02
cell cycle phase transition (GO:0044770),270,17,4.88,+,3.49,1.62E-05,1.31E-03
spindle organization (GO:0007051),224,14,4.05,+,3.46,9.68E-05,5.75E-03
mRNA transport (GO:0051028),160,10,2.89,+,3.46,9.45E-04,3.99E-02
positive regulation of cellular protein localization (GO:1903829),306,19,5.53,+,3.44,6.25E-06,5.91E-04
regulation of chromosome organization (GO:0033044),290,18,5.24,+,3.44,1.10E-05,9.71E-04
regulation of microtubule-based process (GO:0032886),242,15,4.37,+,3.43,6.00E-05,3.97E-03
aromatic compound catabolic process (GO:0019439),438,27,7.91,+,3.41,7.94E-08,1.44E-05
regulation of G2/M transition of mitotic cell cycle (GO:0010389),212,13,3.83,+,3.39,2.04E-04,1.11E-02
regulation of supramolecular fiber organization (GO:1902903),382,23,6.9,+,3.33,1.09E-06,1.36E-04
regulation of mitotic cell cycle phase transition (GO:1901990),434,26,7.84,+,3.32,2.35E-07,3.43E-05
negative regulation of translation (GO:0017148),184,11,3.32,+,3.31,7.55E-04,3.36E-02
regulation of mRNA catabolic process (GO:0061013),252,15,4.55,+,3.3,9.22E-05,5.61E-03
positive regulation of intracellular protein transport (GO:0090316),185,11,3.34,+,3.29,7.88E-04,3.46E-02
peptidyl-serine phosphorylation (GO:0018105),185,11,3.34,+,3.29,7.88E-04,3.45E-02
positive regulation of GTPase activity (GO:0043547),255,15,4.61,+,3.26,1.04E-04,6.09E-03
mRNA metabolic process (GO:0016071),697,41,12.59,+,3.26,1.09E-10,4.09E-08
posttranscriptional regulation of gene expression (GO:0010608),581,34,10.49,+,3.24,5.31E-09,1.33E-06
regulation of cellular amide metabolic process (GO:0034248),479,28,8.65,+,3.24,1.29E-07,2.07E-05
positive regulation of cell cycle (GO:0045787),310,18,5.6,+,3.21,2.55E-05,1.89E-03
organic cyclic compound catabolic process (GO:1901361),466,27,8.42,+,3.21,2.56E-07,3.68E-05
negative regulation of cell cycle phase transition (GO:1901988),294,17,5.31,+,3.2,4.49E-05,3.08E-03
negative regulation of mitotic cell cycle (GO:0045930),294,17,5.31,+,3.2,4.49E-05,3.07E-03
nucleobase-containing compound transport (GO:0015931),245,14,4.43,+,3.16,2.34E-04,1.25E-02
regulation of cytoskeleton organization (GO:0051493),526,30,9.5,+,3.16,7.50E-08,1.39E-05
organelle fission (GO:0048285),369,21,6.67,+,3.15,7.30E-06,6.71E-04
cytoskeleton-dependent intracellular transport (GO:0030705),194,11,3.5,+,3.14,1.14E-03,4.60E-02
nuclear division (GO:0000280),339,19,6.12,+,3.1,2.43E-05,1.82E-03
cell cycle process (GO:0022402),957,53,17.29,+,3.07,1.37E-12,1.14E-09
activation of protein kinase activity (GO:0032147),328,18,5.92,+,3.04,5.13E-05,3.47E-03
cell cycle (GO:0007049),1316,72,23.77,+,3.03,1.10E-16,4.33E-13
microtubule cytoskeleton organization (GO:0000226),567,31,10.24,+,3.03,1.10E-07,1.84E-05
negative regulation of cellular catabolic process (GO:0031330),257,14,4.64,+,3.02,3.70E-04,1.84E-02
positive regulation of protein transport (GO:0051222),331,18,5.98,+,3.01,5.73E-05,3.81E-03
establishment of protein localization to membrane (GO:0090150),313,17,5.65,+,3.01,9.31E-05,5.64E-03
translation (GO:0006412),387,21,6.99,+,3,1.44E-05,1.20E-03
ribonucleoprotein complex biogenesis (GO:0022613),462,25,8.34,+,3,2.31E-06,2.57E-04
protein-DNA complex subunit organization (GO:0071824),296,16,5.35,+,2.99,1.57E-04,8.88E-03
regulation of mRNA stability (GO:0043488),241,13,4.35,+,2.99,6.49E-04,2.96E-02
negative regulation of organelle organization (GO:0010639),334,18,6.03,+,2.98,6.40E-05,4.18E-03
nucleocytoplasmic transport (GO:0006913),261,14,4.71,+,2.97,4.29E-04,2.07E-02
regulation of cellular protein localization (GO:1903827),561,30,10.13,+,2.96,2.79E-07,3.98E-05
small GTPase mediated signal transduction (GO:0007264),262,14,4.73,+,2.96,4.45E-04,2.14E-02
nuclear transport (GO:0051169),264,14,4.77,+,2.94,4.78E-04,2.28E-02
regulation of protein-containing complex assembly (GO:0043254),455,24,8.22,+,2.92,5.57E-06,5.34E-04
negative regulation of gene expression (GO:0010629),999,52,18.04,+,2.88,2.06E-11,1.02E-08
positive regulation of establishment of protein localization (GO:1904951),347,18,6.27,+,2.87,1.01E-04,5.98E-03
regulation of GTPase activity (GO:0043087),347,18,6.27,+,2.87,1.01E-04,5.96E-03
regulation of cell cycle phase transition (GO:1901987),522,27,9.43,+,2.86,2.04E-06,2.35E-04
negative regulation of cell cycle process (GO:0010948),368,19,6.65,+,2.86,6.94E-05,4.39E-03
regulation of RNA stability (GO:0043487),253,13,4.57,+,2.84,9.92E-04,4.15E-02
regulation of mitotic cell cycle (GO:0007346),588,30,10.62,+,2.82,7.13E-07,9.47E-05
protein-DNA complex assembly (GO:0065004),256,13,4.62,+,2.81,1.10E-03,4.50E-02
regulation of intracellular protein transport (GO:0033157),256,13,4.62,+,2.81,1.10E-03,4.49E-02
peptide biosynthetic process (GO:0043043),414,21,7.48,+,2.81,3.71E-05,2.57E-03
positive regulation of kinase activity (GO:0033674),614,31,11.09,+,2.8,5.72E-07,7.67E-05
protein-containing complex localization (GO:0031503),259,13,4.68,+,2.78,1.21E-03,4.86E-02
cell morphogenesis involved in differentiation (GO:0000904),559,28,10.1,+,2.77,2.37E-06,2.62E-04
apoptotic signaling pathway (GO:0097190),281,14,5.08,+,2.76,8.55E-04,3.68E-02
chromosome organization (GO:0051276),1064,53,19.22,+,2.76,6.07E-11,2.59E-08
protein targeting (GO:0006605),322,16,5.82,+,2.75,3.84E-04,1.89E-02
microtubule-based process (GO:0007017),806,40,14.56,+,2.75,1.86E-08,4.03E-06
cytoskeleton organization (GO:0007010),1212,60,21.89,+,2.74,3.44E-12,2.37E-09
RNA processing (GO:0006396),930,46,16.8,+,2.74,1.59E-09,4.66E-07
organelle localization (GO:0051640),609,30,11,+,2.73,1.42E-06,1.69E-04
negative regulation of transferase activity (GO:0051348),306,15,5.53,+,2.71,6.62E-04,2.99E-02
regulation of protein stability (GO:0031647),306,15,5.53,+,2.71,6.62E-04,2.98E-02
cell morphogenesis (GO:0000902),715,35,12.91,+,2.71,2.09E-07,3.11E-05
regulation of organelle organization (GO:0033043),1208,59,21.82,+,2.7,9.07E-12,4.94E-09
positive regulation of protein kinase activity (GO:0045860),539,26,9.74,+,2.67,1.03E-05,9.22E-04
ncRNA processing (GO:0034470),436,21,7.88,+,2.67,7.51E-05,4.67E-03
regulation of cell cycle process (GO:0010564),792,38,14.31,+,2.66,9.94E-08,1.71E-05
regulation of mRNA metabolic process (GO:1903311),376,18,6.79,+,2.65,2.60E-04,1.37E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039),503,24,9.09,+,2.64,2.68E-05,1.95E-03
positive regulation of transferase activity (GO:0051347),693,33,12.52,+,2.64,8.48E-07,1.09E-04
cellular macromolecule catabolic process (GO:0044265),925,44,16.71,+,2.63,1.14E-08,2.60E-06
cell part morphogenesis (GO:0032990),526,25,9.5,+,2.63,1.94E-05,1.51E-03
regulation of transferase activity (GO:0051338),1033,49,18.66,+,2.63,1.66E-09,4.77E-07
cell projection morphogenesis (GO:0048858),507,24,9.16,+,2.62,3.03E-05,2.15E-03
DNA repair (GO:0006281),531,25,9.59,+,2.61,2.25E-05,1.71E-03
regulation of intracellular transport (GO:0032386),364,17,6.57,+,2.59,5.01E-04,2.37E-02
neuron projection development (GO:0031175),691,32,12.48,+,2.56,2.20E-06,2.51E-04
negative regulation of cell cycle (GO:0045786),454,21,8.2,+,2.56,1.29E-04,7.43E-03
neuron projection morphogenesis (GO:0048812),499,23,9.01,+,2.55,6.52E-05,4.19E-03
regulation of kinase activity (GO:0043549),914,42,16.51,+,2.54,8.79E-08,1.56E-05
chromatin organization (GO:0006325),703,32,12.7,+,2.52,4.63E-06,4.58E-04
mRNA processing (GO:0006397),486,22,8.78,+,2.51,1.20E-04,6.96E-03
regulation of protein localization (GO:0032880),894,40,16.15,+,2.48,2.97E-07,4.19E-05
protein localization to membrane (GO:0072657),542,24,9.79,+,2.45,1.17E-04,6.79E-03
RNA metabolic process (GO:0016070),1582,70,28.58,+,2.45,7.55E-12,4.26E-09
nucleic acid metabolic process (GO:0090304),2217,98,40.04,+,2.45,9.43E-17,4.97E-13
negative regulation of cellular component organization (GO:0051129),724,32,13.08,+,2.45,6.59E-06,6.17E-04
axonogenesis (GO:0007409),385,17,6.95,+,2.44,9.10E-04,3.86E-02
cell morphogenesis involved in neuron differentiation (GO:0048667),453,20,8.18,+,2.44,5.22E-04,2.45E-02
regulation of cellular component biogenesis (GO:0044087),974,43,17.59,+,2.44,1.35E-07,2.13E-05
ncRNA metabolic process (GO:0034660),521,23,9.41,+,2.44,1.72E-04,9.56E-03
regulation of cellular localization (GO:0060341),841,37,15.19,+,2.44,1.21E-06,1.47E-04
localization within membrane (GO:0051668),615,27,11.11,+,2.43,4.27E-05,2.95E-03
protein phosphorylation (GO:0006468),685,30,12.37,+,2.42,1.52E-05,1.25E-03
positive regulation of hydrolase activity (GO:0051345),574,25,10.37,+,2.41,9.42E-05,5.68E-03
positive regulation of catalytic activity (GO:0043085),1240,54,22.4,+,2.41,5.07E-09,1.29E-06
negative regulation of phosphate metabolic process (GO:0045936),483,21,8.72,+,2.41,3.96E-04,1.94E-02
positive regulation of programmed cell death (GO:0043068),575,25,10.39,+,2.41,9.59E-05,5.74E-03
positive regulation of phosphorylation (GO:0042327),921,40,16.64,+,2.4,5.62E-07,7.59E-05
negative regulation of phosphorus metabolic process (GO:0010563),484,21,8.74,+,2.4,4.01E-04,1.96E-02
actin cytoskeleton organization (GO:0030036),531,23,9.59,+,2.4,2.00E-04,1.09E-02
actin filament-based process (GO:0030029),605,26,10.93,+,2.38,7.73E-05,4.79E-03
positive regulation of protein phosphorylation (GO:0001934),838,36,15.14,+,2.38,2.74E-06,2.90E-04
intracellular signal transduction (GO:0035556),1677,72,30.29,+,2.38,1.51E-11,7.70E-09
cellular response to DNA damage stimulus (GO:0006974),793,34,14.32,+,2.37,5.52E-06,5.32E-04
positive regulation of apoptotic process (GO:0043065),560,24,10.12,+,2.37,1.57E-04,8.88E-03
viral process (GO:0016032),444,19,8.02,+,2.37,8.95E-04,3.81E-02
macromolecule catabolic process (GO:0009057),1058,45,19.11,+,2.35,2.09E-07,3.14E-05
peptide metabolic process (GO:0006518),544,23,9.83,+,2.34,2.54E-04,1.34E-02
regulation of cellular catabolic process (GO:0031329),899,38,16.24,+,2.34,2.63E-06,2.82E-04
regulation of catabolic process (GO:0009894),1066,45,19.25,+,2.34,2.44E-07,3.53E-05
positive regulation of phosphorus metabolic process (GO:0010562),998,42,18.03,+,2.33,7.15E-07,9.41E-05
positive regulation of phosphate metabolic process (GO:0045937),998,42,18.03,+,2.33,7.15E-07,9.33E-05
protein localization to organelle (GO:0033365),742,31,13.4,+,2.31,3.41E-05,2.38E-03
neuron development (GO:0048666),846,35,15.28,+,2.29,9.75E-06,8.76E-04
regulation of protein transport (GO:0051223),556,23,10.04,+,2.29,3.23E-04,1.65E-02
positive regulation of organelle organization (GO:0010638),605,25,10.93,+,2.29,1.76E-04,9.73E-03
regulation of cell cycle (GO:0051726),1164,48,21.02,+,2.28,2.15E-07,3.18E-05
negative regulation of protein modification process (GO:0031400),558,23,10.08,+,2.28,3.37E-04,1.71E-02
DNA metabolic process (GO:0006259),777,32,14.03,+,2.28,2.78E-05,2.02E-03
regulation of protein kinase activity (GO:0045859),802,33,14.49,+,2.28,2.02E-05,1.56E-03
cellular component morphogenesis (GO:0032989),611,25,11.04,+,2.27,3.14E-04,1.62E-02
cellular response to stress (GO:0033554),1741,71,31.45,+,2.26,1.64E-10,5.77E-08
positive regulation of protein modification process (GO:0031401),1079,44,19.49,+,2.26,9.96E-07,1.26E-04
positive regulation of cell death (GO:0010942),638,26,11.52,+,2.26,2.28E-04,1.23E-02
regulation of catalytic activity (GO:0050790),2433,99,43.95,+,2.25,1.44E-14,2.06E-11
nucleobase-containing compound metabolic process (GO:0006139),2705,110,48.86,+,2.25,2.13E-16,6.74E-13
regulation of protein serine/threonine kinase activity (GO:0071900),493,20,8.9,+,2.25,1.00E-03,4.19E-02
apoptotic process (GO:0006915),913,37,16.49,+,2.24,7.31E-06,6.68E-04
cell death (GO:0008219),1086,44,19.62,+,2.24,1.10E-06,1.37E-04
negative regulation of cellular protein metabolic process (GO:0032269),1040,42,18.79,+,2.24,2.23E-06,2.52E-04
intracellular transport (GO:0046907),1464,59,26.44,+,2.23,1.32E-08,2.93E-06
cellular response to growth factor stimulus (GO:0071363),497,20,8.98,+,2.23,1.09E-03,4.47E-02
positive regulation of molecular function (GO:0044093),1618,65,29.23,+,2.22,3.14E-09,8.54E-07
programmed cell death (GO:0012501),1050,42,18.97,+,2.21,2.59E-06,2.82E-04
response to growth factor (GO:0070848),526,21,9.5,+,2.21,8.81E-04,3.76E-02
phosphorylation (GO:0016310),877,35,15.84,+,2.21,2.60E-05,1.91E-03
regulation of establishment of protein localization (GO:0070201),581,23,10.49,+,2.19,7.43E-04,3.32E-02
regulation of phosphorylation (GO:0042325),1391,55,25.13,+,2.19,7.65E-08,1.41E-05
negative regulation of protein metabolic process (GO:0051248),1112,43,20.09,+,2.14,4.85E-06,4.71E-04
regulation of phosphate metabolic process (GO:0019220),1578,61,28.5,+,2.14,4.28E-08,8.57E-06
regulation of phosphorus metabolic process (GO:0051174),1578,61,28.5,+,2.14,4.28E-08,8.46E-06
intracellular protein transport (GO:0006886),781,30,14.11,+,2.13,1.79E-04,9.83E-03
heterocycle metabolic process (GO:0046483),2891,111,52.22,+,2.13,9.82E-15,1.55E-11
regulation of hydrolase activity (GO:0051336),1072,41,19.36,+,2.12,1.04E-05,9.28E-04
organelle organization (GO:0006996),3567,136,64.43,+,2.11,2.18E-18,1.73E-14
regulation of plasma membrane bounded cell projection organization (GO:0120035),631,24,11.4,+,2.11,7.86E-04,3.46E-02
cellular aromatic compound metabolic process (GO:0006725),2937,111,53.05,+,2.09,2.82E-14,3.18E-11
gene expression (GO:0010467),2117,80,38.24,+,2.09,3.40E-10,1.12E-07
establishment of localization in cell (GO:0051649),2335,87,42.18,+,2.06,8.07E-11,3.36E-08
cellular macromolecule biosynthetic process (GO:0034645),1639,61,29.6,+,2.06,1.31E-07,2.08E-05
regulation of molecular function (GO:0065009),3118,114,56.32,+,2.02,8.16E-14,8.07E-11
negative regulation of macromolecule metabolic process (GO:0010605),2880,105,52.02,+,2.02,1.99E-12,1.57E-09
regulation of intracellular signal transduction (GO:1902531),1839,67,33.22,+,2.02,4.98E-08,9.49E-06
regulation of cellular protein metabolic process (GO:0032268),2501,91,45.17,+,2.01,9.40E-11,3.81E-08
macromolecule biosynthetic process (GO:0009059),1680,61,30.35,+,2.01,3.11E-07,4.35E-05
regulation of protein phosphorylation (GO:0001932),1218,44,22,+,2,2.10E-05,1.60E-03
negative regulation of catalytic activity (GO:0043086),776,28,14.02,+,2,8.64E-04,3.71E-02
cellular macromolecule localization (GO:0070727),1480,53,26.73,+,1.98,2.75E-06,2.90E-04
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),1540,55,27.82,+,1.98,2.39E-06,2.62E-04
regulation of protein metabolic process (GO:0051246),2665,95,48.14,+,1.97,1.03E-10,3.96E-08
cellular nitrogen compound metabolic process (GO:0034641),3395,121,61.32,+,1.97,6.21E-14,6.54E-11
negative regulation of macromolecule biosynthetic process (GO:0010558),1551,55,28.02,+,1.96,2.62E-06,2.83E-04
negative regulation of cellular biosynthetic process (GO:0031327),1610,57,29.08,+,1.96,1.55E-06,1.82E-04
cellular protein localization (GO:0034613),1470,52,26.55,+,1.96,6.51E-06,6.13E-04
positive regulation of cellular component organization (GO:0051130),1161,41,20.97,+,1.96,6.35E-05,4.16E-03
