GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (414),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
post-Golgi vesicle-mediated transport (GO:0006892),134,17,2.69,+,6.31,8.02E-09,2.43E-06
organelle membrane fusion (GO:0090174),87,11,1.75,+,6.29,3.67E-06,5.62E-04
lysosome localization (GO:0032418),48,6,0.96,+,6.22,6.56E-04,4.72E-02
organelle fusion (GO:0048284),107,13,2.15,+,6.04,7.28E-07,1.38E-04
maintenance of protein location in cell (GO:0032507),66,8,1.33,+,6.03,1.03E-04,1.13E-02
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)",85,10,1.71,+,5.85,1.80E-05,2.56E-03
endosomal transport (GO:0016197),233,27,4.68,+,5.76,2.11E-12,1.15E-09
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)",61,7,1.23,+,5.71,3.78E-04,3.12E-02
cytoplasmic microtubule organization (GO:0031122),63,7,1.27,+,5.53,4.52E-04,3.51E-02
establishment of cell polarity (GO:0030010),119,13,2.39,+,5.43,2.16E-06,3.45E-04
regulation of microtubule polymerization or depolymerization (GO:0031110),83,9,1.67,+,5.39,8.43E-05,9.63E-03
Golgi organization (GO:0007030),135,14,2.71,+,5.16,1.55E-06,2.58E-04
activation of GTPase activity (GO:0090630),116,12,2.33,+,5.15,8.86E-06,1.29E-03
regulation of cellular response to heat (GO:1900034),79,8,1.59,+,5.04,3.19E-04,2.81E-02
membrane fusion (GO:0061025),149,15,3,+,5.01,9.31E-07,1.67E-04
regulation of gene silencing by miRNA (GO:0060964),94,9,1.89,+,4.76,2.01E-04,1.95E-02
regulation of organelle assembly (GO:1902115),191,18,3.84,+,4.69,1.90E-07,4.21E-05
regulation of posttranscriptional gene silencing (GO:0060147),96,9,1.93,+,4.66,2.33E-04,2.16E-02
regulation of macroautophagy (GO:0016241),161,15,3.24,+,4.63,2.27E-06,3.58E-04
maintenance of protein location (GO:0045185),97,9,1.95,+,4.62,2.50E-04,2.29E-02
regulation of gene silencing by RNA (GO:0060966),97,9,1.95,+,4.62,2.50E-04,2.28E-02
establishment or maintenance of cell polarity (GO:0007163),195,18,3.92,+,4.59,2.52E-07,5.37E-05
regulation of protein depolymerization (GO:1901879),89,8,1.79,+,4.47,6.66E-04,4.78E-02
regulation of stress fiber assembly (GO:0051492),89,8,1.79,+,4.47,6.66E-04,4.75E-02
regulation of actin filament bundle assembly (GO:0032231),101,9,2.03,+,4.43,3.30E-04,2.85E-02
vesicle budding from membrane (GO:0006900),103,9,2.07,+,4.35,3.78E-04,3.15E-02
vesicle organization (GO:0016050),310,27,6.23,+,4.33,8.05E-10,2.76E-07
actomyosin structure organization (GO:0031032),104,9,2.09,+,4.3,4.03E-04,3.20E-02
regulation of microtubule cytoskeleton organization (GO:0070507),141,12,2.83,+,4.23,5.30E-05,6.29E-03
positive regulation of protein localization to membrane (GO:1905477),130,11,2.61,+,4.21,1.13E-04,1.22E-02
Golgi vesicle transport (GO:0048193),396,33,7.96,+,4.15,2.96E-11,1.33E-08
organelle localization by membrane tethering (GO:0140056),171,14,3.44,+,4.07,1.92E-05,2.61E-03
regulation of GTPase activity (GO:0043087),490,40,9.85,+,4.06,3.90E-13,2.67E-10
regulation of protein-containing complex disassembly (GO:0043244),124,10,2.49,+,4.01,3.30E-04,2.86E-02
establishment of vesicle localization (GO:0051650),201,16,4.04,+,3.96,6.88E-06,1.03E-03
membrane docking (GO:0022406),180,14,3.62,+,3.87,3.26E-05,4.22E-03
positive regulation of GTPase activity (GO:0043547),413,32,8.3,+,3.85,3.32E-10,1.22E-07
regulation of mitochondrion organization (GO:0010821),155,12,3.12,+,3.85,1.23E-04,1.29E-02
regulation of small GTPase mediated signal transduction (GO:0051056),327,25,6.57,+,3.8,3.83E-08,9.91E-06
nucleus organization (GO:0006997),145,11,2.91,+,3.77,2.76E-04,2.48E-02
vesicle localization (GO:0051648),211,16,4.24,+,3.77,1.21E-05,1.76E-03
microtubule cytoskeleton organization involved in mitosis (GO:1902850),185,14,3.72,+,3.76,4.31E-05,5.40E-03
regulation of protein localization to membrane (GO:1905475),199,15,4,+,3.75,2.42E-05,3.18E-03
positive regulation of intracellular protein transport (GO:0090316),186,14,3.74,+,3.74,4.56E-05,5.62E-03
actin cytoskeleton organization (GO:0030036),524,39,10.53,+,3.7,1.09E-11,5.07E-09
organelle localization (GO:0051640),616,45,12.38,+,3.63,4.62E-13,2.92E-10
establishment of organelle localization (GO:0051656),397,29,7.98,+,3.63,7.92E-09,2.45E-06
negative regulation of cytoskeleton organization (GO:0051494),152,11,3.06,+,3.6,4.02E-04,3.20E-02
regulation of Ras protein signal transduction (GO:0046578),198,14,3.98,+,3.52,8.56E-05,9.71E-03
protein autophosphorylation (GO:0046777),184,13,3.7,+,3.51,1.53E-04,1.53E-02
regulation of autophagy (GO:0010506),331,23,6.65,+,3.46,6.53E-07,1.26E-04
regulation of supramolecular fiber organization (GO:1902903),375,26,7.54,+,3.45,1.26E-07,2.87E-05
regulation of intracellular transport (GO:0032386),361,25,7.26,+,3.45,2.25E-07,4.86E-05
biological process involved in interaction with host (GO:0051701),177,12,3.56,+,3.37,3.87E-04,3.15E-02
actin filament-based process (GO:0030029),598,40,12.02,+,3.33,1.22E-10,4.82E-08
regulation of intracellular protein transport (GO:0033157),258,17,5.19,+,3.28,3.56E-05,4.52E-03
regulation of actin filament organization (GO:0110053),276,18,5.55,+,3.24,2.39E-05,3.17E-03
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),185,12,3.72,+,3.23,5.62E-04,4.24E-02
mitotic cell cycle phase transition (GO:0044772),285,18,5.73,+,3.14,3.56E-05,4.50E-03
positive regulation of cellular protein localization (GO:1903829),301,19,6.05,+,3.14,2.19E-05,2.95E-03
spindle organization (GO:0007051),225,14,4.52,+,3.1,2.99E-04,2.65E-02
positive regulation of intracellular transport (GO:0032388),227,14,4.56,+,3.07,3.25E-04,2.83E-02
regulation of cytoskeleton organization (GO:0051493),519,32,10.43,+,3.07,5.73E-08,1.41E-05
cell cycle phase transition (GO:0044770),293,18,5.89,+,3.06,5.00E-05,6.02E-03
small GTPase mediated signal transduction (GO:0007264),262,16,5.27,+,3.04,1.38E-04,1.43E-02
cytoskeleton organization (GO:0007010),1204,73,24.2,+,3.02,1.31E-16,1.87E-13
regulation of protein polymerization (GO:0032271),232,14,4.66,+,3,4.00E-04,3.20E-02
protein localization to cell periphery (GO:1990778),234,14,4.7,+,2.98,4.34E-04,3.40E-02
regulation of microtubule-based process (GO:0032886),235,14,4.72,+,2.96,4.51E-04,3.53E-02
endomembrane system organization (GO:0010256),488,29,9.81,+,2.96,5.01E-07,9.88E-05
establishment of protein localization to membrane (GO:0090150),307,18,6.17,+,2.92,8.79E-05,9.84E-03
positive regulation of protein transport (GO:0051222),329,19,6.61,+,2.87,6.82E-05,7.96E-03
regulation of cellular protein localization (GO:1903827),564,32,11.34,+,2.82,3.37E-07,6.99E-05
intracellular transport (GO:0046907),1499,85,30.13,+,2.82,1.16E-17,2.03E-14
microtubule cytoskeleton organization (GO:0000226),566,32,11.38,+,2.81,3.63E-07,7.24E-05
regulation of establishment of protein localization (GO:0070201),592,33,11.9,+,2.77,3.21E-07,6.74E-05
actin filament organization (GO:0007015),270,15,5.43,+,2.76,5.72E-04,4.29E-02
regulation of organelle organization (GO:0033043),1188,66,23.88,+,2.76,2.33E-13,1.67E-10
regulation of cell morphogenesis (GO:0022604),308,17,6.19,+,2.75,2.70E-04,2.44E-02
positive regulation of establishment of protein localization (GO:1904951),345,19,6.94,+,2.74,1.23E-04,1.30E-02
positive regulation of cellular component biogenesis (GO:0044089),527,29,10.59,+,2.74,2.16E-06,3.48E-04
regulation of protein transport (GO:0051223),567,31,11.4,+,2.72,1.09E-06,1.89E-04
regulation of protein localization (GO:0032880),899,49,18.07,+,2.71,7.38E-10,2.59E-07
peptide transport (GO:0015833),1492,81,29.99,+,2.7,8.44E-16,1.02E-12
positive regulation of cell projection organization (GO:0031346),350,19,7.04,+,2.7,1.47E-04,1.49E-02
negative regulation of organelle organization (GO:0010639),332,18,6.67,+,2.7,2.21E-04,2.07E-02
establishment of protein localization (GO:0045184),1558,84,31.32,+,2.68,3.19E-16,4.20E-13
protein transport (GO:0015031),1463,78,29.41,+,2.65,8.20E-15,7.19E-12
amide transport (GO:0042886),1526,81,30.68,+,2.64,2.80E-15,2.76E-12
regulation of catabolic process (GO:0009894),1021,54,20.52,+,2.63,2.58E-10,9.70E-08
positive regulation of hydrolase activity (GO:0051345),777,41,15.62,+,2.62,4.69E-08,1.17E-05
regulation of cellular component biogenesis (GO:0044087),967,51,19.44,+,2.62,9.40E-10,3.09E-07
protein phosphorylation (GO:0006468),684,36,13.75,+,2.62,3.43E-07,7.03E-05
mitotic cell cycle process (GO:1903047),685,36,13.77,+,2.61,3.55E-07,7.17E-05
microtubule-based process (GO:0007017),803,42,16.14,+,2.6,4.02E-08,1.02E-05
autophagy (GO:0006914),306,16,6.15,+,2.6,7.06E-04,4.97E-02
process utilizing autophagic mechanism (GO:0061919),306,16,6.15,+,2.6,7.06E-04,4.95E-02
cell cycle (GO:0007049),1390,72,27.94,+,2.58,4.94E-13,3.00E-10
regulation of peptide transport (GO:0090087),600,31,12.06,+,2.57,3.31E-06,5.11E-04
regulation of vesicle-mediated transport (GO:0060627),524,27,10.53,+,2.56,1.50E-05,2.15E-03
regulation of cellular localization (GO:0060341),836,43,16.81,+,2.56,6.03E-08,1.46E-05
regulation of protein-containing complex assembly (GO:0043254),454,23,9.13,+,2.52,8.20E-05,9.44E-03
regulation of actin cytoskeleton organization (GO:0032956),356,18,7.16,+,2.52,4.89E-04,3.76E-02
regulation of actin filament-based process (GO:0032970),396,20,7.96,+,2.51,2.45E-04,2.26E-02
mitotic cell cycle (GO:0000278),761,38,15.3,+,2.48,6.45E-07,1.26E-04
protein localization (GO:0008104),2158,107,43.38,+,2.47,2.81E-18,6.32E-15
cell cycle process (GO:0022402),1070,53,21.51,+,2.46,3.53E-09,1.11E-06
cell division (GO:0051301),492,24,9.89,+,2.43,1.31E-04,1.36E-02
vesicle-mediated transport (GO:0016192),1958,95,39.36,+,2.41,1.64E-15,1.85E-12
nitrogen compound transport (GO:0071705),1801,87,36.2,+,2.4,4.62E-14,3.64E-11
regulation of cellular catabolic process (GO:0031329),855,41,17.19,+,2.39,7.69E-07,1.44E-04
macromolecule localization (GO:0033036),2550,122,51.26,+,2.38,8.01E-20,3.16E-16
positive regulation of anion transport (GO:1903793),502,24,10.09,+,2.38,1.59E-04,1.55E-02
establishment of localization in cell (GO:0051649),2365,113,47.54,+,2.38,3.66E-18,7.21E-15
regulation of anion transport (GO:0044070),860,41,17.29,+,2.37,8.28E-07,1.54E-04
cellular protein localization (GO:0034613),1639,78,32.95,+,2.37,2.52E-12,1.33E-09
positive regulation of organelle organization (GO:0010638),590,28,11.86,+,2.36,4.63E-05,5.62E-03
cellular macromolecule localization (GO:0070727),1645,78,33.07,+,2.36,2.93E-12,1.49E-09
viral process (GO:0016032),849,40,17.07,+,2.34,1.39E-06,2.34E-04
protein localization to membrane (GO:0072657),537,25,10.79,+,2.32,1.57E-04,1.54E-02
cellular localization (GO:0051641),3003,139,60.37,+,2.3,1.07E-21,8.45E-18
membrane organization (GO:0061024),956,44,19.22,+,2.29,9.15E-07,1.66E-04
regulation of cell cycle (GO:0051726),1196,55,24.04,+,2.29,2.24E-08,6.43E-06
positive regulation of molecular function (GO:0044093),1766,81,35.5,+,2.28,7.21E-12,3.45E-09
negative regulation of cell cycle (GO:0045786),569,26,11.44,+,2.27,2.23E-04,2.08E-02
positive regulation of catalytic activity (GO:0043085),1415,64,28.44,+,2.25,2.46E-09,7.92E-07
intracellular protein transport (GO:0006886),973,44,19.56,+,2.25,1.15E-06,1.95E-04
positive regulation of cellular component organization (GO:0051130),1135,51,22.82,+,2.24,2.21E-07,4.84E-05
regulation of intracellular signal transduction (GO:1902531),1768,79,35.54,+,2.22,5.21E-11,2.22E-08
regulation of cellular component organization (GO:0051128),2360,105,47.44,+,2.21,8.85E-15,7.35E-12
protein localization to organelle (GO:0033365),791,35,15.9,+,2.2,2.81E-05,3.66E-03
organic substance transport (GO:0071702),2170,95,43.62,+,2.18,9.39E-13,5.48E-10
biological process involved in symbiotic interaction (GO:0044403),937,41,18.84,+,2.18,5.25E-06,7.96E-04
anion transport (GO:0006820),2287,100,45.97,+,2.18,1.58E-13,1.18E-10
supramolecular fiber organization (GO:0097435),597,26,12,+,2.17,3.39E-04,2.87E-02
organelle assembly (GO:0070925),781,34,15.7,+,2.17,4.56E-05,5.58E-03
organelle organization (GO:0006996),3574,155,71.84,+,2.16,9.95E-22,1.57E-17
regulation of secretion by cell (GO:1903530),579,25,11.64,+,2.15,4.96E-04,3.80E-02
cellular component morphogenesis (GO:0032989),604,26,12.14,+,2.14,3.87E-04,3.16E-02
intracellular signal transduction (GO:0035556),1575,67,31.66,+,2.12,1.45E-08,4.33E-06
positive regulation of ion transport (GO:0043270),709,30,14.25,+,2.1,2.06E-04,1.98E-02
cell projection organization (GO:0030030),1212,51,24.36,+,2.09,1.05E-06,1.84E-04
plasma membrane bounded cell projection organization (GO:0120036),1166,49,23.44,+,2.09,1.91E-06,3.13E-04
regulation of cell cycle process (GO:0010564),772,32,15.52,+,2.06,2.19E-04,2.07E-02
positive regulation of intracellular signal transduction (GO:1902533),1015,42,20.4,+,2.06,1.85E-05,2.53E-03
regulation of hydrolase activity (GO:0051336),1308,54,26.29,+,2.05,8.80E-07,1.61E-04
regulation of anatomical structure morphogenesis (GO:0022603),955,39,19.2,+,2.03,5.14E-05,6.14E-03
cell morphogenesis (GO:0000902),711,29,14.29,+,2.03,6.02E-04,4.41E-02
regulation of transport (GO:0051049),1758,70,35.34,+,1.98,7.65E-08,1.83E-05
regulation of catalytic activity (GO:0050790),2516,99,50.58,+,1.96,8.29E-11,3.35E-08
export from cell (GO:0140352),996,39,20.02,+,1.95,1.21E-04,1.29E-02
response to organonitrogen compound (GO:0010243),997,39,20.04,+,1.95,1.22E-04,1.30E-02
secretion by cell (GO:0032940),948,37,19.06,+,1.94,2.17E-04,2.06E-02
positive regulation of transport (GO:0051050),936,36,18.82,+,1.91,3.20E-04,2.80E-02
neuron development (GO:0048666),833,32,16.74,+,1.91,6.42E-04,4.66E-02
response to nitrogen compound (GO:1901698),1085,41,21.81,+,1.88,1.51E-04,1.53E-02
regulation of localization (GO:0032879),2734,103,54.96,+,1.87,3.72E-10,1.33E-07
ion transport (GO:0006811),2881,108,57.91,+,1.86,1.43E-10,5.49E-08
regulation of ion transport (GO:0043269),1337,50,26.88,+,1.86,3.41E-05,4.37E-03
cell migration (GO:0016477),965,36,19.4,+,1.86,6.12E-04,4.47E-02
phosphorylation (GO:0016310),1022,38,20.54,+,1.85,3.78E-04,3.14E-02
regulation of signaling (GO:0023051),3459,128,69.53,+,1.84,3.18E-12,1.57E-09
regulation of molecular function (GO:0065009),3178,117,63.88,+,1.83,5.05E-11,2.21E-08
secretion (GO:0046903),1061,39,21.33,+,1.83,4.66E-04,3.60E-02
establishment of localization (GO:0051234),4653,170,93.53,+,1.82,1.17E-16,1.84E-13
transport (GO:0006810),4501,163,90.48,+,1.8,1.87E-15,1.97E-12
regulation of signal transduction (GO:0009966),3047,110,61.25,+,1.8,9.13E-10,3.06E-07
regulation of cell communication (GO:0010646),3424,123,68.83,+,1.79,7.23E-11,3.00E-08
cellular component assembly (GO:0022607),2438,87,49.01,+,1.78,1.54E-07,3.47E-05
cellular component organization (GO:0016043),5775,206,116.09,+,1.77,3.52E-20,1.85E-16
positive regulation of signaling (GO:0023056),1720,61,34.58,+,1.76,2.29E-05,3.07E-03
localization (GO:0051179),5807,203,116.73,+,1.74,9.92E-19,3.13E-15
positive regulation of signal transduction (GO:0009967),1551,54,31.18,+,1.73,1.11E-04,1.21E-02
cellular component organization or biogenesis (GO:0071840),5999,207,120.59,+,1.72,1.35E-18,3.55E-15
positive regulation of cell communication (GO:0010647),1714,58,34.45,+,1.68,1.53E-04,1.52E-02
cellular component biogenesis (GO:0044085),2701,91,54.3,+,1.68,1.10E-06,1.89E-04
movement of cell or subcellular component (GO:0006928),1591,53,31.98,+,1.66,4.00E-04,3.22E-02
regulation of response to stimulus (GO:0048583),4240,134,85.23,+,1.57,2.94E-08,7.73E-06
cellular response to organic substance (GO:0071310),2331,71,46.86,+,1.52,5.57E-04,4.22E-02
positive regulation of cellular process (GO:0048522),5656,164,113.7,+,1.44,1.19E-07,2.80E-05
positive regulation of biological process (GO:0048518),6244,180,125.52,+,1.43,2.37E-08,6.68E-06
regulation of biological quality (GO:0065008),4007,114,80.55,+,1.42,7.82E-05,9.07E-03
negative regulation of cellular process (GO:0048523),4909,133,98.68,+,1.35,1.51E-04,1.52E-02
regulation of cellular metabolic process (GO:0031323),6106,160,122.74,+,1.3,1.12E-04,1.22E-02
negative regulation of biological process (GO:0048519),5541,144,111.38,+,1.29,5.15E-04,3.93E-02
cell communication (GO:0007154),5572,144,112.01,+,1.29,6.50E-04,4.71E-02
biological regulation (GO:0065007),12571,321,252.7,+,1.27,1.79E-12,1.01E-09
regulation of metabolic process (GO:0019222),6847,173,137.64,+,1.26,3.37E-04,2.88E-02
regulation of cellular process (GO:0050794),11302,284,227.19,+,1.25,1.91E-08,5.58E-06
regulation of biological process (GO:0050789),11856,294,238.33,+,1.23,2.69E-08,7.20E-06
cellular process (GO:0009987),15487,375,311.32,+,1.2,4.01E-15,3.73E-12
biological_process (GO:0008150),17850,394,358.82,+,1.1,2.48E-08,6.86E-06
Unclassified (UNCLASSIFIED),2745,20,55.18,-,0.36,2.48E-08,6.74E-06
sensory perception (GO:0007600),973,4,19.56,-,0.2,4.50E-05,5.59E-03
sensory perception of chemical stimulus (GO:0007606),542,1,10.9,-,0.09,4.30E-04,3.39E-02
detection of stimulus involved in sensory perception (GO:0050906),554,1,11.14,-,0.09,2.91E-04,2.59E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911),441,0,8.86,-, < 0.01,3.37E-04,2.89E-02
detection of chemical stimulus involved in sensory perception (GO:0050907),486,0,9.77,-, < 0.01,9.57E-05,1.06E-02
