GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (722),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
regulation of telomerase activity (GO:0051972),50,9,1.75,+,5.13,1.54E-04,7.66E-03
regulation of p38MAPK cascade (GO:1900744),39,7,1.37,+,5.12,8.41E-04,3.14E-02
cellular response to epidermal growth factor stimulus (GO:0071364),45,8,1.58,+,5.07,3.83E-04,1.66E-02
actin filament bundle assembly (GO:0051017),58,10,2.03,+,4.92,9.20E-05,4.99E-03
NAD metabolic process (GO:0019674),47,8,1.65,+,4.86,4.96E-04,2.04E-02
regulation of microtubule polymerization or depolymerization (GO:0031110),83,14,2.91,+,4.81,4.79E-06,4.15E-04
actin filament bundle organization (GO:0061572),61,10,2.14,+,4.68,1.33E-04,6.76E-03
regulation of protein depolymerization (GO:1901879),89,14,3.12,+,4.49,9.78E-06,7.63E-04
intermediate filament cytoskeleton organization (GO:0045104),51,8,1.79,+,4.47,8.03E-04,3.01E-02
negative regulation of small GTPase mediated signal transduction (GO:0051058),58,9,2.03,+,4.43,4.12E-04,1.77E-02
intermediate filament-based process (GO:0045103),52,8,1.82,+,4.39,8.99E-04,3.27E-02
homotypic cell-cell adhesion (GO:0034109),59,9,2.07,+,4.35,4.61E-04,1.92E-02
organelle transport along microtubule (GO:0072384),79,12,2.77,+,4.33,5.67E-05,3.37E-03
cell-cell junction assembly (GO:0007043),127,19,4.45,+,4.27,5.25E-07,5.79E-05
positive regulation of blood vessel endothelial cell migration (GO:0043536),54,8,1.89,+,4.23,1.12E-03,3.90E-02
chaperone-mediated protein folding (GO:0061077),61,9,2.14,+,4.21,5.73E-04,2.28E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179),62,9,2.17,+,4.14,6.36E-04,2.49E-02
purine nucleoside diphosphate metabolic process (GO:0009135),62,9,2.17,+,4.14,6.36E-04,2.48E-02
positive regulation of type I interferon production (GO:0032481),79,11,2.77,+,3.97,2.28E-04,1.07E-02
ribonucleoside diphosphate metabolic process (GO:0009185),65,9,2.28,+,3.95,8.63E-04,3.18E-02
protein localization to cell junction (GO:1902414),87,12,3.05,+,3.93,1.30E-04,6.67E-03
regulation of protein-containing complex disassembly (GO:0043244),124,17,4.35,+,3.91,5.94E-06,4.96E-04
regulation of telomere maintenance (GO:0032204),81,11,2.84,+,3.87,2.77E-04,1.27E-02
regulation of microtubule cytoskeleton organization (GO:0070507),141,19,4.94,+,3.84,2.15E-06,2.10E-04
actomyosin structure organization (GO:0031032),104,14,3.65,+,3.84,4.65E-05,2.84E-03
positive regulation of organelle assembly (GO:1902117),67,9,2.35,+,3.83,1.05E-03,3.72E-02
regulation of dendrite morphogenesis (GO:0048814),67,9,2.35,+,3.83,1.05E-03,3.72E-02
actin cytoskeleton reorganization (GO:0031532),67,9,2.35,+,3.83,1.05E-03,3.71E-02
regulation of JUN kinase activity (GO:0043506),85,11,2.98,+,3.69,4.02E-04,1.74E-02
cell-cell junction organization (GO:0045216),186,24,6.52,+,3.68,2.10E-07,2.76E-05
dendrite development (GO:0016358),109,14,3.82,+,3.66,7.36E-05,4.24E-03
actin cytoskeleton organization (GO:0030036),524,67,18.37,+,3.65,3.34E-18,4.79E-15
vascular endothelial growth factor receptor signaling pathway (GO:0048010),71,9,2.49,+,3.62,1.51E-03,4.94E-02
regulation of release of sequestered calcium ion into cytosol (GO:0051279),79,10,2.77,+,3.61,8.52E-04,3.15E-02
regulation of cellular response to heat (GO:1900034),79,10,2.77,+,3.61,8.52E-04,3.15E-02
cell junction assembly (GO:0034329),280,35,9.82,+,3.57,7.59E-10,2.10E-07
actin filament-based process (GO:0030029),598,73,20.96,+,3.48,9.64E-19,1.52E-15
regulation of translational initiation (GO:0006446),82,10,2.87,+,3.48,1.10E-03,3.87E-02
positive regulation of endothelial cell migration (GO:0010595),108,13,3.79,+,3.43,2.36E-04,1.10E-02
positive regulation of protein polymerization (GO:0032273),125,15,4.38,+,3.42,8.29E-05,4.67E-03
regulation of small GTPase mediated signal transduction (GO:0051056),327,39,11.46,+,3.4,2.80E-10,9.39E-08
nucleoside diphosphate metabolic process (GO:0009132),84,10,2.94,+,3.4,1.30E-03,4.36E-02
regulation of calcium ion transport into cytosol (GO:0010522),101,12,3.54,+,3.39,4.51E-04,1.89E-02
regulation of calcium ion transmembrane transport (GO:1903169),152,18,5.33,+,3.38,1.97E-05,1.37E-03
regulation of supramolecular fiber organization (GO:1902903),375,44,13.15,+,3.35,3.20E-11,1.36E-08
regulation of Rho protein signal transduction (GO:0035023),86,10,3.01,+,3.32,1.53E-03,4.98E-02
cytoskeleton-dependent intracellular transport (GO:0030705),193,22,6.77,+,3.25,4.26E-06,3.84E-04
regulation of actomyosin structure organization (GO:0110020),97,11,3.4,+,3.23,1.09E-03,3.85E-02
positive regulation of epithelial cell migration (GO:0010634),150,17,5.26,+,3.23,5.48E-05,3.28E-03
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),106,12,3.72,+,3.23,6.69E-04,2.58E-02
integrin-mediated signaling pathway (GO:0007229),98,11,3.44,+,3.2,1.18E-03,4.07E-02
plasma membrane organization (GO:0007009),98,11,3.44,+,3.2,1.18E-03,4.06E-02
positive regulation of supramolecular fiber organization (GO:1902905),197,22,6.91,+,3.19,5.76E-06,4.83E-04
positive regulation of cell-substrate adhesion (GO:0010811),126,14,4.42,+,3.17,2.93E-04,1.33E-02
regulation of cell shape (GO:0008360),153,17,5.36,+,3.17,6.86E-05,3.99E-03
negative regulation of translation (GO:0017148),137,15,4.8,+,3.12,2.09E-04,9.95E-03
regulation of nucleocytoplasmic transport (GO:0046822),110,12,3.86,+,3.11,9.00E-04,3.27E-02
transport along microtubule (GO:0010970),156,17,5.47,+,3.11,8.53E-05,4.79E-03
regulation of actin filament bundle assembly (GO:0032231),101,11,3.54,+,3.11,1.47E-03,4.83E-02
regulation of epithelial cell migration (GO:0010632),231,25,8.1,+,3.09,2.26E-06,2.20E-04
regulation of protein polymerization (GO:0032271),232,25,8.13,+,3.07,2.43E-06,2.35E-04
positive regulation of cytoskeleton organization (GO:0051495),214,23,7.5,+,3.07,6.34E-06,5.26E-04
actin filament organization (GO:0007015),270,29,9.47,+,3.06,4.11E-07,4.74E-05
regulation of RNA splicing (GO:0043484),149,16,5.22,+,3.06,1.59E-04,7.81E-03
regulation of cell morphogenesis (GO:0022604),308,33,10.8,+,3.06,6.95E-08,1.05E-05
platelet activation (GO:0030168),141,15,4.94,+,3.03,2.78E-04,1.27E-02
cytoskeleton organization (GO:0007010),1204,128,42.21,+,3.03,1.66E-27,2.62E-23
cornification (GO:0070268),113,12,3.96,+,3.03,1.11E-03,3.89E-02
negative regulation of cytoskeleton organization (GO:0051494),152,16,5.33,+,3,1.96E-04,9.51E-03
post-Golgi vesicle-mediated transport (GO:0006892),134,14,4.7,+,2.98,5.17E-04,2.10E-02
glucose metabolic process (GO:0006006),115,12,4.03,+,2.98,1.28E-03,4.32E-02
negative regulation of supramolecular fiber organization (GO:1902904),154,16,5.4,+,2.96,2.25E-04,1.06E-02
activation of GTPase activity (GO:0090630),116,12,4.07,+,2.95,1.37E-03,4.55E-02
positive regulation of chromatin organization (GO:1905269),116,12,4.07,+,2.95,1.37E-03,4.54E-02
regulation of plasma membrane bounded cell projection assembly (GO:0120032),185,19,6.49,+,2.93,6.95E-05,4.03E-03
regulation of chromosome organization (GO:0033044),283,29,9.92,+,2.92,9.91E-07,1.04E-04
regulation of cell projection assembly (GO:0060491),187,19,6.56,+,2.9,7.92E-05,4.51E-03
regulation of type I interferon production (GO:0032479),128,13,4.49,+,2.9,1.03E-03,3.66E-02
regulation of actin filament organization (GO:0110053),276,28,9.68,+,2.89,1.82E-06,1.80E-04
regulation of endocytosis (GO:0030100),208,21,7.29,+,2.88,3.70E-05,2.34E-03
establishment of organelle localization (GO:0051656),397,40,13.92,+,2.87,1.37E-08,2.57E-06
negative regulation of cellular amide metabolic process (GO:0034249),159,16,5.57,+,2.87,3.13E-04,1.41E-02
regulation of endothelial cell migration (GO:0010594),170,17,5.96,+,2.85,2.20E-04,1.05E-02
regulation of organelle assembly (GO:1902115),191,19,6.7,+,2.84,1.02E-04,5.45E-03
positive regulation of GTPase activity (GO:0043547),413,41,14.48,+,2.83,1.32E-08,2.54E-06
regulation of chromatin organization (GO:1902275),203,20,7.12,+,2.81,7.67E-05,4.38E-03
epithelial cell development (GO:0002064),193,19,6.77,+,2.81,1.16E-04,6.10E-03
regulation of cytoskeleton organization (GO:0051493),519,51,18.19,+,2.8,2.98E-10,9.61E-08
regulation of microtubule-based process (GO:0032886),235,23,8.24,+,2.79,2.52E-05,1.69E-03
positive regulation of chromosome organization (GO:2001252),174,17,6.1,+,2.79,2.83E-04,1.29E-02
protein localization to plasma membrane (GO:0072659),195,19,6.84,+,2.78,1.31E-04,6.70E-03
microtubule cytoskeleton organization involved in mitosis (GO:1902850),185,18,6.49,+,2.78,1.99E-04,9.58E-03
regulation of metal ion transport (GO:0010959),257,25,9.01,+,2.77,1.25E-05,9.28E-04
regulation of calcium ion transport (GO:0051924),247,24,8.66,+,2.77,1.88E-05,1.31E-03
positive regulation of cell projection organization (GO:0031346),350,34,12.27,+,2.77,3.68E-07,4.33E-05
regulation of cell-substrate adhesion (GO:0010810),217,21,7.61,+,2.76,6.49E-05,3.79E-03
regulation of Ras protein signal transduction (GO:0046578),198,19,6.94,+,2.74,1.57E-04,7.74E-03
positive regulation of cellular amide metabolic process (GO:0034250),167,16,5.85,+,2.73,5.15E-04,2.10E-02
mitotic nuclear division (GO:0140014),209,20,7.33,+,2.73,1.11E-04,5.83E-03
regulation of stress-activated MAPK cascade (GO:0032872),178,17,6.24,+,2.72,3.61E-04,1.59E-02
regulation of actin polymerization or depolymerization (GO:0008064),189,18,6.63,+,2.72,2.53E-04,1.17E-02
regulation of actin filament length (GO:0030832),190,18,6.66,+,2.7,2.68E-04,1.24E-02
negative regulation of MAPK cascade (GO:0043409),169,16,5.92,+,2.7,5.80E-04,2.30E-02
cytosolic transport (GO:0016482),148,14,5.19,+,2.7,1.26E-03,4.26E-02
ameboidal-type cell migration (GO:0001667),180,17,6.31,+,2.69,4.06E-04,1.75E-02
T cell receptor signaling pathway (GO:0050852),180,17,6.31,+,2.69,4.06E-04,1.75E-02
microtubule-based transport (GO:0099111),191,18,6.7,+,2.69,2.85E-04,1.29E-02
regulation of RNA stability (GO:0043487),202,19,7.08,+,2.68,1.99E-04,9.56E-03
regulation of stress-activated protein kinase signaling cascade (GO:0070302),181,17,6.35,+,2.68,4.31E-04,1.83E-02
regulation of GTPase activity (GO:0043087),490,46,17.18,+,2.68,8.40E-09,1.70E-06
regulation of mRNA stability (GO:0043488),192,18,6.73,+,2.67,3.02E-04,1.36E-02
regulation of mRNA catabolic process (GO:0061013),214,20,7.5,+,2.67,1.48E-04,7.40E-03
spindle organization (GO:0007051),225,21,7.89,+,2.66,1.04E-04,5.52E-03
positive regulation of organelle organization (GO:0010638),590,55,20.68,+,2.66,5.10E-10,1.58E-07
cell junction organization (GO:0034330),501,46,17.56,+,2.62,2.08E-08,3.72E-06
mitotic spindle organization (GO:0007052),164,15,5.75,+,2.61,1.17E-03,4.06E-02
blood coagulation (GO:0007596),298,27,10.45,+,2.58,1.84E-05,1.29E-03
coagulation (GO:0050817),300,27,10.52,+,2.57,3.23E-05,2.08E-03
establishment of vesicle localization (GO:0051650),201,18,7.05,+,2.55,5.00E-04,2.05E-02
hemostasis (GO:0007599),302,27,10.59,+,2.55,3.38E-05,2.17E-03
positive regulation of cellular component biogenesis (GO:0044089),527,47,18.48,+,2.54,2.68E-08,4.65E-06
supramolecular fiber organization (GO:0097435),597,53,20.93,+,2.53,3.71E-09,8.37E-07
regulation of plasma membrane bounded cell projection organization (GO:0120035),621,55,21.77,+,2.53,1.99E-09,4.91E-07
positive regulation of DNA metabolic process (GO:0051054),204,18,7.15,+,2.52,5.87E-04,2.32E-02
cell projection morphogenesis (GO:0048858),503,44,17.63,+,2.5,1.21E-07,1.72E-05
regulation of synaptic plasticity (GO:0048167),183,16,6.42,+,2.49,1.27E-03,4.28E-02
negative regulation of organelle organization (GO:0010639),332,29,11.64,+,2.49,2.08E-05,1.43E-03
regulation of translation (GO:0006417),368,32,12.9,+,2.48,7.87E-06,6.34E-04
positive regulation of cell migration (GO:0030335),518,45,18.16,+,2.48,1.61E-07,2.20E-05
regulation of cellular component biogenesis (GO:0044087),967,84,33.9,+,2.48,2.52E-13,1.47E-10
cell morphogenesis involved in differentiation (GO:0000904),554,48,19.42,+,2.47,5.65E-08,8.74E-06
cell part morphogenesis (GO:0032990),522,45,18.3,+,2.46,1.76E-07,2.38E-05
regulation of cell projection organization (GO:0031344),638,55,22.37,+,2.46,5.42E-09,1.16E-06
plasma membrane bounded cell projection morphogenesis (GO:0120039),499,43,17.49,+,2.46,3.62E-07,4.32E-05
negative regulation of phosphorylation (GO:0042326),395,34,13.85,+,2.46,4.77E-06,4.15E-04
regulation of organelle organization (GO:0033043),1188,102,41.65,+,2.45,9.44E-16,9.31E-13
regulation of cellular amide metabolic process (GO:0034248),432,37,15.14,+,2.44,1.96E-06,1.94E-04
negative regulation of protein phosphorylation (GO:0001933),351,30,12.31,+,2.44,1.99E-05,1.38E-03
protein localization to cell periphery (GO:1990778),234,20,8.2,+,2.44,5.86E-04,2.32E-02
vesicle localization (GO:0051648),211,18,7.4,+,2.43,1.20E-03,4.12E-02
regulation of mRNA metabolic process (GO:1903311),340,29,11.92,+,2.43,2.85E-05,1.88E-03
positive regulation of hydrolase activity (GO:0051345),777,66,27.24,+,2.42,2.86E-10,9.39E-08
defense response to symbiont (GO:0140546),212,18,7.43,+,2.42,1.23E-03,4.19E-02
defense response to virus (GO:0051607),212,18,7.43,+,2.42,1.23E-03,4.18E-02
regulation of response to DNA damage stimulus (GO:2001020),224,19,7.85,+,2.42,8.74E-04,3.21E-02
regulation of neuron projection development (GO:0010975),438,37,15.35,+,2.41,3.70E-06,3.39E-04
organelle localization (GO:0051640),616,52,21.6,+,2.41,2.54E-08,4.46E-06
cell morphogenesis (GO:0000902),711,60,24.93,+,2.41,2.65E-09,6.24E-07
regulation of cysteine-type endopeptidase activity (GO:2000116),237,20,8.31,+,2.41,6.42E-04,2.50E-02
regulation of actin cytoskeleton organization (GO:0032956),356,30,12.48,+,2.4,2.48E-05,1.68E-03
posttranscriptional regulation of gene expression (GO:0010608),547,46,19.18,+,2.4,1.95E-07,2.58E-05
Fc receptor signaling pathway (GO:0038093),238,20,8.34,+,2.4,6.62E-04,2.56E-02
regulation of protein-containing complex assembly (GO:0043254),454,38,15.92,+,2.39,2.94E-06,2.77E-04
regulation of actin filament-based process (GO:0032970),396,33,13.88,+,2.38,1.67E-05,1.19E-03
wound healing (GO:0042060),444,37,15.57,+,2.38,4.35E-06,3.87E-04
positive regulation of cellular protein localization (GO:1903829),301,25,10.55,+,2.37,1.47E-04,7.35E-03
microtubule cytoskeleton organization (GO:0000226),566,47,19.84,+,2.37,1.89E-07,2.53E-05
regulation of muscle system process (GO:0090257),229,19,8.03,+,2.37,1.02E-03,3.65E-02
positive regulation of cell motility (GO:2000147),543,45,19.04,+,2.36,3.70E-07,4.32E-05
neuron projection morphogenesis (GO:0048812),495,41,17.35,+,2.36,1.31E-06,1.34E-04
positive regulation of cellular component organization (GO:0051130),1135,94,39.79,+,2.36,1.06E-13,6.69E-11
positive regulation of cellular component movement (GO:0051272),556,46,19.49,+,2.36,2.82E-07,3.53E-05
positive regulation of locomotion (GO:0040017),558,46,19.56,+,2.35,4.67E-07,5.26E-05
cell morphogenesis involved in neuron differentiation (GO:0048667),449,37,15.74,+,2.35,5.11E-06,4.38E-04
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),243,20,8.52,+,2.35,7.87E-04,2.97E-02
neuron projection development (GO:0031175),683,56,23.94,+,2.34,1.93E-08,3.50E-06
negative regulation of protein modification process (GO:0031400),549,45,19.25,+,2.34,6.98E-07,7.49E-05
negative regulation of phosphate metabolic process (GO:0045936),513,42,17.98,+,2.34,1.22E-06,1.26E-04
regulation of cellular response to stress (GO:0080135),685,56,24.01,+,2.33,2.08E-08,3.69E-06
negative regulation of phosphorus metabolic process (GO:0010563),514,42,18.02,+,2.33,1.27E-06,1.31E-04
positive regulation of cell development (GO:0010720),294,24,10.31,+,2.33,2.47E-04,1.15E-02
negative regulation of intracellular signal transduction (GO:1902532),492,40,17.25,+,2.32,2.57E-06,2.47E-04
cellular component morphogenesis (GO:0032989),604,49,21.17,+,2.31,2.22E-07,2.89E-05
regulated exocytosis (GO:0045055),693,56,24.29,+,2.31,4.17E-08,6.71E-06
axonogenesis (GO:0007409),384,31,13.46,+,2.3,4.51E-05,2.77E-03
regulation of DNA metabolic process (GO:0051052),373,30,13.08,+,2.29,6.44E-05,3.78E-03
positive regulation of protein-containing complex assembly (GO:0031334),249,20,8.73,+,2.29,9.85E-04,3.54E-02
negative regulation of catabolic process (GO:0009895),313,25,10.97,+,2.28,3.39E-04,1.51E-02
negative regulation of cellular component organization (GO:0051129),718,57,25.17,+,2.26,4.23E-08,6.67E-06
lymphocyte activation (GO:0046649),391,31,13.71,+,2.26,5.69E-05,3.37E-03
axon development (GO:0061564),419,33,14.69,+,2.25,5.42E-05,3.25E-03
"RNA splicing, via transesterification reactions (GO:0000375)",305,24,10.69,+,2.24,5.19E-04,2.11E-02
muscle structure development (GO:0061061),460,36,16.13,+,2.23,2.19E-05,1.49E-03
neutrophil activation involved in immune response (GO:0002283),486,38,17.04,+,2.23,1.21E-05,9.03E-04
granulocyte activation (GO:0036230),499,39,17.49,+,2.23,9.03E-06,7.12E-04
regulation of cellular component organization (GO:0051128),2360,182,82.73,+,2.2,1.39E-23,5.48E-20
leukocyte degranulation (GO:0043299),506,39,17.74,+,2.2,1.14E-05,8.76E-04
regulation of cell migration (GO:0030334),885,68,31.03,+,2.19,6.75E-09,1.40E-06
neutrophil activation (GO:0042119),495,38,17.35,+,2.19,1.61E-05,1.16E-03
neutrophil degranulation (GO:0043312),482,37,16.9,+,2.19,2.13E-05,1.46E-03
endocytosis (GO:0006897),562,43,19.7,+,2.18,5.58E-06,4.73E-04
exocytosis (GO:0006887),785,60,27.52,+,2.18,8.80E-08,1.30E-05
myeloid cell activation involved in immune response (GO:0002275),524,40,18.37,+,2.18,1.42E-05,1.04E-03
RNA splicing (GO:0008380),407,31,14.27,+,2.17,1.33E-04,6.75E-03
"mRNA splicing, via spliceosome (GO:0000398)",302,23,10.59,+,2.17,9.15E-04,3.30E-02
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",302,23,10.59,+,2.17,9.15E-04,3.30E-02
microtubule-based process (GO:0007017),803,61,28.15,+,2.17,7.04E-08,1.06E-05
biological process involved in symbiotic interaction (GO:0044403),937,71,32.85,+,2.16,5.68E-09,1.19E-06
response to lipopolysaccharide (GO:0032496),317,24,11.11,+,2.16,7.29E-04,2.79E-02
regulation of hydrolase activity (GO:0051336),1308,99,45.85,+,2.16,4.25E-12,2.09E-09
neuron development (GO:0048666),833,63,29.2,+,2.16,4.29E-08,6.70E-06
response to wounding (GO:0009611),543,41,19.04,+,2.15,1.21E-05,9.05E-04
cell division (GO:0051301),492,37,17.25,+,2.15,4.10E-05,2.54E-03
neutrophil mediated immunity (GO:0002446),493,37,17.28,+,2.14,4.18E-05,2.57E-03
mitotic cell cycle (GO:0000278),761,57,26.68,+,2.14,2.97E-07,3.66E-05
response to virus (GO:0009615),308,23,10.8,+,2.13,1.10E-03,3.86E-02
mitotic cell cycle process (GO:1903047),685,51,24.01,+,2.12,1.31E-06,1.34E-04
regulation of MAP kinase activity (GO:0043405),309,23,10.83,+,2.12,1.13E-03,3.94E-02
regulation of anatomical structure morphogenesis (GO:0022603),955,71,33.48,+,2.12,1.34E-08,2.55E-06
viral process (GO:0016032),849,63,29.76,+,2.12,9.33E-08,1.36E-05
regulation of cellular localization (GO:0060341),836,62,29.31,+,2.12,1.27E-07,1.77E-05
myeloid leukocyte mediated immunity (GO:0002444),515,38,18.05,+,2.1,3.86E-05,2.42E-03
myeloid leukocyte activation (GO:0002274),587,43,20.58,+,2.09,1.52E-05,1.11E-03
Golgi vesicle transport (GO:0048193),396,29,13.88,+,2.09,3.54E-04,1.57E-02
regulation of cellular component movement (GO:0051270),1026,75,35.97,+,2.09,8.97E-09,1.79E-06
leukocyte activation involved in immune response (GO:0002366),630,46,22.09,+,2.08,7.18E-06,5.87E-04
regulation of cell adhesion (GO:0030155),726,53,25.45,+,2.08,1.47E-06,1.49E-04
regulation of cellular component size (GO:0032535),384,28,13.46,+,2.08,4.84E-04,2.00E-02
regulation of cell motility (GO:2000145),947,69,33.2,+,2.08,3.65E-08,6.12E-06
regulation of cellular protein localization (GO:1903827),564,41,19.77,+,2.07,2.93E-05,1.93E-03
cell activation involved in immune response (GO:0002263),634,46,22.23,+,2.07,1.14E-05,8.73E-04
regulation of vesicle-mediated transport (GO:0060627),524,38,18.37,+,2.07,7.11E-05,4.11E-03
regulation of autophagy (GO:0010506),331,24,11.6,+,2.07,1.52E-03,4.95E-02
regulation of catabolic process (GO:0009894),1021,74,35.79,+,2.07,1.44E-08,2.67E-06
negative regulation of cellular protein metabolic process (GO:0032269),984,71,34.5,+,2.06,3.69E-08,6.12E-06
regulation of locomotion (GO:0040012),990,71,34.71,+,2.05,4.22E-08,6.72E-06
regulation of cellular catabolic process (GO:0031329),855,61,29.97,+,2.04,5.02E-07,5.61E-05
positive regulation of cell adhesion (GO:0045785),435,31,15.25,+,2.03,3.80E-04,1.65E-02
leukocyte activation (GO:0045321),935,66,32.78,+,2.01,2.28E-07,2.95E-05
cell projection organization (GO:0030030),1212,85,42.49,+,2,4.45E-09,9.63E-07
plasma membrane bounded cell projection organization (GO:0120036),1166,81,40.88,+,1.98,1.64E-08,3.01E-06
positive regulation of catalytic activity (GO:0043085),1415,98,49.61,+,1.98,5.17E-10,1.57E-07
immune response-regulating cell surface receptor signaling pathway (GO:0002768),491,34,17.21,+,1.98,3.27E-04,1.47E-02
positive regulation of cellular catabolic process (GO:0031331),390,27,13.67,+,1.97,1.40E-03,4.61E-02
cell activation (GO:0001775),1084,75,38,+,1.97,6.41E-08,9.82E-06
immune response-regulating signaling pathway (GO:0002764),494,34,17.32,+,1.96,3.49E-04,1.55E-02
regulation of catalytic activity (GO:0050790),2516,173,88.2,+,1.96,1.61E-17,2.12E-14
positive regulation of molecular function (GO:0044093),1766,121,61.91,+,1.95,5.22E-12,2.50E-09
negative regulation of protein metabolic process (GO:0051248),1056,72,37.02,+,1.94,2.64E-07,3.34E-05
cell-cell adhesion (GO:0098609),514,35,18.02,+,1.94,4.32E-04,1.83E-02
regulation of protein modification process (GO:0031399),1633,111,57.25,+,1.94,7.37E-11,2.91E-08
regulation of protein serine/threonine kinase activity (GO:0071900),490,33,17.18,+,1.92,7.96E-04,2.99E-02
protein phosphorylation (GO:0006468),684,46,23.98,+,1.92,6.06E-05,3.57E-03
regulation of molecular function (GO:0065009),3178,213,111.41,+,1.91,1.17E-20,2.31E-17
regulation of protein localization (GO:0032880),899,60,31.52,+,1.9,5.74E-06,4.85E-04
response to peptide (GO:1901652),480,32,16.83,+,1.9,1.10E-03,3.86E-02
secretion by cell (GO:0032940),948,63,33.23,+,1.9,2.91E-06,2.76E-04
cell adhesion (GO:0007155),951,63,33.34,+,1.89,4.33E-06,3.88E-04
regulation of intracellular signal transduction (GO:1902531),1768,117,61.98,+,1.89,9.36E-11,3.44E-08
organelle organization (GO:0006996),3574,236,125.29,+,1.88,1.82E-22,5.74E-19
biological adhesion (GO:0022610),957,63,33.55,+,1.88,4.64E-06,4.09E-04
response to growth factor (GO:0070848),532,35,18.65,+,1.88,8.40E-04,3.14E-02
positive regulation of programmed cell death (GO:0043068),564,37,19.77,+,1.87,5.12E-04,2.09E-02
positive regulation of apoptotic process (GO:0043065),549,36,19.25,+,1.87,6.60E-04,2.56E-02
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),519,34,18.19,+,1.87,7.84E-04,2.97E-02
