GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (1362),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
protein localization to cell-cell junction (GO:0150105),18,8,1.19,+,6.72,1.22E-04,3.69E-03
actin filament bundle organization (GO:0061572),61,27,4.03,+,6.69,1.66E-12,1.84E-10
actin filament bundle assembly (GO:0051017),58,25,3.84,+,6.52,1.74E-11,1.65E-09
actin crosslink formation (GO:0051764),14,6,0.93,+,6.48,1.03E-03,2.32E-02
focal adhesion assembly (GO:0048041),28,12,1.85,+,6.48,3.40E-06,1.41E-04
regulation of plasma membrane organization (GO:1903729),14,6,0.93,+,6.48,1.03E-03,2.32E-02
positive regulation of microtubule polymerization (GO:0031116),31,13,2.05,+,6.34,1.61E-06,7.09E-05
regulation of stress fiber assembly (GO:0051492),89,37,5.89,+,6.29,6.31E-16,1.07E-13
negative regulation of actin filament depolymerization (GO:0030835),41,17,2.71,+,6.27,4.68E-08,2.64E-06
actin filament capping (GO:0051693),37,15,2.45,+,6.13,3.63E-07,1.76E-05
regulation of hippo signaling (GO:0035330),20,8,1.32,+,6.05,2.18E-04,6.16E-03
regulation of GTP binding (GO:1904424),15,6,0.99,+,6.05,1.36E-03,2.94E-02
regulation of actin filament bundle assembly (GO:0032231),101,40,6.68,+,5.99,1.59E-16,2.84E-14
hippo signaling (GO:0035329),28,11,1.85,+,5.94,1.68E-05,5.99E-04
negative regulation of focal adhesion assembly (GO:0051895),18,7,1.19,+,5.88,6.21E-04,1.51E-02
response to hepatocyte growth factor (GO:0035728),18,7,1.19,+,5.88,6.21E-04,1.51E-02
negative regulation of cell-substrate junction organization (GO:0150118),18,7,1.19,+,5.88,6.21E-04,1.51E-02
regulation of actomyosin structure organization (GO:0110020),97,37,6.41,+,5.77,5.60E-15,8.74E-13
lung cell differentiation (GO:0060479),21,8,1.39,+,5.76,2.85E-04,7.72E-03
positive regulation of actin filament bundle assembly (GO:0032233),64,24,4.23,+,5.67,4.34E-10,3.19E-08
positive regulation of microtubule polymerization or depolymerization (GO:0031112),35,13,2.31,+,5.62,4.75E-06,1.92E-04
positive regulation of stress fiber assembly (GO:0051496),54,20,3.57,+,5.6,1.45E-08,8.77E-07
cortical actin cytoskeleton organization (GO:0030866),38,14,2.51,+,5.57,2.22E-06,9.51E-05
actomyosin structure organization (GO:0031032),104,38,6.88,+,5.53,7.35E-15,1.14E-12
cell-substrate junction assembly (GO:0007044),44,16,2.91,+,5.5,4.89E-07,2.33E-05
barbed-end actin filament capping (GO:0051016),22,8,1.45,+,5.5,3.67E-04,9.68E-03
lamellipodium assembly (GO:0030032),36,13,2.38,+,5.46,6.10E-06,2.38E-04
regulation of actin filament depolymerization (GO:0030834),56,20,3.7,+,5.4,2.38E-08,1.41E-06
positive regulation of substrate adhesion-dependent cell spreading (GO:1900026),42,15,2.78,+,5.4,1.33E-06,5.92E-05
cell-substrate junction organization (GO:0150115),45,16,2.98,+,5.38,6.24E-07,2.93E-05
Sertoli cell differentiation (GO:0060008),17,6,1.12,+,5.34,2.28E-03,4.42E-02
negative regulation of smooth muscle cell differentiation (GO:0051151),17,6,1.12,+,5.34,2.28E-03,4.42E-02
regulation of Golgi organization (GO:1903358),17,6,1.12,+,5.34,2.28E-03,4.41E-02
lung epithelial cell differentiation (GO:0060487),20,7,1.32,+,5.29,1.03E-03,2.32E-02
regulation of cAMP-dependent protein kinase activity (GO:2000479),20,7,1.32,+,5.29,1.03E-03,2.32E-02
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050),20,7,1.32,+,5.29,1.03E-03,2.31E-02
pore complex assembly (GO:0046931),20,7,1.32,+,5.29,1.03E-03,2.31E-02
lamellipodium organization (GO:0097581),43,15,2.84,+,5.27,1.70E-06,7.41E-05
regulation of establishment or maintenance of cell polarity (GO:0032878),26,9,1.72,+,5.23,2.15E-04,6.11E-03
negative regulation of protein depolymerization (GO:1901880),68,23,4.5,+,5.11,5.04E-09,3.20E-07
positive regulation of cilium assembly (GO:0045724),24,8,1.59,+,5.04,5.91E-04,1.45E-02
regulation of bicellular tight junction assembly (GO:2000810),24,8,1.59,+,5.04,5.91E-04,1.44E-02
regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314),27,9,1.79,+,5.04,2.71E-04,7.48E-03
ruffle organization (GO:0031529),27,9,1.79,+,5.04,2.71E-04,7.46E-03
inositol phosphate-mediated signaling (GO:0048016),24,8,1.59,+,5.04,5.91E-04,1.44E-02
positive regulation of cardiac muscle hypertrophy (GO:0010613),27,9,1.79,+,5.04,2.71E-04,7.45E-03
positive regulation of filopodium assembly (GO:0051491),30,10,1.98,+,5.04,1.25E-04,3.75E-03
negative regulation of actin filament polymerization (GO:0030837),60,20,3.97,+,5.04,6.09E-08,3.34E-06
regulation of cell-substrate junction organization (GO:0150116),69,23,4.56,+,5.04,6.33E-09,3.99E-07
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881),21,7,1.39,+,5.04,1.30E-03,2.83E-02
regulation of focal adhesion assembly (GO:0051893),64,21,4.23,+,4.96,3.58E-08,2.07E-06
regulation of cell-substrate junction assembly (GO:0090109),64,21,4.23,+,4.96,3.58E-08,2.06E-06
negative regulation of GTPase activity (GO:0034260),46,15,3.04,+,4.93,3.37E-06,1.40E-04
regulation of protein depolymerization (GO:1901879),89,29,5.89,+,4.93,1.08E-10,8.95E-09
positive regulation of lamellipodium organization (GO:1902745),37,12,2.45,+,4.9,3.34E-05,1.14E-03
vascular endothelial growth factor receptor signaling pathway (GO:0048010),71,23,4.7,+,4.9,9.87E-09,6.08E-07
establishment of endothelial barrier (GO:0061028),34,11,2.25,+,4.89,7.19E-05,2.27E-03
positive regulation of muscle hypertrophy (GO:0014742),28,9,1.85,+,4.86,3.38E-04,8.98E-03
regulation of microtubule polymerization (GO:0031113),53,17,3.51,+,4.85,9.19E-07,4.20E-05
negative regulation of neural precursor cell proliferation (GO:2000178),22,7,1.45,+,4.81,1.62E-03,3.35E-02
regulation of establishment of cell polarity (GO:2000114),22,7,1.45,+,4.81,1.62E-03,3.35E-02
negative regulation of Rho protein signal transduction (GO:0035024),22,7,1.45,+,4.81,1.62E-03,3.34E-02
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),106,33,7.01,+,4.71,1.56E-11,1.50E-09
activation of GTPase activity (GO:0090630),116,36,7.67,+,4.69,2.02E-12,2.21E-10
positive regulation of lamellipodium assembly (GO:0010592),29,9,1.92,+,4.69,4.19E-04,1.08E-02
nucleus localization (GO:0051647),26,8,1.72,+,4.65,9.14E-04,2.10E-02
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882),26,8,1.72,+,4.65,9.14E-04,2.10E-02
microtubule anchoring (GO:0034453),26,8,1.72,+,4.65,9.14E-04,2.09E-02
negative regulation of protein-containing complex disassembly (GO:0043242),79,24,5.22,+,4.59,1.34E-08,8.11E-07
endothelial cell development (GO:0001885),53,16,3.51,+,4.56,3.68E-06,1.52E-04
negative regulation of cell junction assembly (GO:1901889),30,9,1.98,+,4.54,5.15E-04,1.29E-02
actin cytoskeleton reorganization (GO:0031532),67,20,4.43,+,4.51,2.70E-07,1.33E-05
negative regulation of protein polymerization (GO:0032272),74,22,4.89,+,4.5,7.33E-08,3.96E-06
Rho protein signal transduction (GO:0007266),61,18,4.03,+,4.46,1.21E-06,5.42E-05
regulation of cell shape (GO:0008360),153,45,10.12,+,4.45,1.80E-14,2.70E-12
actin cytoskeleton organization (GO:0030036),524,154,34.65,+,4.44,4.80E-47,2.53E-43
negative regulation of small GTPase mediated signal transduction (GO:0051058),58,17,3.84,+,4.43,2.58E-06,1.09E-04
regulation of substrate adhesion-dependent cell spreading (GO:1900024),58,17,3.84,+,4.43,2.58E-06,1.09E-04
maintenance of protein location in nucleus (GO:0051457),24,7,1.59,+,4.41,2.45E-03,4.68E-02
positive regulation of cell morphogenesis involved in differentiation (GO:0010770),79,23,5.22,+,4.4,5.14E-08,2.86E-06
regulation of actin filament organization (GO:0110053),276,80,18.25,+,4.38,2.21E-24,9.68E-22
negative regulation of cytoskeleton organization (GO:0051494),152,44,10.05,+,4.38,5.60E-14,7.96E-12
actin filament organization (GO:0007015),270,78,17.86,+,4.37,1.00E-23,3.96E-21
myelination in peripheral nervous system (GO:0022011),28,8,1.85,+,4.32,1.36E-03,2.94E-02
peripheral nervous system axon ensheathment (GO:0032292),28,8,1.85,+,4.32,1.36E-03,2.93E-02
cytoplasmic microtubule organization (GO:0031122),63,18,4.17,+,4.32,1.79E-06,7.73E-05
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880),28,8,1.85,+,4.32,1.36E-03,2.93E-02
positive regulation of dendritic spine development (GO:0060999),42,12,2.78,+,4.32,9.30E-05,2.87E-03
apical junction assembly (GO:0043297),67,19,4.43,+,4.29,1.02E-06,4.66E-05
regulation of cardiac muscle hypertrophy (GO:0010611),53,15,3.51,+,4.28,1.41E-05,5.08E-04
negative regulation of Ras protein signal transduction (GO:0046580),50,14,3.31,+,4.23,2.99E-05,1.02E-03
negative regulation of supramolecular fiber organization (GO:1902904),154,43,10.18,+,4.22,3.03E-13,3.79E-11
protein depolymerization (GO:0051261),36,10,2.38,+,4.2,4.27E-04,1.10E-02
positive regulation of blood vessel endothelial cell migration (GO:0043536),54,15,3.57,+,4.2,1.70E-05,6.04E-04
regulation of fibroblast migration (GO:0010762),36,10,2.38,+,4.2,4.27E-04,1.10E-02
negative regulation of insulin receptor signaling pathway (GO:0046627),36,10,2.38,+,4.2,4.27E-04,1.10E-02
regulation of microtubule polymerization or depolymerization (GO:0031110),83,23,5.49,+,4.19,1.09E-07,5.69E-06
positive regulation of gene silencing by miRNA (GO:2000637),29,8,1.92,+,4.17,1.65E-03,3.39E-02
beta-catenin-TCF complex assembly (GO:1904837),29,8,1.92,+,4.17,1.65E-03,3.39E-02
actin filament-based process (GO:0030029),598,164,39.55,+,4.15,8.19E-47,3.23E-43
regulation of protein-containing complex disassembly (GO:0043244),124,34,8.2,+,4.15,1.37E-10,1.08E-08
sarcomere organization (GO:0045214),33,9,2.18,+,4.12,9.16E-04,2.10E-02
regulation of small GTPase mediated signal transduction (GO:0051056),327,89,21.63,+,4.12,2.18E-25,1.01E-22
positive regulation of protein polymerization (GO:0032273),125,34,8.27,+,4.11,1.64E-10,1.29E-08
positive regulation of epithelial to mesenchymal transition (GO:0010718),48,13,3.17,+,4.1,7.61E-05,2.39E-03
"positive regulation of DNA-templated transcription, initiation (GO:2000144)",37,10,2.45,+,4.09,5.12E-04,1.29E-02
regulation of supramolecular fiber organization (GO:1902903),375,101,24.8,+,4.07,2.20E-28,1.20E-25
positive regulation of supramolecular fiber organization (GO:1902905),197,53,13.03,+,4.07,1.94E-15,3.12E-13
regulation of muscle hypertrophy (GO:0014743),56,15,3.7,+,4.05,2.44E-05,8.41E-04
regulation of Rho protein signal transduction (GO:0035023),86,23,5.69,+,4.04,1.87E-07,9.48E-06
positive regulation of posttranscriptional gene silencing (GO:0060148),30,8,1.98,+,4.03,1.97E-03,3.94E-02
positive regulation of cell-substrate junction organization (GO:0150117),30,8,1.98,+,4.03,1.97E-03,3.93E-02
mRNA destabilization (GO:0061157),34,9,2.25,+,4,1.10E-03,2.45E-02
positive regulation of GTPase activity (GO:0043547),413,109,27.31,+,3.99,6.15E-30,3.59E-27
negative regulation of cellular response to insulin stimulus (GO:1900077),38,10,2.51,+,3.98,6.11E-04,1.49E-02
neuromuscular junction development (GO:0007528),42,11,2.78,+,3.96,3.42E-04,9.07E-03
establishment of cell polarity (GO:0030010),119,31,7.87,+,3.94,2.51E-09,1.70E-07
regulation of cell morphogenesis involved in differentiation (GO:0010769),96,25,6.35,+,3.94,8.62E-08,4.58E-06
microtubule organizing center organization (GO:0031023),100,26,6.61,+,3.93,4.91E-08,2.76E-06
myofibril assembly (GO:0030239),54,14,3.57,+,3.92,6.10E-05,1.94E-03
regulation of GTPase activity (GO:0043087),490,127,32.4,+,3.92,3.88E-34,3.22E-31
regulation of protein polymerization (GO:0032271),232,60,15.34,+,3.91,1.26E-16,2.30E-14
cortical cytoskeleton organization (GO:0030865),58,15,3.84,+,3.91,3.44E-05,1.16E-03
Schwann cell development (GO:0014044),31,8,2.05,+,3.9,2.35E-03,4.53E-02
centrosome localization (GO:0051642),31,8,2.05,+,3.9,2.35E-03,4.53E-02
establishment of epithelial cell polarity (GO:0090162),31,8,2.05,+,3.9,2.35E-03,4.52E-02
regulation of microtubule depolymerization (GO:0031114),31,8,2.05,+,3.9,2.35E-03,4.52E-02
adherens junction organization (GO:0034332),62,16,4.1,+,3.9,1.95E-05,6.89E-04
regulation of cellular response to insulin stimulus (GO:1900076),66,17,4.36,+,3.89,1.10E-05,4.06E-04
centrosome duplication (GO:0051298),35,9,2.31,+,3.89,1.30E-03,2.84E-02
positive regulation of cytoskeleton organization (GO:0051495),214,55,14.15,+,3.89,2.96E-15,4.71E-13
regulation of actin cytoskeleton reorganization (GO:2000249),39,10,2.58,+,3.88,7.26E-04,1.74E-02
regulation of lamellipodium assembly (GO:0010591),39,10,2.58,+,3.88,7.26E-04,1.74E-02
regulation of muscle adaptation (GO:0043502),82,21,5.42,+,3.87,1.15E-06,5.18E-05
regulation of filopodium assembly (GO:0051489),47,12,3.11,+,3.86,2.28E-04,6.40E-03
regulation of lamellipodium organization (GO:1902743),51,13,3.37,+,3.85,1.28E-04,3.83E-03
positive regulation of receptor-mediated endocytosis (GO:0048260),55,14,3.64,+,3.85,7.22E-05,2.28E-03
regulation of cilium assembly (GO:1902017),59,15,3.9,+,3.84,4.08E-05,1.36E-03
cell-cell junction assembly (GO:0007043),127,32,8.4,+,3.81,2.79E-09,1.87E-07
Golgi to plasma membrane transport (GO:0006893),52,13,3.44,+,3.78,1.51E-04,4.41E-03
regulation of actin cytoskeleton organization (GO:0032956),356,89,23.54,+,3.78,3.14E-23,1.15E-20
establishment of spindle orientation (GO:0051294),36,9,2.38,+,3.78,1.54E-03,3.22E-02
positive regulation of dendrite morphogenesis (GO:0050775),36,9,2.38,+,3.78,1.54E-03,3.22E-02
regulation of dendritic spine development (GO:0060998),60,15,3.97,+,3.78,4.81E-05,1.57E-03
actin polymerization or depolymerization (GO:0008154),60,15,3.97,+,3.78,4.81E-05,1.57E-03
regulation of microtubule cytoskeleton organization (GO:0070507),141,35,9.32,+,3.75,7.16E-10,5.13E-08
positive regulation of epithelial cell migration (GO:0010634),150,37,9.92,+,3.73,2.73E-10,2.06E-08
positive regulation of wound healing (GO:0090303),57,14,3.77,+,3.71,1.00E-04,3.05E-03
establishment or maintenance of apical/basal cell polarity (GO:0035088),49,12,3.24,+,3.7,3.16E-04,8.46E-03
establishment or maintenance of bipolar cell polarity (GO:0061245),49,12,3.24,+,3.7,3.16E-04,8.45E-03
regulation of cytoskeleton organization (GO:0051493),519,127,34.32,+,3.7,4.69E-32,3.08E-29
positive regulation of glucose transmembrane transport (GO:0010828),45,11,2.98,+,3.7,5.64E-04,1.39E-02
regulation of cell-matrix adhesion (GO:0001952),123,30,8.13,+,3.69,1.63E-08,9.80E-07
regulation of actin polymerization or depolymerization (GO:0008064),189,46,12.5,+,3.68,2.80E-12,2.99E-10
regulation of cell migration involved in sprouting angiogenesis (GO:0090049),37,9,2.45,+,3.68,1.81E-03,3.67E-02
RNA destabilization (GO:0050779),37,9,2.45,+,3.68,1.81E-03,3.66E-02
regulation of actin filament polymerization (GO:0030833),173,42,11.44,+,3.67,2.65E-11,2.47E-09
regulation of Ras protein signal transduction (GO:0046578),198,48,13.09,+,3.67,1.06E-12,1.22E-10
regulation of actin filament length (GO:0030832),190,46,12.57,+,3.66,3.28E-12,3.47E-10
regulation of blood vessel endothelial cell migration (GO:0043535),91,22,6.02,+,3.66,1.46E-06,6.47E-05
regulation of cell morphogenesis (GO:0022604),308,74,20.37,+,3.63,1.12E-18,2.76E-16
presynaptic endocytosis (GO:0140238),50,12,3.31,+,3.63,3.70E-04,9.71E-03
establishment of spindle localization (GO:0051293),50,12,3.31,+,3.63,3.70E-04,9.69E-03
synaptic vesicle endocytosis (GO:0048488),50,12,3.31,+,3.63,3.70E-04,9.68E-03
negative regulation of protein-containing complex assembly (GO:0031333),138,33,9.13,+,3.62,4.82E-09,3.09E-07
regulation of epithelial to mesenchymal transition (GO:0010717),92,22,6.08,+,3.62,1.71E-06,7.45E-05
positive regulation of organelle assembly (GO:1902117),67,16,4.43,+,3.61,4.37E-05,1.44E-03
centrosome cycle (GO:0007098),88,21,5.82,+,3.61,3.00E-06,1.26E-04
regulation of actin filament-based process (GO:0032970),396,94,26.19,+,3.59,4.15E-23,1.49E-20
positive regulation of glucose import (GO:0046326),38,9,2.51,+,3.58,2.12E-03,4.17E-02
spindle localization (GO:0051653),55,13,3.64,+,3.57,2.43E-04,6.80E-03
regulation of cell projection assembly (GO:0060491),187,44,12.37,+,3.56,2.16E-11,2.04E-09
regulation of insulin receptor signaling pathway (GO:0046626),68,16,4.5,+,3.56,5.09E-05,1.65E-03
positive regulation of macroautophagy (GO:0016239),60,14,3.97,+,3.53,1.59E-04,4.64E-03
ephrin receptor signaling pathway (GO:0048013),86,20,5.69,+,3.52,7.14E-06,2.73E-04
regulation of vascular permeability (GO:0043114),43,10,2.84,+,3.52,1.37E-03,2.95E-02
regulation of plasma membrane bounded cell projection assembly (GO:0120032),185,43,12.23,+,3.51,5.10E-11,4.57E-09
ciliary basal body-plasma membrane docking (GO:0097711),95,22,6.28,+,3.5,2.69E-06,1.13E-04
regulation of p38MAPK cascade (GO:1900744),39,9,2.58,+,3.49,2.47E-03,4.69E-02
establishment or maintenance of cell polarity (GO:0007163),195,45,12.9,+,3.49,2.23E-11,2.10E-09
Ras protein signal transduction (GO:0007265),176,40,11.64,+,3.44,4.22E-10,3.11E-08
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197),44,10,2.91,+,3.44,1.60E-03,3.32E-02
gluconeogenesis (GO:0006094),44,10,2.91,+,3.44,1.60E-03,3.32E-02
platelet aggregation (GO:0070527),44,10,2.91,+,3.44,1.60E-03,3.32E-02
positive regulation of actin filament polymerization (GO:0030838),88,20,5.82,+,3.44,9.57E-06,3.58E-04
regulation of centrosome duplication (GO:0010824),44,10,2.91,+,3.44,1.60E-03,3.31E-02
positive regulation of mRNA catabolic process (GO:0061014),53,12,3.51,+,3.42,5.81E-04,1.43E-02
vesicle-mediated transport to the plasma membrane (GO:0098876),84,19,5.56,+,3.42,1.68E-05,6.00E-04
cytoskeleton organization (GO:0007010),1204,272,79.62,+,3.42,6.02E-64,9.49E-60
bicellular tight junction assembly (GO:0070830),58,13,3.84,+,3.39,3.78E-04,9.83E-03
regulation of dendritic spine morphogenesis (GO:0061001),45,10,2.98,+,3.36,1.84E-03,3.72E-02
small GTPase mediated signal transduction (GO:0007264),262,58,17.33,+,3.35,1.32E-13,1.81E-11
regulation of epithelial cell migration (GO:0010632),231,51,15.28,+,3.34,4.32E-12,4.49E-10
positive regulation of response to wounding (GO:1903036),68,15,4.5,+,3.34,1.61E-04,4.68E-03
cell-cell junction organization (GO:0045216),186,41,12.3,+,3.33,5.64E-10,4.10E-08
negative regulation of muscle cell differentiation (GO:0051148),55,12,3.64,+,3.3,7.72E-04,1.83E-02
regulation of protein deacetylation (GO:0090311),46,10,3.04,+,3.29,2.12E-03,4.17E-02
tight junction assembly (GO:0120192),60,13,3.97,+,3.28,5.01E-04,1.27E-02
cell junction assembly (GO:0034329),280,60,18.52,+,3.24,1.69E-13,2.20E-11
positive regulation of cell-matrix adhesion (GO:0001954),56,12,3.7,+,3.24,8.85E-04,2.05E-02
peptidyl-serine phosphorylation (GO:0018105),182,39,12.04,+,3.24,2.94E-09,1.96E-07
substrate adhesion-dependent cell spreading (GO:0034446),56,12,3.7,+,3.24,8.85E-04,2.05E-02
positive regulation of cell-substrate adhesion (GO:0010811),126,27,8.33,+,3.24,7.69E-07,3.56E-05
positive regulation of endothelial cell migration (GO:0010595),108,23,7.14,+,3.22,5.41E-06,2.13E-04
hexose biosynthetic process (GO:0019319),47,10,3.11,+,3.22,2.43E-03,4.66E-02
negative regulation of fat cell differentiation (GO:0045599),47,10,3.11,+,3.22,2.43E-03,4.65E-02
microtubule polymerization or depolymerization (GO:0031109),52,11,3.44,+,3.2,1.57E-03,3.27E-02
supramolecular fiber organization (GO:0097435),597,126,39.48,+,3.19,1.25E-26,6.18E-24
tight junction organization (GO:0120193),62,13,4.1,+,3.17,6.55E-04,1.58E-02
regulation of organelle assembly (GO:1902115),191,40,12.63,+,3.17,3.26E-09,2.14E-07
positive regulation of protein-containing complex assembly (GO:0031334),249,52,16.47,+,3.16,1.61E-11,1.54E-09
protein polymerization (GO:0051258),96,20,6.35,+,3.15,2.86E-05,9.81E-04
regulation of cell-substrate adhesion (GO:0010810),217,45,14.35,+,3.14,4.52E-10,3.30E-08
synaptic vesicle recycling (GO:0036465),58,12,3.84,+,3.13,1.15E-03,2.55E-02
positive regulation of autophagy (GO:0010508),122,25,8.07,+,3.1,3.89E-06,1.60E-04
regulation of protein-containing complex assembly (GO:0043254),454,93,30.02,+,3.1,4.02E-19,1.04E-16
regulation of microtubule-based process (GO:0032886),235,48,15.54,+,3.09,1.86E-10,1.44E-08
positive regulation of endocytosis (GO:0045807),103,21,6.81,+,3.08,2.41E-05,8.33E-04
homotypic cell-cell adhesion (GO:0034109),59,12,3.9,+,3.08,1.31E-03,2.85E-02
positive regulation of JUN kinase activity (GO:0043507),69,14,4.56,+,3.07,5.49E-04,1.36E-02
negative regulation of organelle organization (GO:0010639),332,67,21.96,+,3.05,7.60E-14,1.07E-11
positive regulation of cellular component biogenesis (GO:0044089),527,106,34.85,+,3.04,3.83E-21,1.16E-18
regulation of wound healing (GO:0061041),131,26,8.66,+,3,4.17E-06,1.70E-04
endothelium development (GO:0003158),96,19,6.35,+,2.99,8.17E-05,2.55E-03
striated muscle cell development (GO:0055002),91,18,6.02,+,2.99,1.25E-04,3.77E-03
myeloid cell development (GO:0061515),56,11,3.7,+,2.97,2.61E-03,4.94E-02
regulation of glucose import (GO:0046324),56,11,3.7,+,2.97,2.61E-03,4.94E-02
cellular component assembly involved in morphogenesis (GO:0010927),92,18,6.08,+,2.96,1.41E-04,4.16E-03
protein localization to cell junction (GO:1902414),87,17,5.75,+,2.95,2.17E-04,6.16E-03
regulation of epidermal growth factor receptor signaling pathway (GO:0042058),87,17,5.75,+,2.95,2.17E-04,6.14E-03
membrane docking (GO:0022406),180,35,11.9,+,2.94,1.50E-07,7.66E-06
positive regulation of cell projection organization (GO:0031346),350,68,23.15,+,2.94,2.36E-13,2.98E-11
regulation of endothelial cell migration (GO:0010594),170,33,11.24,+,2.94,3.49E-07,1.69E-05
regulation of dendrite morphogenesis (GO:0048814),67,13,4.43,+,2.93,1.22E-03,2.69E-02
stress-activated protein kinase signaling cascade (GO:0031098),124,24,8.2,+,2.93,1.39E-05,5.03E-04
regulation of cellular component biogenesis (GO:0044087),967,187,63.95,+,2.92,3.99E-35,3.70E-32
epithelial cell migration (GO:0010631),88,17,5.82,+,2.92,2.44E-04,6.83E-03
G2/M transition of mitotic cell cycle (GO:0000086),140,27,9.26,+,2.92,4.38E-06,1.78E-04
endothelial cell differentiation (GO:0045446),83,16,5.49,+,2.91,3.75E-04,9.79E-03
epithelial cell development (GO:0002064),193,37,12.76,+,2.9,9.15E-08,4.84E-06
maintenance of location in cell (GO:0051651),94,18,6.22,+,2.9,1.79E-04,5.17E-03
regulation of ERBB signaling pathway (GO:1901184),94,18,6.22,+,2.9,1.79E-04,5.16E-03
negative regulation of protein serine/threonine kinase activity (GO:0071901),136,26,8.99,+,2.89,7.51E-06,2.85E-04
vesicle cytoskeletal trafficking (GO:0099518),68,13,4.5,+,2.89,1.38E-03,2.94E-02
neural precursor cell proliferation (GO:0061351),68,13,4.5,+,2.89,1.38E-03,2.94E-02
cell-matrix adhesion (GO:0007160),126,24,8.33,+,2.88,1.75E-05,6.22E-04
cell cycle G2/M phase transition (GO:0044839),142,27,9.39,+,2.88,5.52E-06,2.17E-04
regulation of release of sequestered calcium ion into cytosol (GO:0051279),79,15,5.22,+,2.87,6.49E-04,1.57E-02
peptidyl-serine modification (GO:0018209),206,39,13.62,+,2.86,5.54E-08,3.08E-06
regulation of JUN kinase activity (GO:0043506),85,16,5.62,+,2.85,4.73E-04,1.21E-02
positive regulation of mRNA metabolic process (GO:1903313),85,16,5.62,+,2.85,4.73E-04,1.20E-02
platelet degranulation (GO:0002576),128,24,8.46,+,2.84,2.19E-05,7.64E-04
organelle localization by membrane tethering (GO:0140056),171,32,11.31,+,2.83,1.05E-06,4.78E-05
