GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (595),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
chromatin organization (GO:0006325),703,56,20.31,+,2.76,4.68E-11,1.61E-08
microtubule-based process (GO:0007017),806,64,23.29,+,2.75,1.96E-12,8.60E-10
regulation of cellular amide metabolic process (GO:0034248),479,38,13.84,+,2.75,7.57E-08,1.31E-05
covalent chromatin modification (GO:0016569),367,29,10.6,+,2.74,2.88E-06,3.16E-04
positive regulation of intracellular transport (GO:0032388),228,18,6.59,+,2.73,2.18E-04,1.22E-02
negative regulation of cell cycle process (GO:0010948),368,29,10.63,+,2.73,3.02E-06,3.30E-04
positive regulation of protein-containing complex assembly (GO:0031334),254,20,7.34,+,2.73,1.03E-04,6.58E-03
positive regulation of cellular component biogenesis (GO:0044089),534,42,15.43,+,2.72,1.93E-08,3.96E-06
negative regulation of cell cycle phase transition (GO:1901988),294,23,8.49,+,2.71,3.50E-05,2.59E-03
regulation of intracellular protein transport (GO:0033157),256,20,7.4,+,2.7,1.13E-04,7.20E-03
regulation of cellular protein localization (GO:1903827),561,43,16.21,+,2.65,2.60E-08,5.07E-06
peptidyl-serine modification (GO:0018209),209,16,6.04,+,2.65,6.55E-04,2.93E-02
rRNA processing (GO:0006364),262,20,7.57,+,2.64,1.52E-04,9.18E-03
ribosome biogenesis (GO:0042254),329,25,9.5,+,2.63,2.54E-05,2.01E-03
regulation of supramolecular fiber organization (GO:1902903),382,29,11.04,+,2.63,5.94E-06,5.69E-04
DNA recombination (GO:0006310),225,17,6.5,+,2.62,5.17E-04,2.48E-02
protein deubiquitination (GO:0016579),278,21,8.03,+,2.61,1.20E-04,7.58E-03
peptidyl-lysine modification (GO:0018205),305,23,8.81,+,2.61,5.92E-05,4.05E-03
negative regulation of mitotic cell cycle phase transition (GO:1901991),240,18,6.93,+,2.6,3.89E-04,1.95E-02
regulation of cell morphogenesis (GO:0022604),310,23,8.96,+,2.57,7.45E-05,4.85E-03
viral life cycle (GO:0019058),230,17,6.64,+,2.56,6.51E-04,2.93E-02
organelle localization (GO:0051640),609,45,17.59,+,2.56,3.96E-08,7.28E-06
rRNA metabolic process (GO:0016072),272,20,7.86,+,2.55,2.41E-04,1.32E-02
regulation of actin filament organization (GO:0110053),277,20,8,+,2.5,3.00E-04,1.61E-02
regulation of protein polymerization (GO:0032271),236,17,6.82,+,2.49,8.51E-04,3.61E-02
regulation of response to DNA damage stimulus (GO:2001020),223,16,6.44,+,2.48,1.24E-03,4.70E-02
regulation of mitotic cell cycle (GO:0007346),588,42,16.99,+,2.47,2.43E-07,3.69E-05
negative regulation of mitotic cell cycle (GO:0045930),294,21,8.49,+,2.47,3.64E-04,1.88E-02
protein modification by small protein removal (GO:0070646),295,21,8.52,+,2.46,3.71E-04,1.90E-02
protein-DNA complex subunit organization (GO:0071824),296,21,8.55,+,2.46,3.79E-04,1.92E-02
protein-DNA complex assembly (GO:0065004),256,18,7.4,+,2.43,1.18E-03,4.49E-02
regulation of cellular response to stress (GO:0080135),692,48,19.99,+,2.4,8.20E-08,1.41E-05
positive regulation of cellular catabolic process (GO:0031331),450,31,13,+,2.38,1.84E-05,1.51E-03
regulation of cell cycle (GO:0051726),1164,80,33.63,+,2.38,4.40E-12,1.88E-09
small GTPase mediated signal transduction (GO:0007264),262,18,7.57,+,2.38,1.34E-03,4.97E-02
regulation of intracellular transport (GO:0032386),364,25,10.52,+,2.38,1.31E-04,8.10E-03
nucleic acid metabolic process (GO:0090304),2217,152,64.05,+,2.37,2.60E-23,6.84E-20
negative regulation of cell cycle (GO:0045786),454,31,13.12,+,2.36,3.35E-05,2.51E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),338,23,9.76,+,2.36,2.76E-04,1.48E-02
positive regulation of organelle organization (GO:0010638),605,41,17.48,+,2.35,1.30E-06,1.59E-04
positive regulation of catabolic process (GO:0009896),519,35,14.99,+,2.33,9.74E-06,8.69E-04
ribonucleoprotein complex biogenesis (GO:0022613),462,31,13.35,+,2.32,3.85E-05,2.78E-03
regulation of cellular component biogenesis (GO:0044087),974,65,28.14,+,2.31,1.63E-09,4.16E-07
proteasomal protein catabolic process (GO:0010498),361,24,10.43,+,2.3,2.66E-04,1.44E-02
regulation of organelle organization (GO:0033043),1208,80,34.9,+,2.29,2.14E-11,7.86E-09
"mRNA splicing, via spliceosome (GO:0000398)",303,20,8.75,+,2.28,9.61E-04,3.90E-02
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",303,20,8.75,+,2.28,9.61E-04,3.89E-02
"RNA splicing, via transesterification reactions (GO:0000375)",306,20,8.84,+,2.26,1.06E-03,4.20E-02
positive regulation of cellular protein localization (GO:1903829),306,20,8.84,+,2.26,1.06E-03,4.19E-02
regulation of catabolic process (GO:0009894),1066,69,30.8,+,2.24,1.48E-09,3.97E-07
regulation of DNA metabolic process (GO:0051052),372,24,10.75,+,2.23,5.21E-04,2.48E-02
ubiquitin-dependent protein catabolic process (GO:0006511),545,35,15.75,+,2.22,2.93E-05,2.24E-03
regulation of protein localization (GO:0032880),894,57,25.83,+,2.21,9.18E-08,1.56E-05
regulation of protein-containing complex assembly (GO:0043254),455,29,13.15,+,2.21,1.31E-04,8.08E-03
modification-dependent protein catabolic process (GO:0019941),552,35,15.95,+,2.19,3.37E-05,2.51E-03
supramolecular fiber organization (GO:0097435),601,38,17.36,+,2.19,1.45E-05,1.22E-03
organelle organization (GO:0006996),3567,222,103.05,+,2.15,4.49E-30,7.09E-26
modification-dependent macromolecule catabolic process (GO:0043632),563,35,16.27,+,2.15,4.40E-05,3.09E-03
microtubule-based movement (GO:0007018),354,22,10.23,+,2.15,1.28E-03,4.79E-02
nucleobase-containing compound metabolic process (GO:0006139),2705,168,78.15,+,2.15,1.57E-21,3.11E-18
ncRNA processing (GO:0034470),436,27,12.6,+,2.14,4.82E-04,2.34E-02
regulation of cellular localization (GO:0060341),841,52,24.3,+,2.14,7.17E-07,9.52E-05
mRNA processing (GO:0006397),486,30,14.04,+,2.14,1.99E-04,1.14E-02
mRNA metabolic process (GO:0016071),697,43,20.14,+,2.14,7.04E-06,6.47E-04
RNA splicing (GO:0008380),409,25,11.82,+,2.12,9.65E-04,3.90E-02
cellular response to stress (GO:0033554),1741,106,50.3,+,2.11,9.26E-13,4.31E-10
RNA processing (GO:0006396),930,56,26.87,+,2.08,5.45E-07,7.62E-05
regulation of cellular catabolic process (GO:0031329),899,54,25.97,+,2.08,9.87E-07,1.28E-04
protein phosphorylation (GO:0006468),685,41,19.79,+,2.07,2.75E-05,2.16E-03
positive regulation of cellular component organization (GO:0051130),1161,69,33.54,+,2.06,3.70E-08,6.88E-06
negative regulation of cellular component organization (GO:0051129),724,43,20.92,+,2.06,1.75E-05,1.46E-03
regulation of protein transport (GO:0051223),556,33,16.06,+,2.05,1.88E-04,1.09E-02
proteolysis involved in cellular protein catabolic process (GO:0051603),609,36,17.59,+,2.05,9.00E-05,5.83E-03
RNA biosynthetic process (GO:0032774),543,32,15.69,+,2.04,2.66E-04,1.44E-02
RNA metabolic process (GO:0016070),1582,93,45.7,+,2.03,2.10E-10,6.28E-08
viral process (GO:0016032),444,26,12.83,+,2.03,1.01E-03,4.04E-02
regulation of establishment of protein localization (GO:0070201),581,34,16.79,+,2.03,1.72E-04,1.01E-02
endomembrane system organization (GO:0010256),530,31,15.31,+,2.02,3.76E-04,1.92E-02
"transcription, DNA-templated (GO:0006351)",530,31,15.31,+,2.02,3.76E-04,1.91E-02
nucleic acid-templated transcription (GO:0097659),531,31,15.34,+,2.02,3.83E-04,1.93E-02
heterocycle metabolic process (GO:0046483),2891,168,83.52,+,2.01,1.20E-18,1.73E-15
protein localization to organelle (GO:0033365),742,43,21.44,+,2.01,3.46E-05,2.57E-03
peptidyl-amino acid modification (GO:0018193),886,51,25.6,+,1.99,6.46E-06,6.04E-04
negative regulation of protein modification process (GO:0031400),558,32,16.12,+,1.99,5.19E-04,2.48E-02
cellular aromatic compound metabolic process (GO:0006725),2937,168,84.85,+,1.98,4.07E-18,5.35E-15
negative regulation of intracellular signal transduction (GO:1902532),507,29,14.65,+,1.98,7.88E-04,3.41E-02
cellular response to hormone stimulus (GO:0032870),529,30,15.28,+,1.96,9.79E-04,3.95E-02
cellular macromolecule catabolic process (GO:0044265),925,52,26.72,+,1.95,9.98E-06,8.86E-04
cellular protein catabolic process (GO:0044257),644,36,18.61,+,1.93,3.26E-04,1.73E-02
apoptotic process (GO:0006915),913,51,26.38,+,1.93,1.42E-05,1.21E-03
programmed cell death (GO:0012501),1050,58,30.34,+,1.91,5.49E-06,5.36E-04
regulation of cellular component organization (GO:0051128),2390,131,69.05,+,1.9,1.91E-12,8.63E-10
phosphorylation (GO:0016310),877,48,25.34,+,1.89,5.76E-05,3.98E-03
cellular response to organonitrogen compound (GO:0071417),604,33,17.45,+,1.89,8.52E-04,3.60E-02
protein catabolic process (GO:0030163),697,38,20.14,+,1.89,3.54E-04,1.84E-02
organic cyclic compound metabolic process (GO:1901360),3182,173,91.93,+,1.88,1.35E-16,1.33E-13
cellular response to nitrogen compound (GO:1901699),664,36,19.18,+,1.88,6.25E-04,2.83E-02
