Protein,Gene,Bio,Bio,Bio,Bio,Bio,Bio,Dox,Dox,Dox,Dox,Dox,Dox,DoxBio,DoxBio,DoxBio,DoxBio,DoxBio,DoxBio,DoxBio750,DoxBio750,DoxBio750,DoxBio750,DoxBio750,DoxBio750,DoxBio821,DoxBio821,DoxBio821,DoxBio821,DoxBio821,DoxBio821,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF821,DoxBioAF821,DoxBioAF821,DoxBioAF821,DoxBioAF821,DoxBioAF821
Cluster of Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3 (PLAK_HUMAN),PLAK_HUMAN [2],9,11,7,11,1,2,2,2,9,5,6,5,9,10,11,10,11,9,10,12,12,12,11,12,11,13,11,13,12,12,5,5,9,10,3,5,11,10,11,10,10,10,8,11,7,6,9,8
Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2,HORN_HUMAN,5,7,7,7,4,3,1,1,7,8,6,7,4,5,8,8,6,8,13,13,6,10,8,8,5,4,12,12,8,7,1,1,7,9,4,4,7,6,5,3,5,6,8,8,10,6,0,2
Cluster of Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1 (HSP7C_HUMAN),HSP7C_HUMAN [2],6,6,6,5,1,2,12,12,5,5,6,3,2,2,4,5,7,9,2,4,4,4,6,6,8,10,2,1,3,5,15,15,9,11,5,6,7,6,4,7,6,5,4,5,4,1,4,4
"Cluster of Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2 (LAP2B_HUMAN)",LAP2B_HUMAN [2],0,0,0,0,0,0,0,0,0,0,0,0,8,8,6,6,7,8,10,9,7,11,9,9,10,11,12,12,12,13,8,8,8,8,8,8,10,9,9,8,7,8,12,12,13,12,10,10
Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,DESP_HUMAN,29,26,11,13,2,1,0,0,8,10,5,4,9,2,26,27,8,11,26,32,11,11,19,17,2,3,11,14,3,2,0,0,12,13,3,1,11,11,1,3,3,4,6,4,4,5,2,3
"Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",K1C18_HUMAN,6,8,5,2,1,2,6,6,5,7,4,6,4,5,4,8,9,10,8,9,8,8,9,10,11,10,7,9,8,6,9,9,9,12,9,11,9,8,6,11,6,8,9,7,6,7,10,7
Cluster of Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2 (ANXA2_HUMAN),ANXA2_HUMAN [2],4,8,5,6,0,0,10,10,4,6,4,5,2,3,6,6,7,8,3,3,4,4,5,4,11,11,7,5,8,7,13,13,10,12,9,9,8,6,3,3,3,3,5,3,6,8,8,7
"Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3",K2C1B_HUMAN,0,0,2,2,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,1,2,0,0,2,4,1,1,0,0,2,2,1,2,4,3,0,0,0,0,1,1,1,1,1,0,2,2
Ubiquitin carboxyl-terminal hydrolase 34 OS=Homo sapiens OX=9606 GN=USP34 PE=1 SV=2,UBP34_HUMAN,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1
Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,BIP_HUMAN,5,5,3,5,0,0,12,12,2,3,3,4,3,1,3,3,5,6,3,4,1,1,4,3,9,7,1,2,2,2,14,15,13,9,4,8,6,5,1,3,3,2,1,1,2,3,5,6
Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1,EMD_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,6,6,5,7,7,6,7,5,5,6,7,7,7,5,6,6,7,7,6,6,6,7,8,7,7,5,5,7,7,7,6,6,6
Cluster of Epidermal growth factor receptor OS=Homo sapiens OX=9606 GN=EGFR PE=1 SV=2 (EGFR_HUMAN),EGFR_HUMAN [3],0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,6,2,10,10,9,8,9,11,9,8,8,8,12,12,8,6,3,6,5,5,11,12,10,10,7,10,9,10,13,12,5,5
Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,EF1A1_HUMAN (+1),5,5,2,4,1,2,9,9,5,6,6,4,3,3,6,5,5,5,2,4,3,5,2,1,7,8,2,4,5,5,8,7,8,7,6,7,4,4,4,2,1,3,4,3,4,5,7,3
Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3,SURF6_HUMAN,7,5,4,5,2,2,2,2,2,5,4,5,6,5,6,8,6,5,6,6,5,5,5,6,5,6,4,6,6,5,6,6,7,7,6,5,5,5,6,6,8,7,5,5,4,5,6,5
Sodium/potassium-transporting ATPase subunit alpha-4 OS=Homo sapiens OX=9606 GN=ATP1A4 PE=1 SV=3,AT1A4_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WW domain-containing oxidoreductase OS=Homo sapiens OX=9606 GN=WWOX PE=1 SV=1,WWOX_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,9,5,5,7,5,9,7,4,6,7,6,5,8,5,9,8,6,8,6,5,6,8,8,7,6,5,4,4,8,6,8,5,5
60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,RL4_HUMAN,5,5,5,2,3,1,5,5,5,2,3,4,5,5,3,3,4,4,9,8,6,6,6,4,5,4,4,4,5,4,5,4,5,7,8,9,7,3,6,6,8,5,4,5,4,4,3,3
Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1,CTND1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,2,5,2,7,10,10,11,10,11,11,9,9,8,8,9,2,3,2,4,3,3,7,5,5,6,4,4,6,6,6,8,6,5
"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",CH60_HUMAN,6,4,6,6,1,2,14,14,3,4,4,6,3,2,1,4,5,5,2,1,0,1,2,3,5,7,0,0,3,2,9,11,8,10,11,12,2,3,0,0,1,2,1,2,3,2,5,4
Cluster of Heat shock 70 kDa protein 1-like OS=Homo sapiens OX=9606 GN=HSPA1L PE=1 SV=2 (HS71L_HUMAN),HS71L_HUMAN [4],1,1,0,1,0,0,4,4,2,0,1,1,1,1,1,0,1,2,1,1,2,1,0,0,2,3,0,0,0,0,9,6,3,2,1,3,1,0,0,0,1,1,0,0,0,1,2,0
Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,DSG1_HUMAN,6,8,5,5,0,1,0,0,4,3,2,3,1,2,13,13,6,6,12,12,7,8,10,8,4,3,6,6,3,4,1,2,7,7,4,2,7,9,2,3,8,4,4,4,2,3,0,1
Cluster of Histone H2A type 1-D OS=Homo sapiens OX=9606 GN=H2AC7 PE=1 SV=2 (H2A1D_HUMAN),H2A1D_HUMAN [9],3,3,2,2,0,0,3,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,3,0,0,2,2,4,4,2,2,3,3,2,2,1,1,2,2,2,2,2,1,2,2
Cluster of Histone H2B type F-S OS=Homo sapiens OX=9606 GN=H2BS1 PE=1 SV=2 (H2BFS_HUMAN),H2BFS_HUMAN [2],2,2,3,3,2,0,3,3,2,3,2,2,2,3,2,1,2,3,2,1,1,2,2,1,3,3,1,1,3,2,4,4,2,4,3,3,2,2,2,1,2,3,1,1,2,1,1,2
Voltage-dependent T-type calcium channel subunit alpha-1G OS=Homo sapiens OX=9606 GN=CACNA1G PE=1 SV=3,CAC1G_HUMAN-DECOY,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,3,1,3,3,2,1,1,2,3,2,2,1
"Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2",K2C78_HUMAN,5,5,6,7,0,0,0,0,6,3,3,2,1,2,10,8,5,3,5,4,3,0,2,4,0,1,3,4,4,4,1,2,7,6,0,1,3,2,0,0,2,2,2,2,1,1,0,1
Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,PRDX1_HUMAN,3,4,4,2,0,0,6,6,3,3,2,3,1,1,3,3,4,4,2,1,0,0,3,4,3,3,0,0,1,1,5,5,4,6,4,3,1,3,0,0,2,2,0,1,1,2,0,1
Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1,PGRC2_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,7,4,4,4,4,4,4,6,6,6,3,5,4,2,3,4,3,3,5,5,5,5,4,4,6,5,5,5,5,6
Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2,SRC8_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,3,4,7,8,4,3,7,10,5,7,7,6,3,3,5,3,2,3,5,3,6,5,3,3,10,9,8,8,8,5
Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,LMNA_HUMAN,4,6,5,4,0,0,14,14,4,6,5,4,0,1,2,2,5,3,2,2,0,0,2,2,7,7,0,0,0,2,13,15,9,9,11,10,2,4,0,1,1,2,0,0,1,1,2,1
Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,GCP60_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,4,5,5,4,4,5,5,5,5,3,3,0,0,1,1,2,4,5,4,3,6,4,4,5,4,6,6,4,4
"Cluster of 40S ribosomal protein S4, Y isoform 1 OS=Homo sapiens OX=9606 GN=RPS4Y1 PE=1 SV=2 (RS4Y1_HUMAN-DECOY)",RS4Y1_HUMAN-DECOY [2],1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,ROA2_HUMAN,3,3,2,3,0,0,8,8,2,3,4,4,2,1,2,2,4,4,3,4,0,1,2,2,6,5,0,0,2,1,9,11,7,7,8,8,4,4,3,2,3,4,1,0,2,1,3,4
60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2,RL35_HUMAN,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Cluster of Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2 (TBB5_HUMAN),TBB5_HUMAN [8],8,7,0,1,0,0,16,16,4,3,1,4,1,0,3,2,3,1,0,0,0,0,0,0,6,8,0,0,0,1,12,11,7,8,7,6,2,1,0,0,0,0,1,0,1,1,1,2
Cluster of ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7 (ADT2_HUMAN),ADT2_HUMAN [4],6,4,3,4,0,0,7,7,4,3,5,5,3,2,3,5,3,4,3,3,2,2,3,3,5,4,0,0,0,1,6,6,7,5,5,6,3,4,2,2,3,3,2,0,0,1,3,3
Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1,FILA2_HUMAN,4,4,3,4,2,3,2,2,4,3,3,3,2,3,4,3,1,2,6,5,5,4,3,2,3,3,4,4,4,2,2,1,2,4,2,3,4,3,2,3,3,3,4,3,2,4,2,1
Cluster of L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2 (LDHA_HUMAN),LDHA_HUMAN [4],6,5,2,2,0,0,13,13,2,6,3,3,0,0,3,3,8,6,0,0,0,0,0,0,7,6,0,0,0,0,17,14,8,6,9,7,1,2,0,0,0,0,0,0,0,0,3,2
Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,G3P_HUMAN,3,3,5,4,0,0,6,6,4,3,1,2,1,1,4,5,5,5,3,3,1,2,2,3,4,3,1,1,1,1,7,6,6,6,4,7,2,1,0,0,2,3,1,1,1,1,4,2
Cluster of Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens OX=9606 GN=ACSL3 PE=1 SV=3 (ACSL3_HUMAN),ACSL3_HUMAN [2],0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,1,2,3,4,4,4,5,2,3,7,6,7,5,5,5,6,5,3,6,4,2,4,3,3,2,4,3,4,3,6,8,5,5
Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,E41L2_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,2,5,6,4,5,6,6,9,10,10,9,10,9,0,0,0,0,0,0,3,3,3,3,1,2,4,4,6,5,4,3
Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens OX=9606 GN=VAPB PE=1 SV=3,VAPB_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,3,3,3,3,3,3,3,4,5,5,5,2,1,2,2,3,4,2,2,3,3,5,5,2,2,4,6,5,4,3,4
Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1,EPN4_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,3,2,3,3,2,2,5,3,3,4,4,4,6,4,6,6,6,5,4,5,3,6,1,4,8,6,8,4,6,4
Cluster of Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3 (YBOX1_HUMAN),YBOX1_HUMAN [3],4,3,2,1,1,2,4,4,2,2,3,3,2,2,1,3,2,3,5,3,2,4,3,3,3,5,1,2,2,2,5,6,5,5,5,3,3,5,6,3,3,3,4,3,3,2,4,3
Reticulon-4 OS=Homo sapiens OX=9606 GN=RTN4 PE=1 SV=2,RTN4_HUMAN,0,1,0,0,0,0,2,2,0,1,0,1,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,2,3,3,2,4,3,3,4,3,3,2,2,2,2,2,3,3,3,3,3,3
Cluster of Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5 (HS90A_HUMAN),HS90A_HUMAN [8],6,7,2,4,0,0,11,11,0,1,3,4,0,0,2,0,2,2,1,1,0,0,0,1,3,2,0,0,0,0,16,12,7,6,7,4,3,2,0,0,1,0,2,2,1,0,2,1
Cluster of 14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1 (1433Z_HUMAN),1433Z_HUMAN [7],9,9,4,1,0,0,11,11,2,3,3,2,1,2,2,1,4,2,0,2,0,0,0,0,7,6,0,0,0,0,11,11,7,8,10,9,0,0,0,0,0,0,0,0,0,0,3,1
Alpha-fetoprotein OS=Homo sapiens OX=9606 GN=AFP PE=1 SV=1,FETA_HUMAN-DECOY,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cluster of Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=3 (SNX1_HUMAN),SNX1_HUMAN [2],0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,2,0,0,1,1,2,1,1,0,2,0,3,4,4,8,9,8,3,5,3,6,4,5,6,7,9,8,8,4
Germinal-center associated nuclear protein OS=Homo sapiens OX=9606 GN=MCM3AP PE=1 SV=2,GANP_HUMAN,1,1,0,2,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,HNRPK_HUMAN,3,2,3,2,0,0,5,5,1,2,3,3,1,1,1,1,2,1,1,1,1,0,3,3,4,5,0,0,2,0,5,5,5,5,5,5,3,3,1,1,2,2,0,0,1,0,2,2
Vesicle-associated membrane protein-associated protein A OS=Homo sapiens OX=9606 GN=VAPA PE=1 SV=3,VAPA_HUMAN,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1,1,2,2,4,3,1,2,1,3,3,3,4,3,2,3,1,0,3,2,2,3,2,2,3,2,2,5,3,3,5,1,2
Synaptotagmin-like protein 4 OS=Homo sapiens OX=9606 GN=SYTL4 PE=1 SV=2,SYTL4_HUMAN-DECOY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3,CD44_HUMAN,0,1,0,0,0,0,2,2,1,1,0,0,4,3,2,3,2,2,2,1,3,3,3,1,3,4,4,4,4,3,4,4,3,3,3,3,1,1,2,3,2,2,2,3,3,3,3,1
Cluster of Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4 (KPYM_HUMAN),KPYM_HUMAN [2],2,3,3,3,0,0,6,6,2,1,3,2,1,2,2,3,3,2,0,2,0,0,1,0,6,5,0,0,2,2,8,8,6,7,7,8,1,1,0,0,1,1,0,0,0,0,3,3
Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4,G6PD_HUMAN,3,3,2,2,0,0,9,9,2,2,3,2,1,1,1,1,2,1,1,1,0,1,1,1,4,6,0,0,1,1,5,7,7,6,5,5,1,2,0,1,1,1,0,0,0,2,2,2
Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2,TFR1_HUMAN,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,1,2,1,0,2,0,6,8,3,1,1,2,8,7,6,10,7,4,4,5,2,1,2,3,4,4,6,4,7,6
Plexin-B1 OS=Homo sapiens OX=9606 GN=PLXNB1 PE=1 SV=3,PLXB1_HUMAN-DECOY,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1
Cluster of Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4 (HNRPC_HUMAN),HNRPC_HUMAN [4],3,2,3,3,0,0,7,7,3,3,1,4,1,1,2,2,6,5,0,1,1,0,1,2,4,7,0,1,1,0,8,8,6,5,4,2,2,4,0,2,2,2,0,0,0,0,3,2
Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2,DCD_HUMAN,3,3,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,3,2,2,2,2,2,2,1,0,3,3,2,1,2,1,1,2,3,3,3,2,2,2,2,3,2,2,2,0,1,1
Coatomer subunit gamma-2 OS=Homo sapiens OX=9606 GN=COPG2 PE=1 SV=1,COPG2_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,3,2,3,3,3,3,2,5,6,6,2,4,3,3,2,2,2,3,3,4,5,2,3,3,6,5,6,8,7,4
"10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2",CH10_HUMAN,1,2,3,2,0,0,5,5,2,2,2,2,1,1,1,0,2,2,1,0,0,1,2,1,4,4,0,0,1,1,5,4,5,4,3,5,1,2,0,1,1,0,1,1,1,1,2,2
Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,ALBU_HUMAN,16,15,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,2,1,0,0,0,0,3,2,0,0,3,2,2,1,0,0,0,1,0,0,0,0,0,0,3,1,16,15
Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2,PHB2_HUMAN,3,2,4,4,0,0,6,6,3,4,1,2,2,0,2,2,5,4,0,0,0,0,1,0,4,5,0,0,0,0,5,4,7,6,5,4,0,2,0,0,0,1,0,0,0,0,1,2
Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,PRDX2_HUMAN,1,2,2,2,0,0,1,1,0,1,1,0,0,0,2,2,0,2,0,1,1,1,2,2,0,0,2,1,0,0,2,2,2,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0
